abandon	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船
continental	adj::欧洲大陆的；大陆性的¦n:: 欧洲大陆人	continental margin::大陆边缘¦continental shelf::n. [地质]大陆架¦continental crust::大陆地壳¦continental europe::欧洲大陆¦continental climate::大陆性气候¦continental breakfast::欧式早餐（仅有咖啡和果酱面包）¦continental bridge::大陆桥，陆桥¦continental airlines::（美国）大陆航空公司¦passive continental margin::不活动大陆边缘，被动大陆边缘¦continental slope::大陆坡¦continental congress::大陆会议¦continental divide::美国大陆洛矶山脉分水岭¦continental collision::大陆碰撞¦continental plate::大陆板块¦continental drift::大陆漂移说¦continental army::[美国历史]大陆军¦continental block::大陆块
internal	adj:: 内部的； 国内的	internal control::内部控制；内控¦internal force::内力¦internal audit::内部审计，内部稽核¦internal structure::内部结构¦internal combustion::内燃¦internal combustion engine::内燃机¦internal medicine::内科医学，内科¦internal control system::内部控制系统¦internal pressure::内压力¦internal affairs::内部事务；内务¦internal environment::内部环境¦internal stress::内应力¦internal standard::[物化]内标准；内部标准¦internal auditing::内部审计¦internal friction::内摩擦；内耗¦internal cause::内因；内在原因¦internal surface::内表面；内层¦internal relation::内在联系；内部联系¦internal energy::内能¦internal resistance::内电阻，内阻抗
extension	n:: 伸展； 延长部分； 电话分机	brand extension::品牌延伸¦by extension::相关地；引申开来¦extension service::推广服务¦crack extension::裂纹扩展；裂纹扩张¦extension set::分机；增设装置¦research and extension::研究与推广¦extension number::分机号码¦extension of time::延期；延长时间；延长合约期¦file extension::文件扩展名；档案延伸¦extension methods::扩展方法¦university extension::大学附校；大学推广教育¦extension spring::拉簧；牵簧，牵引簧；拉伸弹簧¦extension line::延长线；分机线；引出线¦time extension::时间延长¦credit extension::援权（信用状期限延长）¦extension cord::延长线；分机线绳¦hair extension::接发¦elastic extension::弹性伸长；弹性延伸¦extension telephone::n. 电话分机
gender	n:: 性别； 性	gender difference::性别差异¦gender role::性别角色¦gender discrimination::性别歧视¦gender gap::性别差异¦gender identity::性别认同；性别认定；性（别）身份¦gender studies::性别研究¦gender issues::性别问题¦gender equity::性別平等；男女平等；两性公平¦gender imbalance::性别比例失衡¦gender mainstreaming::将性别观点纳入主流
signature	n:: 签名， 签字； 签署	digital signature::数字签名，数字签字¦specimen signature::签字样本；印鉴样本¦authorized signature::有权签字人的签字¦signature tune::信号曲；音调¦signature line::签名档；帖码线¦signature dishes::招牌菜¦signature card::签名卡；（银行）签字样卡¦key signature::n. 音调符号¦signature analysis::署名特征分析；特征分析；信号分析学；图形分析法
architect	n:: 建筑师， 设计师； 创造者	landscape architect::n. 造园技师；环境美化设计家¦chief architect::总建筑师¦system architect::系统架构师；系统结构设计员¦naval architect::造船工程师，造船技师
churn	v::〔因紧张或惊慌而〕反胃¦n::〔制造黄油的〕搅乳器	churn out::艰苦地做出；大量炮制
foundation	n:: 基础； 地基； 创立	on the foundation::[英国英语]领取基金会提供奖学金(或津贴)的；属于由基金维持的机构的¦theoretical foundation::理论基础¦solid foundation::基础雄厚；实体基础¦foundation pit::基坑¦pile foundation::打桩基础¦deep foundation::深基础；深层地基¦lay a foundation::奠定基础；奠基；打下基础¦foundation treatment::地基处理，基础处理¦economic foundation::经济基础¦dam foundation::坝基¦foundation stone::基石；根源¦foundation soil::地基；地基土¦foundation design::基础设计；基础工程¦elastic foundation::弹性地基；弹力胸衣¦research foundation::研究基金会¦firm foundation::坚实的基础¦national science foundation::美国国家科学基金会¦foundation engineering::基础工程；地基工程¦social foundation::社会基础¦foundation work::基础工作；基础工程
astrology	n:: 占星学； 占星术	
variability	n:: 可变性， 易变性	
invader	n:: 入侵者	
punch	v::穿孔，打孔；重击，猛击¦n:: 猛击； 冲床， 穿孔机； 力量， 效力	punch in::上班打卡¦punch card::穿孔卡片（等于punched card）¦punch press::冲床；压力机¦punch line::n. 妙语¦punch machine::打卡机；冲孔机¦pack a punch::◎拳头凶猛有力，能击出有力的一拳¦punch out::下班打卡¦as pleased as punch::非常高傲；得意洋洋¦hole punch::打孔机；打孔¦punch through::[物]穿通现象¦punch on::穿孔开始¦one-two punch::连环出击；连续左右猛击；连续出击的组合拳¦punch forming::[化]冲压成型¦fruit punch::果汁喷趣酒（清凉饮料）；水果混合饮料¦punch hole::[信息工程]穿孔
naturally	adv:: 当然， 自然； 天生地	
flexibility	n:: 柔韧， 有弹性； 柔顺， 温顺； 灵活性； 适应性	flexibility matrix::柔度矩阵；挠度矩阵¦strategic flexibility::战略柔性，战略弹性；策略灵活性¦flexibility method::[工程]柔度法；挠度法¦operational flexibility::操作弹性；运行灵活性
identity	n:: 身份； 特性； 同一性	identity card::身份证¦cultural identity::文化身份；文化认同¦national identity::国家认同；民族认同¦brand identity::品牌识别；品牌标识；品牌同一性¦corporate identity::企业形象；企业标识¦identity theft::身份盗窃，身份盗用¦ethnic identity::族群认同，种族认同；民族认同¦visual identity::视觉识别¦personal identity::个人统合，个人身份；人格同一性¦gender identity::性别认同；性别认定；性（别）身份¦sense of identity::认同感；本体感¦identity document::身份证件；身分证明文件¦social identity::社会认同；社会身份¦identity crisis::认同的转折点¦identity certificate::身份证明书，身份证¦individual identity::个人统合¦identity management::身份管理；身份认证管理¦group identity::团体同一性；群体认同¦sexual identity::性认同；性身份；性自认¦identity politics::认同政治，身份政治
federal	adj:: 联邦的， 联盟的	federal reserve::（美国）联邦储备系统¦federal government::联邦政府¦federal law::联邦法律¦federal funds::联邦资金¦federal court::联邦法院¦federal budget::联邦预算¦federal reserve board::（美国）联邦储备金监察小组¦federal communications commission::联邦通信委员会¦federal reserve bank::（美）联邦储备银行¦federal agency::联邦机构；联邦政府机构¦federal bureau of investigation::n. （美）联邦调查局¦federal funds rate::联邦基金利率¦federal deposit insurance corporation::美国联邦存款保险公司¦federal trade commission::联邦贸易委员会，联邦商务委员会（FTC）¦federal republic of germany::德意志联邦共和国¦federal reserve system::（美）联邦准备制度¦federal tax::（美）联邦税¦federal aviation administration::[运输工程]联邦航空管理局¦federal district::联邦特区（联邦政府所在地区，等于Federal District）¦federal express::联邦快递，美国联邦快递公司
verify	vt:: 证明； 证实	examine and verify::审核；审计
excursion	n:: 远足， 短途旅游； 【物】 偏移， 漂移	temperature excursion::温度剧增，超温
snobbish	adj:: 势利的， 谄上欺下的； 自命不凡的	
inaugurate	vt:: 开始， 开创； 为…举行就职典礼； 为…举行开幕式； 为…举行落成仪式	
reward	n::奖赏；报酬¦vt:: 酬谢； 奖励	reward for::因…的酬谢；作为…的回报¦as a reward for::作为…的报酬；作为…的回报¦reward system::奖赏系统；奖励系统¦reward with::奖赏¦offer a reward::悬赏¦monetary reward::金钱奖赏；赏金¦financial reward::物质奖酬，奖金¦in reward for::作为报答；作为…的报酬¦in reward of::作为奖励；为酬答…
include	v:: 包括， 包含； 计入	include in::包括在…中
hockey	n:: 曲棍球； 冰球	ice hockey::冰球，冰上曲棍球¦field hockey::[体]陆上曲棍球¦hockey stick::曲棍，曲棍球球棍¦play hockey::打曲棍球
swallow	v::吞咽；忍受¦n:: 燕子	swallow up::淹没；吞下去；耗尽
perquisite	n:: 利益； 特权	
stint	n:: 定量； 限额	stint someone of something::节制某人享用某物
consolidation	n:: 合并； 巩固	secondary consolidation::次固结，次生固结；二次固结¦consolidation settlement::固结沉降；地基应力和变形固结沉降¦coefficient of consolidation::固结系数；压实系数；土的物理性质压密系数¦degree of consolidation::固结度；胶结程度¦consolidation grouting::固结灌浆¦industry consolidation::产业联合¦consolidation pressure::固结压力¦consolidation test::固结试验，圧密试験；室内土工试验
nurture	vt::培养；滋养¦n:: 营养品	nature and nurture::先天与后天，遗传与环境；先天遗传说和后天培养说
destructive	adj:: 破坏的	destructive power::破坏力¦destructive testing::破坏性试验¦destructive effect::破坏性¦destructive test::破坏性试验¦destructive interference::相消干涉，相消干扰；破坏性干扰¦non destructive testing::非破坏性检查
tillable	adj:: 适宜耕种的， 可耕种的	
degenerate	vi::退化[dɪ'dʒ3nərət]¦adj:: 退化的	
buckle	v:: 扣紧； 变形； 弯曲¦n::皮带扣环	belt buckle::皮带搭扣；束衣扣¦buckle down::倾全力；开始认真从事¦buckle up::系好安全带；把…扣紧
hasty	adj:: 草率的， 匆忙的	
censor	vt::审查，检查¦n:: 检查员	
stir	v&n:: 搅动； 摇动； 激动	stir oneself::振作¦stir up::激起；煽动；搅拌；唤起¦stir in::一边加原料一边调和¦stir fry::用大火炒；快炒
craft	n:: 工艺， 手艺； 船； 航空器	craft brother::n. 同行¦art and craft::工艺品¦space craft::宇宙飞船¦craft design::工艺美术设计；手工艺设计¦craft paper::牛皮纸¦landing craft::登陆艇¦craft product::工艺品¦air craft::n. 飞机；航空器¦by craft::用诡计（手腕）
existence	n:: 存在； 生活	in existence::现有的；现存的；实际存在的；实有的¦existence theorem::[计]存在性定理¦come into existence::成立；开始存在¦conditions of existence::生存条件
migratory	adj:: 迁徙的， 移居的； 流动的， 游牧的	migratory bird::候鸟
threshold	n:: 入门， 门槛； 界限； 开端， 起点	threshold value::[计]阈值；门限值；界限值¦damage threshold::损伤阈值，损坏阈¦pain threshold::[生理]痛阈¦threshold voltage::阈值电压；[物]阈电压¦on the threshold of::在...的开端¦threshold current::[电]阈值电流¦lower threshold::n. 下辨别阈¦detection threshold::探测限界，检测阈¦threshold level::阈电平¦threshold effect::门槛效应；识阈效应¦visual threshold::视觉阈¦tax threshold::所得税起征点¦hearing threshold::听阈¦alarm threshold::报警阈值；警戒点¦threshold energy::能限；阈能¦excitation threshold::兴奋阈；激励阈值¦threshold dose::[放射]阈剂量
unwrap	vt:: 打开， 解开； 除去包装	
defendant	adj:: 处于被告地位的； 为自己辩护的¦n::被告	
coarse	adj:: 粗的； 粗糙的； 粗劣的	coarse aggregate::粗集料；粗骨料¦coarse grain::n. 谷粒；粗晶粒；饲料用谷类¦coarse grained::粗纹理的；粗颗粒的¦coarse sand::粗砂（直径为0.2至2.0毫米）¦coarse grinding::粗粉碎，粗磨¦coarse particle::粗颗粒；粗分子；（颜料）粗粒子¦coarse powder::粗粉¦coarse coal::大块煤¦coarse mesh::粗网格；粗筛¦coarse cloth::粗织物¦coarse filter::粗滤器初滤器；粗滤池；粗过滤器¦coarse silt::粗粉土；粗粉砂¦coarse screen::粗孔筛；粗格栅¦coarse screening::粗筛选
alley	n:: 小巷； 胡同	blind alley::死胡同；没有前途的职业¦bowling alley::保龄球馆；球戏场；滚球槽¦back alley::单打端线和双打端线之间的细长地带
exaggerate	v:: 夸大， 夸张	
discover	vt:: 发现， 找到； 发觉	
vet	vt::审查，仔细检查¦n:: 兽医	
offset	vt:: 抵消， 补偿， 弥补	offset printing::胶印，平版印刷；胶版印刷；平板印刷¦frequency offset::频率偏移；频率偏置¦offset press::胶印机¦offset paper::胶版纸；胶版印刷纸；平版机上浆纸¦offset print::胶版印刷¦offset voltage::偏移电压；[光电]补偿电压¦offset printing ink::胶版油墨¦web offset::[印]卷筒纸胶印¦offset surface::偏移曲面（设计软件3D MAX中的一个选项）¦zero offset::零点偏移；零点误差¦offset distance::偏距¦offset current::补偿电流；失调电流¦offset curve::偏移曲线；曲线移动¦offset plate::胶印版¦tool offset::刀具位置偏位¦offset machine::橡皮印刷机；胶版印刷机
cascade	n:: 小瀑布	cascade control::串级控制；[计]级联控制¦cascade development::梯级开发；干显影¦cascade system::串级系统¦cascade impactor::阶式碰撞取样器
capture	vt::捕获，俘获；夺取或赢得¦n:: 捕获； 战利品	video capture::视频捕捉¦data capture::数据捕捉¦motion capture::动作捕捉¦screen capture::屏幕捕获；屏幕抓图¦electron capture::电子俘获¦capture efficiency::俘获效率；采油效率¦capture the imagination of::激发...的想象力¦capture cross section::俘获截面¦capture theory::俘获理论；捕获说¦neutron capture::中子捕获¦electron capture detector::电子俘获检测器¦capture image::捉取图像¦capture time::捕获时间
literate	adj:: 有读写能力的； 有文化的； 博学的	computer literate::懂电脑
qualification	n:: 资格， 合格； 技能； 限定， 条件； 合格证	qualification certificate::资格证书¦professional qualification::专业资格；职称等级¦qualification test::资格考试；合格试验；质量鉴定试验¦procedure qualification::工艺评定；程序评定¦welding procedure qualification::焊接工艺评定；焊接程序评定¦enterprise qualification::企业资质¦qualification and experience::资历¦academic qualification::学历；学术资格¦certificate of qualification::合格证书
sequence	n:: 一系列， 一连串； 顺序， 次序	in sequence::依次，逐一¦time sequence::时间顺序¦sequence analysis::序列分析¦zero sequence::零序部分¦negative sequence::逆序¦operation sequence::[经]操作程序；操孜序¦sequence control::顺序控制¦sequence of events::事件顺序，作业顺序；事故顺序记录，事情的进展¦phase sequence::相序；位相序列¦sequence number::序号；顺序数¦welding sequence::n. 焊接顺序；熔接次序¦amino acid sequence::氨基酸序列；氨基酸顺序¦nucleotide sequence::核苷酸序列；核酸序列；核苷酸顺序¦construction sequence::装配顺序；施工步骤；施工程序¦sequence diagram::顺序图，循序图；程序表¦temporal sequence::时间序列；时间程序，时间层序¦sedimentary sequence::沉积层序¦operating sequence::操作程序；操作顺序¦random sequence::随机序列¦positive sequence::正序
combustion	n:: 燃烧； 燃烧过程	spontaneous combustion::自燃¦internal combustion::内燃¦combustion engine::内燃机；燃烧机；内燃机燃烧机¦combustion chamber::[机]燃烧室¦internal combustion engine::内燃机¦combustion system::燃烧系统¦combustion efficiency::燃烧效率¦combustion control::燃烧过程的控制，燃烧控制¦catalytic combustion::催化燃烧¦combustion temperature::[机]燃烧温度¦combustion gas::[机]燃烧气体¦combustion performance::燃烧性能¦combustion rate::燃烧率；燃烧速度¦pulverized coal combustion::煤粉燃烧¦incomplete combustion::[化]不完全燃烧¦fluidized bed combustion::流化床燃烧；怜床燃烧¦combustion air::助燃空气；燃烧空气¦combustion heat::燃烧热¦complete combustion::[化]完全燃烧¦combustion furnace::燃烧炉；[化]焚烧炉
provision	n:: 供应， 供应品； 准备， 预备； 条款， 规定； 给养， 口粮	make provision for::为…预先采取措施；为…作好准备¦special provision::特别规定；专门条款¦general provision::普通准备金¦make provision against::防备，预防¦express provision::明示规定¦additional provision::附加条款¦supplementary provision::补充规定；追加拨款，增补拨款；追加备付款项
recruit	v::招募，招收；复原，恢复；补充¦n:: 新兵， 新成员， 新会员	
commence	v:: 开始， 着手	commence business::开始营业
configuration	n:: 结构， 配置； 轮廓， 外形	hardware configuration::硬件配置¦system configuration::系统配置；系统结构¦configuration management::配置管理；结构管理¦network configuration::网络结构；网路配置¦software configuration::软件配置，软件结构¦configuration files::配置文件；设定档（configuration file的复数形式）¦basic configuration::基本配置；基本形状¦standard configuration::标准配置；标准安装；标准设备配备¦configuration space::位形空间，构形空间；配置空间¦circuit configuration::电路排布¦initial configuration::初始配置；初始组态¦configuration manager::配置管理器；组态管理员¦configuration change::配置改变¦configuration control::配置控制¦memory configuration::存储器配置；存储器格局¦machine configuration::机器配置¦line configuration::线路配置；网络配置¦absolute configuration::绝对构型¦molecular configuration::分子构型¦electronic configuration::n. 电子构型；电子排布
chunk	n:: 大块； 相当大的部分	
platform	n:: 平台， 站台； 纲领	service platform::工作台；操作平台¦offshore platform::海上平台；近海平台¦open platform::开放平台¦working platform::工作平台；工专¦drilling platform::[工程]钻探平台¦mobile platform::动平台；可自行移动的近海钻井平台；移动式平台；流动平台¦carbonate platform::碳酸盐岩台地；碳酸盐地台¦operating platform::操作平台¦oil platform::石油平台¦platform software::平台软件¦stabilized platform::稳定平台¦online trading platform::网上交易平台¦station platform::月台，站台¦platform structure::站台结构¦platform scale::台秤¦lifting platform::升降平台；举重台¦platform diving::跳台跳水¦lift platform::升降平台；上升平台¦landing platform::卸货平台¦oil drilling platform::石油钻井平台
libel	n::诽谤，中伤；诽谤性文字¦vt:: 诽谤， 中伤， 诬蔑	
provenance	n:: 出处， 起源	
extinct	adj:: 灭绝的； 废弃的	become extinct::灭绝；绝种
axle	n:: 车轴， 轮轴	rear axle::后桥；后轴¦axle load::轴负载¦front axle::前轴，前桥；前轮轴¦axle housing::轴套；轴罩；轴壳¦driving axle::主动轴，驱动轴¦drive axle::驱动桥；传动轴¦axle shaft::半轴；驱动轴；车轴¦axle center::轴心¦axle bearing::轴承¦axle box::轴箱¦wheel axle::轮轴¦axle wire::中轴线¦bent axle::曲轴¦rear axle housing::后桥壳；后轴套；后轴壳¦axle weight::轴荷¦wheel and axle::轮轴¦axle journal::轴颈¦steering axle::转向轴，操纵杆；转向桥¦axle steel::车轴钢；轴钢¦axle neck::轴颈
degrade	v:: 降级； 堕落； 降解； 退化	
biodiversity	n:: 生物多样性	
opaque	adj:: 不透明的； 晦涩的， 难懂的	opaque glass::不透明玻璃
advantage	n:: 优点， 优势	take advantage of::利用¦competitive advantage::竞争优势¦advantage in::发球占先；发球人领先¦comparative advantage::[经]比较利益；相对优势¦have the advantage of::胜过；处于……有利条件¦advantage over::占优势；优于…的有利条件¦take full advantage of::v. 充分利用¦competition advantage::竞争优势¦economic advantage::经济利益，经济优势¦absolute advantage::绝对利益¦to the advantage of::对……有利¦to the best advantage::效果最佳地；最出色地¦sustainable competitive advantage::可持续的竞争优势¦unfair advantage::不公平的优势¦relative advantage::相对优势；相对利益¦at an advantage::处于有利地位¦have an advantage over::胜过，优于¦advantage in competition::竞争优势¦mechanical advantage::[机]机械利益
assistant	adj::助理的；	
overestimate	vt::对…估计过高[ˌəuvər'estImət]¦n:: 过高的估计	
humid	adj:: 湿的， 潮湿的， 湿润的， 多潮气的	humid climate::湿润气候；潮湿气候¦humid air::湿空气¦humid heat::湿比热；湿润比热
controversy	n:: 争论， 辩论， 论战	
compulsory	adj:: 义务的； 必须做的； 强制性的； 必修的	compulsory education::义务教育¦compulsory course::必修课¦compulsory insurance::强制保险¦compulsory license::强制许可¦nine-year compulsory education::九年制义务教育¦compulsory subject::必修课¦compulsory execution::强制执行¦compulsory measure::强制手段¦compulsory exercise::规定动作¦china compulsory certification::中国强制认证（3C认证）¦compulsory purchase::强制购买
anticipate	v:: 预期， 预料， 期望； 先于…行动	
detach	v:: 分开， 分离； 分遣	detach from::从…分离；拆卸
slash	v:: 砍； 大幅度削减¦n::砍痕，伤痕；斜线号	
seduce	vt:: 勾引， 引诱； 诱使， 唆使	
landscape	n::风景¦vt:: 对…作景观美化， 美化	landscape design::景观设计；园林设计；环境景观设计¦landscape architecture::造园术，园林建筑学；造景建筑业¦natural landscape::自然景观；天然景观¦landscape ecology::景观生态学；园林生态¦landscape painting::风景画，山水画¦landscape architect::n. 造园技师；环境美化设计家¦cultural landscape::文化景观；人文景观¦landscape garden::园林；风景园¦human landscape::人文景观¦landscape gardening::造园术¦landscape engineering::园林工程；绿化工程；造园工程¦landscape orientation::横向¦landscape plan::景观规划；景观设计图¦competitive landscape::竞争格局；竞争状况¦desert landscape::沙漠地貌¦landscape painter::n. 风景画家；山水画家¦landscape park::园景公园，天然公园¦geographical landscape::地理景观¦landscape garden city::园林城市
temporary	adj:: 临时的， 暂时的	temporary storage::暂时存储器；暂时库容；中间存储器¦temporary work::临时工作；临时工程¦temporary shelter::临时避难所；临时收容中心；临时安置所；临时庇护站¦temporary construction::临时建筑工程；临时结构，临时构筑物¦temporary job::临时性工作¦temporary employment::短工¦temporary file::暂时文件；暂存文件¦temporary housing::临时住房，应急住宅；临时住宿¦temporary suspension::暂停¦temporary road::临时道路¦temporary worker::临时工¦temporary residence permit (card)::暂住证¦temporary provisions::暂行规定¦temporary protection::暂时保护¦temporary block::暂时块；工作单元块¦temporary certificate::临时证书
habitat	n:: 栖息地， 住处	habitat destruction::生境破坏；毁坏栖息地¦habitat condition::居住条件
desperate	adj:: 绝望的； 拼命的， 不顾一切的； 极度渴望的； 危急的	
awful	adj:: 糟糕的	an awful lot::◎经常¦an awful lot of::许多，大量的¦awful weather::气候恶劣；非常糟糕的天气
handy	adj:: 方便的； 手边的； 手巧的	come in handy::迟早有用
branch	n:: 树枝； 分部， 分科	party branch::党支部¦branch office::分支机构；分局；分社¦branch company::分公司¦branch line::支线；岔线¦executive branch::行政部门¦main branch::主枝；主分支；中央领导技¦olive branch::橄榄枝（象征和平）；谈和的建议；小孩¦branch and bound::分支界限法；界定法¦branch out::v. 长出枝条；扩展范围；偏离主题¦party branch secretary::党支部书记¦branch pipe::支管；[机]分歧管¦branch network::分支网络¦branch off::分叉¦branch manager::[经]分店经理¦special branch::（英国警察部门的）政治保安处¦branch school::分校¦branch bank::银行分行，分行¦branch out into::分成；分枝成¦bundle branch::束支¦overseas branch::国外分支机构；海外分店
urge	v:: 敦促， 力劝； 鼓励； 竭力主张	
counsellor	n:: 顾问， 辅导顾问	
high-tech	n:: 高科技	high-tech industry::高科技产业
enclosure	n:: 四周有篱笆的场地， 围场； 附件	enclosure structure::密围式搭建物；密围式构筑物¦enclosure movement::（英国历史上的）圈地运动¦shower enclosure::浴室隔板；淋浴房；淋浴间
visual	adj:: 视觉的， 用于视觉的	visual angle::n. 视界，视角¦visual effect::视觉效果；视觉特效，视觉效应¦visual field::视野¦visual acuity::视敏度¦visual system::n. 视觉系统，目视（光学）系统¦visual communication::视觉通讯；可视通信¦visual information::视觉信息¦visual impact::视觉冲击，视觉震撼；视觉效果¦visual image::视觉影像¦visual language::视觉语言¦visual art::视觉艺术¦visual inspection::目测；目检；外观检验¦visual perception::视觉感知；视知觉¦visual basic::视觉化Basic程式语言¦visual display::直观显示；视觉显示；光学显示；可见显示¦visual identity::视觉识别¦visual cortex::视皮质，视觉皮质¦visual range::视程；可见区域；可视距离¦visual impairment::视觉缺陷¦visual programming::可视编程
absent	adj:: 不在场的； 心不在焉的	absent from::缺席¦absent minded::健忘的¦absent from work::旷工；缺勤
empire	n:: 帝国	roman empire::罗马帝国（指公元前27年到公元476年的罗马奴隶制国家）¦british empire::大英帝国¦empire state::n. 帝国州（美国纽约州的别称）¦empire state building::帝国大厦（位于美国纽约州）¦byzantine empire::拜占庭帝国（即东罗马帝国，395～1453，在欧洲东南部和亚洲西南部，由罗马帝国分裂而成）¦ottoman empire::奥斯曼帝国¦holy roman empire::n. 神圣罗马帝国¦mongol empire::[史]蒙古帝国¦new empire::新帝国¦celestial empire::天朝大国（中国，等于Chinese Empire）¦western roman empire::西罗马帝国¦evil empire::邪恶帝国¦second empire::法兰西第二帝國¦chinese empire::中华帝国（指1911年以前历代中国王朝）
understanding	adj:: 体谅的； 宽容的¦n::理解；谅解	mutual understanding::互相谅解，相互理解¦memorandum of understanding::n. 谅解备忘录，理解备忘录；学术合作备忘录¦tacit understanding::默契¦on the understanding that::如果；在…条件下¦international understanding::国际间相互谅解；国际间的了解¦come to an understanding::达成谅解，取得谅解¦perception and understanding::感知与理解
utilise	vt:: 利用， 运用	
sanctuary	n:: 圣堂， 圣殿， 圣坛； 圣地； 庇护所， 避难所； 禁猎区， 动物保护区	
aerobics	n:: 有氧运动	
instruct	vt:: 教导； 指示， 命令	instruct in::指教；教导
upgrade	n::向上的斜坡；增加，改善¦vt:: 使升级， 提高， 改进； 提拔， 提升； 改善	upgrade oneself::提升自我¦on the upgrade::上升的；进步的¦upgrade kit::扩充成套
biased	adj:: 有偏见的； 片面的	reverse biased::反向偏压；反向偏置的¦biased estimate::偏差估计
community	n:: 社会； 社区； 团体； 群落； 共同体	international community::国际社会；国际共同体¦community health::社区卫生（健康）；公共卫生；社会健康¦community service::社会服务；社区服务性劳役¦business community::商界；工商业界¦community development::社区发展；群落发生¦local community::本地社区；区域群落¦community structure::群落结构，社区构成；居住区组成¦rural community::农村社会；乡村社区¦community college::社区学院，社区大学¦plant community::植物群落¦residential community::居住区¦scientific community::科学界¦european community::n. 欧洲共同市场¦community participation::社区参与¦research community::研究社群¦academic community::学术界；学术社群；高等教育界；高等学校的全体师生员工¦global community::全球社区；地球村¦community center::社区活动中心¦economic community::经济共同体¦world community::国际社会；世界共同体
ailment	n:: 疾病	
version	n:: 样式； 型号； 种类； 说法； 版本； 译本	english version::英文版本；英译本¦latest version::最新版本¦original version::原始著作，原始版本¦current version::当前版本¦version control::版本控制¦trial version::试用版¦version number::版本号¦updated version::更新方案，升级版¦special version::特别说明¦release version::发布版本；发行版本¦basic version::基本版本
propellant	n:: 喷射剂； 推进物， 推进剂	aerosol propellant::气溶胶喷射剂；气溶胶火箭燃料¦propellant gas::推进剂，气体推进剂
derelict	adj::被抛弃的；衰退的，破败的¦n:: 遗弃物； 无家可归者， 社会弃儿	
conception	n:: 观念， 概念	artistic conception::意境¦immaculate conception::[宗]无沾成胎说；圣灵感孕说¦conception rate::受胎率；受孕率
adolescence	n:: 青春， 青春期	late adolescence::青春晚期
detail	n::细节，详情；枝节，琐事¦vt:: 详述， 详细说明	in detail::详细地¦in more detail::更详细地¦detail design::详细设计；施工设计¦for further details::adv. 为了了解详情¦in some detail::相当详细地¦detail oriented::注重细节¦detail drawing::n. 细部图；详图¦technical detail::技术细节¦go into detail::详述，详细叙述¦detail list::明细表；产品信息录入清单¦detail account::具体帐单，明细表¦detail data::细目数据¦detail survey::详查；碎部测量，细部测量¦detail plan::详细图；施工图
exhale	v:: 呼出； 散发	
appropriate	adj::适当的[ə'prəuprieɪt]¦vt:: 占有， 挪用； 拨出	as appropriate::酌情；[拉丁语]视情况而定¦appropriate time::适当时间¦if appropriate::任选地；如果有的话¦appropriate technology::适当的技术；适用技术¦be appropriate for::适合于¦appropriate authority::有关当局
beware	v:: 谨防， 当心	beware of::对…小心；谨防…
for instance	::例如	
utility	n::功用，效用；	utility model::实用新型（约十个国家法律承认的一种保护发明名称，期限五年）¦public utility::公用设施；公用事业公司¦utility function::效用函数；应用函数¦utility value::实用价值，利用价值¦utility theory::效用理论¦marginal utility::边际效用¦utility boiler::电站锅炉，动力锅炉；公用锅炉¦utility system::实用系统；应用系统；公用系统¦expected utility::期望效用¦utility vehicle::多用途运载车¦utility ratio::利用率；实用率¦utility program::[计]应用程序；通用程序；实用程序¦utility maximization::效用极大化，效用最大值；极大化¦electric utility::电气设施；电业¦sport utility vehicle::运动型多用途车¦total utility::[经济]总效用；总效果¦social utility::社会效用；社会福利事业¦utility company::公用事业公司¦economic utility::经济效用¦practical utility::实用性；实用价值
immediately	adv:: 立即， 马上； 紧接地； 直接地	immediately after::立即；接在…之后¦immediately following::紧跟着¦reply immediately::速复
symphony	n:: 交响乐	symphony orchestra::交响乐团¦boston symphony orchestra::波士顿交响乐团
optimistic	adj:: 乐观的， 乐观主义的	cautiously optimistic::审慎乐观¦optimistic estimate::乐观估计；最乐观时间
submarine	adj:: 水底的， 海底的¦n::潜水艇	submarine pipeline::海底管道；水下管道¦nuclear submarine::核潜艇¦submarine cable::海底电缆¦submarine structure::海底构造；潜艇结构¦submarine fan::海底扇；海底陆源沉积扇；海底扇形地¦submarine gate::潜入式浇口；潜伏浇口；下浇口¦submarine base::潜艇基地；潜水舰基地¦submarine warfare::潜艇战
sleek	adj::光滑而有光泽的；时髦的；豪华的¦vt:: 使光滑发亮	
catastrophic	adj:: 悲惨的； 灾难性的	catastrophic failure::突变失效；灾难性故障
particle	n:: 极少量； 微粒	particle size::粒度；颗粒大小¦particle size distribution::粒度分布¦particle diameter::粒径；颗粒直径，粒子直径¦fine particle::细粒；微粒¦magnetic particle::磁粉；磁粒子，磁秽¦solid particle::固体微粒；实体颗粒¦particle physics::粒子物理学¦particle velocity::粒子速度；质点（振动）速度¦particle board::刨花板，碎料板¦charged particle::带电粒子¦particle size analyzer::粒度分析仪，粒度分析器；颗粒大小分析仪¦particle counter::粒子计数器；粒子计数管；颗粒测量计数器¦dust particle::尘粒；微尘¦average particle size::平均粒度¦particle dynamics::质点动力学¦particle size analysis::粒度分析¦elementary particle::基本粒子；元质点¦particle density::粒子密度¦spherical particle::球形颗粒¦suspended particle::悬浮颗粒；悬浮粒子；浮游质点
