abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。
hypothesis	haɪ'pɑθəsɪs	haɪ'pɒθɪsɪs	n::假设；前提	hypothesis testing::假设检验；假设测算¦hypothesis test::假设检验¦efficient market hypothesis::有效市场假说；有效率市场假说¦null hypothesis::零假设；虚假设；解消假设¦riemann hypothesis::黎曼假设（等于黎曼猜想）¦working hypothesis::作业假说，工作假说¦efficient markets hypothesis::有效市场假说	One hypothesis is that the victim fell asleep while driving.::一种假设是受害人开车时睡着了。
sham	ʃæm	ʃæm	n::假冒；膺品¦v::假装		The elections were a complete sham.::这次大选完全是一场骗局。¦She’s not ill, she’s only shamming.::她没生病，只是在装病。
fake	feɪk	feɪk	n::假货，膺品¦adj::假的	fake commodity::假货¦head fake::以头部做出假动作¦fake fur::人造革；假裘皮；仿造皮毛	The painting was judged a fake.::这幅画被鉴定为赝品。¦I gave a fake name.::我报了个假名。
presume	prɪ'zum	prɪ'zjuːm	v::假定，假设，揣测		I presume you're here on business.::我想你是来这儿出差的吧。¦"Had he been home all week?"—"I presume so."::“他整个星期都在家吗？”—“我想是。”
beetle		'biːt(ə)l	n::甲虫	dung beetle::n. 蜣螂；金龟子科；甲虫¦ground beetle::土鳖虫；步甲，步行虫¦bark beetle::树皮甲虫	a black beetle::黑甲虫¦a dung beetle::屎壳郎
clamp	klæmp	klæmp	v::夹住，夹紧¦n::夹子	clamp down::取缔；施加压力，强行压制¦clamp down on::（对…）进行压制（或取缔）¦patch clamp::膜片箝¦clamp on::夹合式¦pipe clamp::管夹；管卡子；管固定夹¦clamp plate::夹板¦earth clamp::接地夹子；地线夹¦wire clamp::线夹，钢丝钳¦hose clamp::软管夹，软管夹子；软管卡¦cable clamp::电缆夹	She clamped her hands over her ears.::她用手紧紧地捂住耳朵。¦Many openers have a magnet or set of clamps to grip the open lid.::许多开启器是用磁铁或夹具来夹紧要开启的盖子。
sandwich	'sænwɪtʃ	'sæn(d)wɪdʒ; -wɪtʃ	v::夹入，挤进	sandwich structure::夹层结构；三明治结构；叠层构造¦sandwich panel::夹层板¦chicken sandwich::鸡肉三明治；两男夹女¦sandwich plate::夹层板；多层板；多层垫板¦sandwich construction::夹层构造；夹层建筑¦ham sandwich::火腿三明治¦cheese sandwich::乳酪三明治；之士三文治¦sandwich generation::三明治世代（同时扶养与照顾父母和子女的人）¦sandwich board::n. 挂在身上的广告牌¦sandwich glass::夹层玻璃；层压玻璃¦sandwich class::夹心阶层¦sandwich beam::夹层梁；层结梁；多层叠合梁¦sandwich islands::三明治群岛（夏威夷群岛的旧称）¦knuckle sandwich::对准嘴的一拳¦club sandwich::总会三明治	Carefully split the sponge ring, then sandwich the two halves together with whipped cream.::小心地切开海绵蛋糕圈，然后在两半中间夹上生奶油。
homely	'homli	'həʊmlɪ	adj::家常的		homely cooking::家常烹调
fowl	faʊl	faʊl	n::家禽；禽肉	silky fowl::乌骨鸡¦guinea fowl::n. 珍珠鸡	Carve the fowl into 8 pieces.::将这只家禽切成8块。
poultry	'poltri	'pəʊltrɪ	n::家禽	poultry farm::n. 家禽饲养所¦poultry feed::家禽饲料¦poultry and eggs::禽蛋类¦poultry farming::家禽饲养	...a poultry farm.::…一个家禽饲养场。
heater	'hitɚ	'hiːtə	n::加热器	water heater::热水器¦solar water heater::太阳能热水器¦electric heater::电热器；电暖气¦electric water heater::电热水器¦air heater::[化]空气加热器；热风机；热风器¦oil heater::油加热器¦induction heater::电感应加热器¦gas heater::气体加热器，燃气热水器¦steam heater::蒸汽加热器¦heater tube::旁热式电子管；暖气钢管¦electrical heater::电加热器；电热器¦tubular heater::管式加热器¦heater element::加热元件，发热元件¦infrared heater::红外线加热器¦immersion heater::n. 电热煮沸器；浸没式加热器¦fan heater::风扇式空气加热器；暖风机¦instantaneous water heater::即热式热水炉；快热式热水器；瞬时水加热器¦hot water heater::热水加热器；热水采暖装置	Did you turn the heater off?::你关掉加热器了吗？
deepen			vt::（使色泽等）加浓		deepening shadows::越来越暗的阴影
heighten	'haɪtn	'haɪt(ə)n	v::加高，提高；增加		There are fears that the march will heighten racial tension.::有人担心这次游行会加深种族间的紧张局势。¦Increased levels of fat in the diet could heighten the risk of cancer.::饮食中脂肪摄入量的提升会增加患癌症的风险。
line	laɪn	laɪn	v::加衬里于	in line::adv. 协调；成一直线；有秩序¦in line with::符合；与…一致¦on line::在线的；联机的¦line of::…线¦line of business::行业；营业范围¦production line::生产线¦line with::按照，与……一致；沿着…排列¦on the line::处于危险中；模棱两可；在电话线上¦product line::生产线；产品线；产品系列¦line in::线路输入¦transmission line::n. [无][电]传输线；波导线¦out of line::不协调，不一致；不成直线¦in a line::排成一行¦straight line::直线¦assembly line::装配线；流水作业线¦by line::精确地,准确地,正确地 [亦作 by line and level]¦bottom line::结果；概要；帐本底线¦main line::干线；[俚]大静脉¦down the line::adv. 完全地；沿着街道¦power line::电力线；电源线；输电线	Are those curtains lined?::那些窗帘加衬里了吗？
stillness	'stɪlnəs	'stɪlnɪs	n::寂静，无声		The sound of footsteps on the path broke the stillness.::小路上的脚步声打破了宁静。
lodging	'lɑdʒɪŋ	'lɒdʒɪŋ	n::寄宿，住宿；住所	board and lodging::膳宿；供应食宿¦lodging resistance::耐倒伏性	It’s £90 a week for board and lodging (= meals and a room ).::食宿费每周90英镑。
successor	sək'sɛsɚ	sək'sesə	n::继承人，继任者	legal successor::法定继承人；合法继承人	His successor died after only 15 months in office.::他的继任者就任仅15个月就去世了。¦I’m sure she will be a worthy successor (= someone who is very good and deserves to be someone’s successor).::我确信她会是个当之无愧的接班人。
succession	sək'sɛʃən	sək'seʃ(ə)n	n::继承（权）	in succession::接连地，连续地¦a succession of::一连串；一系列¦in quick succession::紧接地¦succession planning::接班人计划；继任计划¦vegetation succession::植被演替；植被接续¦ecological succession::生态演替；生态替续¦secondary succession::次级演替；次生演替系列	If the prince dies, the succession passes to his son.::王子如果去世，就由他的儿子继承。
quarterly	'kwɔrtɚli	'kwɔːtəlɪ	adj&adv::季度的（地）	quarterly report::季报，季度报告	We publish a quarterly journal.::我们出版一份季刊。
craft	kræft	krɑːft	n::技巧	craft brother::n. 同行¦art and craft::工艺品¦space craft::宇宙飞船¦craft design::工艺美术设计；手工艺设计¦craft paper::牛皮纸¦landing craft::登陆艇¦craft product::工艺品¦air craft::n. 飞机；航空器¦by craft::用诡计（手腕）	The musician spends years perfecting his craft.::这位音乐家多年来不断提高自己的艺术造诣。
souvenir	,suvə'nɪr	,suːvə'nɪə	n::纪念品	souvenir shop::n. 纪念品店	a souvenir shop::纪念品商店
documentary	'dɑkjə'mɛntri	dɒkjʊ'ment(ə)rɪ	adj::纪录的；文献的	documentary film::纪录片；文献片¦documentary credit::押汇信用证¦documentary evidence::证明文件；书面证明¦documentary draft::跟单汇票；押汇汇票¦documentary letter of credit::跟单信用证；跟单信用状¦documentary proof::文件证明¦documentary collection::跟单托收	documentary films::纪录影片¦One of the most useful sources of documentary evidence is maps.::最有价值的文献证据之一就是地图。
marginal	'mɑrdʒɪnl	'mɑːdʒɪn(ə)l	adj::边缘的；记在页边的	marginal cost::边际成本（经济学专有名词）¦marginal utility::边际效用¦marginal propensity::边际倾向¦marginal propensity to consume::[经]边际消费倾向¦marginal analysis::边际分析¦marginal revenue::边际收入，边际收益¦marginal profit::边际利益；限界利润¦marginal price::[经]边际价格¦marginal tax::边际税率；边际税收¦marginal effect::边绝效应；缘界效应¦marginal product::边际产品，边际产量¦marginal sea::领海¦marginal benefit::边际收益；边际效益¦marginal zone::缘带；边缘区；[经]产油枯竭带¦marginal contribution::边际贡献¦marginal value::[经]边际价值；临界值¦marginal productivity::边际生产力¦marginal tax rate::边际税率¦diminishing marginal utility::边际效用递减率¦marginal cost pricing::[经]按边际成本定价	marginal groups in society::社会中的非主流群体¦marginal notes::边注（旁注）
terminal	ˈtɜːrmɪnl	'tɜːmɪn(ə)l	n::计算机终端；线接头	terminal market::农产品集散市场¦container terminal::集装箱码头；货柜码头¦terminal equipment::终端设备¦airport terminal::航站楼；机场候机楼¦bus terminal::公车总站，公车终站，巴士站¦terminal unit::终端设备¦terminal point::终点；端点¦terminal cancer::癌症晚期¦ferry terminal::渡轮码头；车船联运港；客轮码头¦terminal voltage::端电压；高压电极电压；终端电压¦display terminal::显示终端¦terminal building::航站楼；候机楼；机场大厦；候机室建筑物¦remote terminal::远程终端¦terminal station::终点站；终端局¦terminal system::终端系统¦output terminal::输出端¦terminal device::[计]终端设备¦computer terminal::计算机终端¦terminal user::终端机用户；联机检索订户¦receiving terminal::油库；收油站；接收端	Carl sits at a computer terminal 40 hours a week.::卡尔每周要在电脑前坐40小时。¦...the positive terminal of the battery.::…电池的正极。
scheme	skim	skiːm	v::计划，搞阴谋	design scheme::设计方案¦scheme design::[经]初步设计¦color scheme::配色方案，色彩设计¦coding scheme::编码方案¦pilot scheme::[经]小规模试验计划¦allocation scheme::分配方式¦ponzi scheme::庞氏骗局（指骗人向虚设的企业投资，以后来投资者的钱作为快速盈利付给最初投资者以诱使更多人上当）¦flow scheme::流程表，流程图¦finite difference scheme::[计]有限差分格式¦modulation scheme::[计]调制方案¦pension scheme::退休金计划¦pyramid scheme::金字塔骗局；非法传销¦colour scheme::色调搭配；色系¦implicit scheme::隐格式¦working scheme::施工方案；施业规划；工作计划；加工方案¦preliminary scheme::初步规划¦scheme of control::管制计划¦marking scheme::评分方案¦housing scheme::住宅建筑方案¦principle scheme::原理图	Everyone's always scheming and plotting.::每个人时刻都在算计和谋划。¦The bride's family were scheming to prevent a wedding.::新娘的家人在密谋阻止婚礼。
geometrical	dʒɪə'mɛtrɪkl	dʒɪə'metrɪkl	adj::几何学的	geometrical model::几何模型¦geometrical optics::几何光学¦geometrical relationship::几何关系¦geometrical characteristic::几何特性¦geometrical condition::几何条件	geometrical progression::几何级数
bazaar	bə'zɑr	bə'zɑː	n::集市，廉价商店		Kamal was a vendor in Cairo's open-air bazaar.::卡莫尔曾是开罗露天集市的摊贩。
gathering	'ɡæðərɪŋ	'gæð(ə)rɪŋ	n::集会，聚会，聚集	data gathering::数据采集；资料搜集¦information gathering::信息收（搜）集；情报收集¦gathering system::收集系统¦social gathering::联谊会；社会集结¦intelligence gathering::情报收集；情报搜集¦gathering line::集油管线	a select gathering of 20 or 30 people::二三十名特邀人士的聚会
set	sɛt	set	n::集（合）	set up::v. 建立；装配；开业；竖立¦a set of::一套；一组；一副¦set out::出发；开始；陈述；陈列¦complete set::整套；[计]成套机组；完全集¦set in::vi. 开始；到来；流行¦set forth::陈述，提出；出发；陈列；宣布¦set off::v. 出发；引起；动身；使爆炸；抵销；分开¦set by::把…留开¦a complete set of::一整套¦form a complete set::配套¦set theory::集合论¦set on::唆使；开始；攻击¦full set::全套，全组¦full set of::全套；一整套¦set up for::自以为；自命为；为…做准备¦whole set::成套；全套装置¦data set::数据集；数传机¦one set::一盘¦tv set::n. 电视机¦all set::准备就绪，都安排好了	The set (x, y) has two members.::（x, y）这个集里有两个项。
disorder			n::疾病，小病		severe eating disorders such as bulimia and anorexia::像贪食症和厌食症这类严重的进食障碍
complaint	kəm'plent	kəm'pleɪnt	n::疾病，病痛	complaint about::投诉；对…抱怨¦lodge a complaint::投诉；对…提出控告¦complaint center::投诉中心¦make a complaint::提出投诉；抱怨¦complaint handling::投诉处理¦chief complaint::主诉	He is having treatment for a chest complaint.::他在接受胸部疾病的治疗。
forthcoming	,fɔrθ'kʌmɪŋ	fɔːθ'kʌmɪŋ	adj::即将到来的；现成的		the forthcoming elections::即将到来的选举¦Financial support was not forthcoming.::财政支援尚未到手。
polarity	pə'lærəti	pə(ʊ)'lærɪtɪ	n::（人、意见或观念的）截然相反，截然对立；极性	reverse polarity::[电子]反极性；逆偏振¦opposite polarity::相反极性¦polarity reversal::反极性；极性变换；极性倒转¦negative polarity::负极性¦polarity effect::极性效应；极化效应¦reversed polarity::反极性	...the polarities of good and evil.::..善与恶的截然对立。¦reversed polarity::反极性
extreme	ɪk'strim	ɪk'striːm; ek-	n::极端不同的性质	to the extreme::走向极端¦in the extreme::非常；极度¦extreme value::极值，极端值¦extreme pressure::极压，极限压力；特高压力；超高压¦extreme poverty::极端贫穷¦extreme sports::极限运动¦extreme point::极点，端点¦extreme environment::极端环境；极限环境¦extreme temperature::极端温度；极限温度¦extreme position::极限位置¦extreme pressure additive::极压添加剂	In fact, the truth lies between the two extremes.::事实上，真理存在于两个极端之间。¦Advertisements seem to go from one extreme to the other (= change from one extreme thing to something totally opposite).::广告似乎从一个极端走到了另一个极端。
guitar			n::吉他，六弦琴		an acoustic/an electric/a classical, etc. guitar::原声吉他、电吉他、古典吉他等
timely	'taɪmli	'taɪmlɪ	adj::及时的；适时的	timely adjustment::适时调节	The fight ended only with the timely arrival of the police.::幸亏警察及时赶到，打斗总算停止。
irritate	'ɪrɪtet	'ɪrɪteɪt	v::激怒；引起不愉快		It really irritates me when he doesn’t help around the house.::家里的事情他一点都不帮忙，真让我恼火。
drastic	'dræstɪk	'dræstɪk; 'drɑː-	adj::激烈的；严厉的		drastic cuts in government spending::政府开支的急剧削减¦Drastic changesare needed if environmental catastrophe is to be avoided.::要想避免环境灾难就需要重大的变革。
severe	sɪ'vɪr	sɪ'vɪə	adj::艰难的；简朴的	severe test::严格试验，严格检验¦severe acute respiratory syndrome::严重急性呼吸系统综合症¦severe punishment::严厉惩罚；从重处罚¦severe cold::n. 严寒；大寒¦severe weather::恶劣天气；风雨交加的天气；剧烈天气¦severe winter::n. 严冬；寒冬腊月¦severe pain::激痛，剧痛¦severe environment::恶劣环境¦severe stress::危险应力¦severe condition::苛刻条件；深度反应条件¦severe storm::暴风；强烈风暴¦severe strain::危险应变¦severe frost::严霜¦severe discipline::严格的纪律	The negotiations will be a severe test of his abilities.::这次谈判将是对他能力的严峻考验。¦a rather severe red-brick building::一幢相当简朴的红砖建筑
Christian	'krɪstʃən	'krɪstɪən; -tʃ(ə)n	adj::基督教的	christian religion::基督教¦christian era::公元；基督纪元¦christian science::基督教科学派¦hans christian andersen::汉斯•克里斯蒂安•安徒生（丹麦童话大师）¦christian abbiati::阿比亚蒂（意大利球员）¦christian science monitor::基督教科学箴言报¦christian dior::克里斯汀•迪奥（世界著名时装品牌）¦christian name::受洗时所取的名字	the Christian religion::基督教¦the Christian church::基督教会¦a Christian minister::基督教牧师
elemental	,ɛlɪ'mɛntl	,elɪ'ment(ə)l	adj::基本的；自然力的	elemental analysis::元素分析¦elemental sulfur::元素硫¦elemental composition::构成的化学元素	Love and fear are two of the most elemental human emotions.::爱和恐惧是人类最基本的两种情感。¦the elemental fury of the storm::暴风雨的肆虐
radical			adj::基本的；激进的		the need for radical changes in education::对教育进行彻底变革的需要¦the radical wing of the party::党内的激进派
ultimate	'ʌltəmət	'ʌltɪmət	adj::首要的；基本的	ultimate goal::最终目标；终极目标¦ultimate strength::极限强度，强度极限¦ultimate bearing capacity::极限承载力，极限承载量；轴承极限能力，承载量¦ultimate objective::最终目标；最极目标¦ultimate load::极限载荷¦ultimate value::极限值；最后值；最大值¦ultimate concern::终极关怀¦ultimate capacity::[电]极限容量；[电]总功率；最终产量¦ultimate analysis::元素分析；最后分析¦ultimate tensile strength::极限抗拉强度¦ultimate destination::最终目的地¦ultimate state::极限状态¦ultimate reality::上帝；最高实在¦ultimate stress::[化]极限应力；最大应力¦ultimate consumer::末级消费者；最后消费者¦ultimate pressure::极限压强；极限压力¦ultimate strain::极限应变，临界应变¦ultimate limit state::极限状态；最大极限状态¦ultimate output::极限输出；极限输出功率；极限容量，最大功率¦ultimate elongation::破裂伸长；极限伸长	Complete disarmament was the ultimate goal of the conference.::全面裁军是这次会议的最终目标。¦the ultimate truths of philosophy and science::哲学与科学的终极原理
energetic	,ɛnɚ'dʒɛtɪk	,enə'dʒetɪk	adj::积极的；精力旺盛的		an energetic man::精力旺盛的男子¦an energetic drive to get more customers::争取更多客户的十足干劲
muscular	'mʌskjəlɚ	'mʌskjʊlə	adj::肌肉发达的，强健的	muscular dystrophy::[医]肌肉萎缩症¦muscular atrophy::肌肉萎缩	She was fast and strong, with a slender, muscular body.::她动作敏捷，身体强壮，身材苗条，肌肉结实。¦He’s very muscular.::他很强壮。
witty	'wɪti	'wɪtɪ	adj::机智的；风趣的	poems witty::诗词使人灵秀（出自培根散文《论读书》）	witty remarks::妙语¦Laura’s very witty.::劳拉谈吐很风趣。
mechanism	'mɛkənɪzəm	'mek(ə)nɪz(ə)m	n::机械装置；机制	market mechanism::市场机制；市场调节作用¦reaction mechanism::反应机理¦incentive mechanism::激励机制¦control mechanism::控制机构¦operating mechanism::操作机构；工作机构¦failure mechanism::破坏机理；失效机理¦transmission mechanism::传导机制；传动装置¦mechanism of action::作用机制；作用机理¦transfer mechanism::传动机构；转帐机构¦corrosion mechanism::腐蚀机理¦drive mechanism::驱动机构；传动装置¦price mechanism::价格机制¦driving mechanism::[计]驱动器；转仪装置¦mechanism design::机制设计（微观经济学和博弈论的分支领域）；机构设计（学科名称）；机械设计¦cam mechanism::凸轮机构¦mechanism model::机理模型¦competitive mechanism::竞争机制；竞争过程¦fracture mechanism::断裂机理；断裂机制¦generation mechanism::产生机制¦degradation mechanism::老化机构；降解机制	the brake mechanism::刹车装置¦existing mechanisms for decision making::现行的决策机制
tact	tækt	tækt	n::机敏，圆滑，得体		With great tact, Clive persuaded her to apologize.::克莱夫十分巧妙地说服了她去道歉。
ingenious	ɪn'dʒinɪəs	ɪn'dʒiːnɪəs	adj::精巧制成的；机灵的		an ingenious device::精巧的装置¦an ingenious cook::心灵手巧的厨师
ingenuity			n::机灵；设计新颖		Inspecting the nest can be difficult and may require some ingenuity.::仔细检查鸟巢可能有困难，也许需要一些巧妙的心思。
framework	'fremwɝk	'freɪmwɜːk	n::体制	basic framework::基本框架¦legal framework::法律体制¦conceptual framework::概念框架；基本概念¦analytical framework::分析框架；分析架构¦structural framework::结构骨架¦net framework::n. [计算机]微软网络框架¦regulatory framework::规章制度；规管架构¦framework structure::架状结构¦steel framework::钢构架¦practical framework::实践范围¦social framework::社会机构¦framework material::骨架材料¦metal framework::[化]金属框架	We need to establish a legal framework for the protection of the environment.::我们需要建立一个法律体制来保护环境。
fence	fɛns	fens	n::击剑（术），击剑	over the fence::越过场端；不讲道理的 ，不公正的¦on the fence::保持中立；抱观望态度¦fence in::用栅栅围起来¦fence with::搪塞，回避¦chain link fence::铁丝网围栏¦on one's fence::帮助某人¦wire fence::铁丝网；铁丝栅栏¦back fence::后挡板；后篱笆¦electric fence::电丝网；电围网¦fence post::围篱桩；栅栏柱¦bamboo fence::竹篱笆¦rail fence::n. 栅栏¦sit on the fence::保持中立；采取骑墙态度	
stall	stɔl	stɔːl	n::货摊，书摊；马厩	market stall::街市档位	a market stall::市场摊位
fellowship	'fɛloʃɪp	'felə(ʊ)ʃɪp	n::伙伴关系；联谊会	good fellowship::交际广，好交际；讨人喜欢¦traveling fellowship::出国奖学金；旅行奖学金	Regular outings contribute to a sense of fellowship among co-workers.::经常外出游玩可以增进同事之间的友谊。
Mars	mɑrz	mɑːz	n::火星		the enormous volcanoes known to exist on Mars::已知在火星上存在的大量火山
ham	hæm	hæm	n::火腿	ham sandwich::火腿三明治¦preserved ham::腊肉¦ham radio::业余无线电¦ham and egg::火腿肠；火腿鸡蛋	a ham sandwich::火腿三明治¦a seven-pound ham::七磅重的火腿
piston	'pɪstən	'pɪst(ə)n	n::活塞	piston ring::[机]活塞环¦piston pump::活塞泵¦piston rod::n. 活塞杆¦piston pin::活塞销¦piston compressor::活塞式压缩机；往复式压缩机¦engine piston::发动机活塞¦axial piston pump::轴向活塞泵¦piston skirt::活塞裙¦piston engine::活塞发动机¦hydraulic piston::液压活塞，水力活塞¦piston head::活塞头¦radial piston pump::[化]径向活塞泵¦piston stroke::活塞冲程；活塞行程¦piston seal::活塞密封，活塞密封圈；活塞油封¦piston flow::活塞流¦piston cylinder::活塞筒，活塞式液压缸¦piston displacement::活塞位移¦plunger piston::柱塞¦piston accumulator::活塞式蓄能器	The piston moves by steam pressure.::活塞在蒸汽压力下运动。
vigour	'viɡə	'vɪgə	n::活力，精力；元气	hybrid vigour::杂种优势	He began working with renewed vigour.::他以更加旺盛的精力开始工作。
cloudy	'klaʊdi	'klaʊdɪ	adj::混浊的；模糊不清的	cloudy day::阴天¦cloudy sky::多云天空，阴天¦partly cloudy::局部多云；少云	a rather cloudy wine::相当浑浊的葡萄酒¦...an absurdly cloudy political debate...::极为含糊不清的政治辩论
mixer	'mɪksɚ	'mɪksə	n::搅拌器	concrete mixer::混凝土混合机¦static mixer::静态混合器¦internal mixer::密炼机；密闭式混合机¦electric mixer::电动搅拌机¦cement mixer::水泥浆搅拌机¦mixer truck::混凝土搅拌车¦continuous mixer::连续混炼机；连续搅拌机¦banbury mixer::密炼机；班伯里密炼机；班布里混合机¦metal mixer::金属混合炉；混铁炉¦food mixer::食品搅拌器¦spiral mixer::蜗旋混合器¦concrete mixer truck::混凝土搅拌车	an electric food mixer::电动食品搅拌器¦a cement mixer::混凝土搅拌机¦a shower mixer::冷热水混合淋浴龙头
engagement	ɪn'ɡedʒmənt	ɪn'geɪdʒm(ə)nt; en-	n::婚约；约会		Their engagement was announced in the paper.::他们订婚的消息在报上公布了。¦This is his only public speaking engagement on the tour.::这是他此行唯一一场公开演讲。
bribe	braɪb	braɪb	n::贿赂¦v::向…行贿		The officials said that they had been offered bribes before an important game.::这几名官员说，有人在一场重要比赛之前向他们行贿。¦The only way we could get into the country was by bribing the border officials.::我们要进入这个国家，唯一的办法是贿赂边境官员。
corrupt	kə'rʌpt	kə'rʌpt	v::使腐化¦adj::腐败的	corrupt practice::弊端；行贿；舞弊行为¦foreign corrupt practices act::反国外行贿法规	Young prisoners are being corrupted by the older, long-term offenders.::年轻的囚犯正在被年纪较大、刑期长的犯人带坏。¦Corrupt judges have taken millions of dollars in bribes.::腐败的法官接受了几百万美元的贿赂。
response	rɪ'spɑns	rɪ'spɒns	n::回应	in response::作为回答¦dynamic response::动态响应；动力特性¦response time::响应时间¦frequency response::频率响应；录放幅频响应¦emergency response::应急响应¦quick response::快速响应，快速反应¦seismic response::地震响应¦immune response::免疫反应（体内免疫系统对外来有机体或化学物挑战所作出的反应）；免疫应答；免疫响应¦fast response::快速响应¦rapid response::快速反应¦impulse response::脉冲响应¦response surface::反应曲面¦response speed::响应速度；反应速度¦transient response::n. 瞬态响应¦response function::响应函数¦response spectrum::反应谱；响应谱；响应频谱；感应波谱¦positive response::肯定回应；[计]正响应¦response system::反应系统¦no response::无响应；没有响应¦stress response::应激反应；压力反应	Carl made no response, and carried on with his meal.::卡尔没有回答，继续吃饭。
badge	bædʒ	bædʒ	n::徽章，像章；标志		We were each handed a badge with our name on it.::我们每个人都拿到一个徽章，上面有我们的名字。¦He now sees his wartime injuries as a badge of honor.::现在，他把自己在战争中受的伤看成是一种光荣标记。
wield	wild	wiːld	v::挥（剑）；行使	wield power::行使权力	He was attacked by a man wielding a knife.::他遭到一名持刀男子的袭击。¦She wields enormous power within the party.::她操纵着党内大权。
locust	'lokəst	'ləʊkəst	n::蝗虫	black locust::刺槐；洋槐¦locust bean::槐豆¦locust tree::刺槐，槐树¦locust bean gum::豆胶，槐树豆胶¦honey locust::皂荚树（北美产的）	a swarm of locusts::一大群蝗虫
wasp	wɑsp	wɒsp	n::黄蜂		a wasp sting::黄蜂蜇伤¦a wasps' nest::黄蜂窝
royalty	'rɔɪəlti	'rɒɪəltɪ	n::皇家，王族，皇族	royalty fee::使用费	At school the other children treated them like royalty.::在学校里，其他孩子将他们奉若王族。
desolate	'dɛsələt	'des(ə)lət	adj::荒芜的；孤独的		a desolate landscape::荒凉的景色¦He was desolate without her.::没有她，他感到很凄凉。
illusion	ɪ'luʒn	ɪ'l(j)uːʒ(ə)n	n::幻想；错觉；假象	optical illusion::视错觉，错视；光幻觉¦visual illusion::视觉错误	She was under no illusion that he loved her.::她不再幻想他爱她了。¦The mirrors in the room gave an illusion of greater space.::房间里的镜子给人一种空间增大的错觉。
modification	,mɑdɪfɪ'keʃən	,mɒdɪfɪ'keɪʃ(ə)n	n::修改	surface modification::表面改质；表面饰变¦chemical modification::化学修饰；化学改质¦profile modification::齿形修整¦equipment modification::设备修改¦weather modification::人工影响天气¦behavior modification::行为矫正¦modification coefficient::变位系数¦data modification::数据修改¦addendum modification::齿高变位量；齿顶高修正	They have used the same process for almost 50 years with only minor modifications.::同样的工序他们用了将近50年，期间只做过很小的改动。
environmental	ɪn,vaɪrən'mɛntl	ɪnvaɪrən'ment(ə)l; en-	adj::环境的，环境产生的	environmental protection::环境保护¦environmental pollution::n. 环境污染¦environmental impact::环境冲击，环境影响¦environmental quality::环境质量；环境品质¦environmental management::环境管理¦environmental monitoring::环境监测；环境监控¦environmental impact assessment::环境影响评价¦environmental problem::环境问题¦environmental science::环境科学，环境学；环境工程¦environmental engineering::环境工程；环境工程学；环境保护工程¦environmental education::环境教育¦environmental friendly::环保的¦environmental capacity::环境容量，环境负荷量；环境承载力¦environmental law::环境法¦environmental benefits::环境效益¦environmental assessment::环境评价；环境评估¦environmental awareness::环境意识；环保意识¦environmental information::环境信息；环境资讯¦environmental design::环境设计¦environmental policy::环境政策，环境方针	the environmental damage caused by the chemical industry::化学工业对环境造成的破坏¦an international meeting to discuss environmental issues::探讨环境问题的国际会议¦the environmental impact of pollution from cars::汽车造成的污染对环境的影响¦an environmental group::环境保护组织
pregnant	'prɛɡnənt	'pregnənt	adj::怀孕的；意义深长的；意义深长的	pregnant woman::孕妇¦to be pregnant::怀孕¦pregnant solution::含贵重矿物溶液	care for pregnant women::孕妇保健¦He stopped, and there was a pregnant pause.::他停住了，那是个意味深长的停顿。
fossil	'fɑsl	'fɒs(ə)l; -sɪl	n::化石	fossil fuel::矿物燃料，化石燃料¦living fossil::[生]活化石；[口]落后于时代的人¦trace fossil::生痕化石；踪迹化石¦fossil oil::石油；化石燃料	fossils of early reptiles::早期爬行动物的化石¦Marine sponges have a long fossil record (= their development has been recorded over a long period ).::海绵动物留下了漫长的化石记录。
glider	'ɡlaɪdɚ	'glaɪdə	n::滑翔机；滑翔导弹		
pulley	'pʊli	'pʊlɪ	n::滑轮，滑车，皮带轮	belt pulley::皮带轮；皮带盘¦guide pulley::导向轮；压带轮¦pulley block::滑轮组¦motor pulley::电动机皮带轮¦crank pulley::曲轴皮带轮	a system of ropes and pulleys::绳索滑轮系统
slide	slaɪd	slaɪd	n::滑动，滑行	on the slide::在滑板上；日益恶化¦slide show::放映幻灯片¦slide block::滑块；滑架¦slide down::滑下，往下滑；塌陷；下滑音¦slide into::不知不觉陷入；不知不觉地沾染上¦slide rail::滑道，滑轨¦slide valve::n. [机]滑阀¦slide way::滑道，滑槽¦slide plate::滑块；滑板滑床板¦slide fastener::n. 拉链¦water slide::水滑道¦slide projector::幻灯机，幻灯片放映机¦slide guide::滑动导轨，导轨¦slide over::略过；回避¦glass slide::载玻片；玻璃载片¦slide bearing::滑动轴承¦slide gate::滑动闸门，滑动水口；滑门¦microscope slide::显微镜载片；显微镜载物片¦slide switch::滑动开关¦slide up::上滑音；滑盖式	The car went into a slide.::汽车打起滑来。
granite	'grænɪt	'grænɪt	adj::花岗岩，花岗石	weathered granite::风化花岗岩；风化石¦granite porphyry::花岗斑岩；石英斑岩¦black granite::黑色花岗岩；黑花岗石	
correlate	'kɔrəlet	'kɒrəleɪt; -rɪ-	n::互相关联的事物	correlate with::找出一一对应的关系；使…与…发生关系	
