revolt	n. 反抗；造反，起义 v. 起义；反抗
clockwise	adv. 顺时针方向地 adj. 顺时针方向的
verify	v. 核实；查证
zoo	n. 动物园
blend	v. 混合 n. 混合；掺合物
assault	n. 攻击；袭击 v. 攻击；袭击
voluntary	adj. 自愿的；志愿的；自发的；故意的 n. 志愿者；自愿行动
hen	n. 母鸡；女人；雌禽
isolate	v. 使隔离；使孤立；使绝缘 n. [生物] 隔离种群 adj. 隔离的；孤立的
orientation	n. 方向；定向；适应；情况介绍；向东方
transfer	n. 转让；转移；传递；过户 v. 转让；转学；换车
bag	n. 袋；猎获物；（俚）一瓶啤酒 v. 猎获；把…装入袋中；占据，私吞；使膨大
sensible	adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的; n. 可感觉到的东西; 敏感的人;
siege	n. 围攻；包围；围城；不断袭击；长期努力 vt. 围攻；包围
horizontal	adj. 水平的；地平线的；同一阶层的 n. 水平线，水平面；水平位置
scissors	n. 剪刀；剪式跳法 v. 剪开；删除（scissor的第三人称单数）
perfume	n. 香水；香味 v. 洒香水于…；使…带香味
vegetable	n. 蔬菜；植物；植物人 adj. 蔬菜的；植物的
foam	n. 泡沫；水沫；灭火泡沫 v. 起泡沫；吐白沫；起着泡沫流动
huddle	v. 把挤在一起；使缩成一团；草率了事 n. 拥挤；混乱；杂乱一团
supermarket	n. 超级市场；自助售货商店
tropical	adj. 热带的；热情的；酷热的
feminine	adj. 女性的；妇女（似）的；阴性的；娇柔的
hierarchy	n. 层级；等级制度
lubricate	v. 润滑；涂油；起润滑剂作用
overhear	v. 无意中听到；偷听
editorial	adj. 编辑的；社论的 n. 社论
modernization	n. 现代化
pea	n. 豌豆
exceed	v. 超过；胜过
void	adj. 空的；无效的；无人的 n. 空虚；空间；空隙 v. 使无效；排放
headmaster	n. 校长
twist	v. 捻；拧；扭伤；编织；使苦恼 n. 扭曲；拧；扭伤
sulfur	v. 用硫磺处理 n. 硫磺；硫磺色
stab	v. 刺；刺伤；戳；刺穿；直入 n. 刺；戳；尝试；突发的一阵
chemist	n. 化学家；化学工作者；药剂师；炼金术士
marital	adj. 婚姻的；夫妇间的
interior	n. 内部；本质 adj. 内部的；国内的；本质的
spoon	n. 匙，勺子；一杓的量 v. 用匙舀；使成匙状
vegetation	n. 植被；植物，草木；呆板单调的生活
helmet	n. 钢盔，头盔
remainder	n. [数] 余数，残余；剩余物；其余的人 adj. 剩余的；吃剩的 v. 廉价出售；削价出售
affluent	adj. 富裕的；丰富的；流畅的 n. 支流；富人
exact	adj. 准确的，精密的；精确的 v. 要求；强求；急需
pave	v. 铺设；安排；作铺设之用 n. (Pave)人名；(西、塞)帕韦
cycle	n. 循环；周期；自行车；整套；一段时间 v. 使循环；使轮转
workshop	 n. 车间；研讨会；工场；讲习班
beg	 v. 乞讨；恳求；回避正题 n. (Beg)人名；(德、塞、巴基)贝格
bee	 n. 蜜蜂，蜂；勤劳的人
telegram	 n. 电报 vt. 用电报发送 vi. 发电报
notorious	 adj. 声名狼藉的，臭名昭著的
bless	 v. 祝福；保佑；赞美 n. (Bless)人名；(英、意、德、匈)布莱斯
peninsula	 n. 半岛
christian	 n. 基督徒，信徒 adj. 基督教的；信基督教的
grease	 v. 涂脂于；贿赂 n. 油脂；贿赂
appoint	 v. 任命；指定；约定
ease	 v. 减轻，缓和；使安心 n. 轻松，舒适；安逸，悠闲
digest	 v. 消化；吸收；融会贯通 n. 文摘；摘要
judicial	 adj. 公正的，明断的；法庭的；审判上的
arrest	 v. 逮捕；阻止；吸引 n. 逮捕；监禁
compute	 v. 计算；估算；用计算机计算 n. 计算；估计；推断
quantitative	 adj. 定量的；量的，数量的
subordinate	 n. 下属，下级；部属，属下 adj. 从属的；次要的 v. 使……居下位；使……服从
denial	 n. 否认；拒绝；节制；背弃
applaud	 v. 赞同；称赞；向…喝彩
inject	 v. 注入；注射
bloom	 n. 花；青春；旺盛 v. 使开花；使茂盛
cyberspace	 n. 网络空间；赛博空间
pie	 n. 馅饼；饼图；爱说话的人 vt. 使杂乱
pig	 n. 猪；猪肉 v. 生小猪；像猪一样过活
illuminate	 v. 阐明，说明；照亮；使灿烂；用灯装饰
football	 n. 足球，橄榄球 vi. 踢足球；打橄榄球
navy	 n. 海军
pit	 n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众 v. 使竞争；窖藏；使凹下；去…之核；使留疤痕
hardship	 n. 困苦；苦难；艰难险阻
exterior	 adj. 外部的；表面的；外在的 n. 外部；表面；外型；外貌
glorious	 adj. 光荣的；辉煌的；极好的
pot	 n. 壶；盆；罐 v. 把…装罐；射击；节略
tenant	 n. 承租人；房客；佃户；居住者 v. 租借（常用于被动语态）
acrobat	 n. 杂技演员，特技演员；随机应变者；翻云覆雨者，善变者
quantity	 n. 量，数量；大量；总量
submarine	 n. 潜水艇；海底生物 adj. 海底的；水下的 v. 用潜水艇攻击
cardinal	 n. 红衣主教；枢机主教；鲜红色；【鸟类】(北美)主红雀 adj. 主要的，基本的；深红色的
absurd	 adj. 荒谬的；可笑的 n. 荒诞；荒诞作品
intermediate	 v. 起媒介作用 adj. 中间的，中级的 n. [化学] 中间物；媒介
temple	 n. 庙宇；寺院；神殿；太阳穴
colonel	 n. 陆军上校
obey	 v. 服从，听从；按照……行动 n. (Obey)人名；(英、法)奥贝
crane	 n. 吊车，起重机；鹤 v. 伸着脖子看；迟疑，踌躇
appraisal	 n. 评价；估价（尤指估价财产，以便征税）；估计
doctorate	 n. 博士学位；博士头衔
guideline	 n. 指导方针
bump	 n. 肿块，隆起物；撞击 v. 碰撞，撞击；颠簸而行 adv. 突然地，猛烈地
electron	 n. 电子
royalty	 n. 皇室；版税；王权；专利税
weed	 v. 除草；铲除 n. 杂草，野草；菸草
thorn	 n. 刺；[植] 荆棘
wedge	 v. 楔入；挤进；楔住 n. 楔子；楔形物；导致分裂的东西
allocate	 v. 分配；拨出；使坐落于
bull	 n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺 adj. 大型的；公牛似的；雄性的 v. 企图抬高证券价格；吓唬；强力实现
kidnap	 v. 绑架；诱拐；拐骗
wrinkle	 n. 皱纹 v. 起皱
weep	 v. 哭泣；流泪；哀悼；滴落；渗出液体 n. 哭泣；眼泪；滴下
reckless	 adj. 鲁莽的，不顾后果的；粗心大意的 n. (Reckless)人名；(英)雷克利斯
lumber	 v. 伐木；喧闹地向前走；笨重地行动，缓慢地移动 n. 木材；废物，无用的杂物；隆隆声
october	 n. [天] 十月
arbitrary	 adj. [数] 任意的；武断的；专制的
unload	 v. 卸；摆脱…之负担；倾销
strap	 v. 用带捆绑；用皮条抽打；约束 n. 带；皮带；磨刀皮带；鞭打
skillful	 adj. 熟练的；巧妙的
straw	 n. 稻草；吸管；一文不值的东西 adj. 稻草的；无价值的
bend	 v. 使弯曲；使屈服；使致力；使朝向 n. 弯曲
absent	 adj. 缺席的；缺少的；心不在焉的；茫然的 v. 使缺席
grief	 n. 悲痛；忧伤；不幸
mankind	 n. 人类；男性
metal	 n. 金属；合金 v. 以金属覆盖 adj. 金属制的
rebel	 v. 反叛；反抗；造反 n. 反叛者；叛徒 adj. 反抗的；造反的
leather	 n. 皮革；皮革制品 v. 用皮革包盖；抽打 adj. 皮的；皮革制的
crash	 n. 撞碎；坠毁；破产；轰隆声；睡觉 v. 摔碎；坠落；发出隆隆声；(金融企业等)破产
evoke	 v. 引起，唤起；博得
dividend	 n. 红利；股息；[数] 被除数；奖金
electric	 adj. 电的；电动的；发电的；导电的；令人震惊的 n. 电；电气车辆；带电体
bury	 v. 埋葬；隐藏 n. (Bury)人名；(法)比里；(英、西)伯里；(德、意、罗、波、捷、匈)布里；(俄)布雷
tumble	 v. 摔倒；倒塌；滚动；打滚；仓惶地行动 n. 跌倒；翻筋斗；跌跤
diplomatic	 adj. 外交的；外交上的；老练的
refugee	 n. 难民，避难者；流亡者，逃亡者
pub	 n. 酒馆；客栈
dove	 n. 鸽子；鸽派人士 v. 潜水（dive的过去式）
salute	 n. 致敬，欢迎；敬礼 v. 行礼致敬，欢迎
bell	 n. 铃，钟；钟声，铃声；钟状物 v. 装钟于，系铃于
heroic	 adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的 n. 史诗；英勇行为
crust	 n. 地壳；外壳；面包皮；坚硬外皮 v. 结硬皮；结成外壳
kindness	 n. 仁慈；好意；友好的行为
volt	 n. 伏特（电压单位）；环骑；闪避
crush	 v. 压碎；弄皱，变形；使…挤入 n. 粉碎；迷恋；压榨；拥挤的人群
canoe	 n. 独木舟；轻舟 v. 乘独木舟
cab	 n. 驾驶室；出租汽车；出租马车 v. 乘出租马车（或汽车）
dorm	 n. 宿舍（等于dormitory）
petition	 n. 请愿；请愿书；祈求；[法] 诉状 v. 请愿；请求
enclose	 v. 围绕；装入；放入封套
emit	 v. 发出，放射；发行；发表
orchard	 n. 果园；果树林
interrupt	 v. 中断；打断；插嘴；妨碍 n. 中断
complication	 n. 并发症；复杂；复杂化；混乱
tablet	 n. 碑；药片；写字板；小块；平板电脑 vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块
couch	 n. 睡椅，长沙发；床；卧榻 v. 蹲伏，埋伏；躺着
gaze	 v. 凝视；注视 n. 凝视；注视
economical	 adj. 经济的；节约的；合算的
quilt	 n. 被子；棉被 v. 东拼西凑地编；加软衬料后缝制
imperial	 adj. 帝国的；皇帝的；至高无上的；威严的 n. 纸张尺寸；特等品
infectious	 adj. 传染的；传染性的；易传染的
candy	 v. 用糖煮；使结晶为砂糖；美化 n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品 adj. 新潮的（服饰）；甜言蜜语的
gum	 n. 口香糖；树胶；橡皮 v. 用胶粘，涂以树胶；使…有粘性
opaque	 adj. 不透明的；不传热的；迟钝的 n. 不透明物 vt. 使不透明；使不反光
housework	 n. 家务事
fifty	 n. 五十；五十个；编号为50的东西 adj. 五十的；五十个的；众多的
mercury	 n. [化]汞，水银
aisle	 n. 通道，走道；侧廊
hobby	 n. 嗜好；业余爱好
exile	 n. 流放，充军；放逐，被放逐者；流犯 v. 放逐，流放；使背井离乡
syndrome	 n. [临床] 综合症状；并发症状；校验子；并发位
radius	 n. 半径，半径范围；[解剖] 桡骨；辐射光线；有效航程
inspect	 v. 检查；视察；检阅
legacy	 n. 遗赠，遗产
lemon	 adj. 柠檬色的 n. 柠檬
permeate	 v. 渗透，透过；弥漫
fluctuate	 v. 波动；涨落；动摇
jewel	 n. 宝石；珠宝 v. 镶以宝石；饰以珠宝
transport	 n. 运输；运输机；狂喜；流放犯 v. 运输；流放；使狂喜
farewell	 n. 告别，辞别；再见；再会 int. 别了！（常含有永别或不容易再见面的意思）；再会！ adj. 告别的
carpenter	 n. 木匠，木工 v. 当木匠，做木匠工作
persuasion	 n. 说服；说服力；信念；派别
gaol	 v. 监禁 n. 监狱
despise	 v. 轻视，鄙视
jury	 n. [法] 陪审团；评判委员会 adj. 应急的
artery	 n. 动脉；干道；主流
silk	 n. 丝绸；蚕丝；丝织物 adj. 丝的；丝绸的；丝制的 vi. （玉米）处于长须的阶段中
guy	 n. 男人，家伙 v. 嘲弄，取笑
romantic	 adj. 浪漫的；多情的；空想的 n. 浪漫的人 vt. 使…浪漫化
gut	 n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠 v. 取出内脏；摧毁（建筑物等）的内部 adj. 简单的；本质的，根本的；本能的，直觉的
tedious	 adj. 沉闷的；冗长乏味的
friendly	 adj. 友好的；亲切的；支持的；融洽的，和睦的 adv. 友善地；温和地 n. (Friendly)人名；(英)弗兰德利
anguish	 n. 痛苦；苦恼 v. 使极度痛苦
gun	 n. 枪支；枪状物；持枪歹徒 v. 用枪射击；加大油门快速前进
mechanic	 n. 技工，机修工 adj. 手工的
conquest	 n. 征服，战胜；战利品
physiological	 adj. 生理学的，生理的
bug	 n. 臭虫，小虫；故障；窃听器 v. 烦扰，打扰；装窃听器
curse	 n. 诅咒；咒骂 v. 诅咒；咒骂
badge	 n. 徽章；证章；标记 v. 授给…徽章
gang	 n. 群；一伙；一组 v. 使成群结队；结伙伤害或恐吓某人
bud	 n. 芽，萌芽；蓓蕾 v. 发芽，萌芽
nucleus	 n. 核，核心；原子核
swift	 n. 褐雨燕 adj. 快的；迅速的；敏捷的；立刻的 adv. 迅速地
extravagant	 adj. 奢侈的；浪费的；过度的；放纵的
latent	 adj. 潜在的；潜伏的；隐藏的
beef	 n. 牛肉；肌肉；食用牛；牢骚 v. 抱怨，告发；发牢骚
nominal	 adj. 名义上的；有名无实的；[会计] 票面上的 n. [语] 名词性词
reproduce	 v. 复制；再生；生殖；使…在脑海中重现
geology	 n. 地质学；地质情况
beer	 n. 啤酒 vi. 喝啤酒
hurry	 n. 匆忙，急忙 v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理
survey	 n. 调查；测量；审视；纵览 v. 调查；勘测；俯瞰
gown	 n. 长袍，长外衣；礼服；睡袍；法衣 v. 使穿睡衣
divine	 adj. 神圣的；非凡的；天赐的；极好的 v. 占卜；预言；用占卜勘探 n. 牧师；神学家
tongue	 n. 舌头；语言 v. 舔；斥责；用舌吹
sink	 v. 下沉；消沉；渗透 n. 水槽；洗涤槽；污水坑
sing	 v. 唱歌；歌颂；鸣叫；呼号 n. 演唱；鸣声；呼啸声
rejoice	 v. 高兴；庆祝
pitch	 v. 倾斜；投掷；搭帐篷；坠落 n. 沥青；音高；程度；树脂；倾斜；投掷；球场
cafeteria	 n. 自助餐厅
trolley	 n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车 vi. 乘电车 vt. 用手推车运
erase	 v. 抹去；擦除
eject	 v. 喷射；驱逐，逐出
ashamed	 adj. 惭愧的，感到难为情的；耻于……的
junk	 n. 垃圾，废物；舢板
complement	 n. 补语；余角；补足物 v. 补足，补助
upper	 adj. 上面的，上部的；较高的 n. (Upper)人名；(英)厄珀
hopeful	 adj. 有希望的；有前途的 n. 有希望成功的人
tariff	 n. 关税表；收费表 v. 定税率；征收关税
comprehend	 v. 理解；包含；由…组成
bacterium	 n. [微] 细菌；杆菌属
blunder	 v. 跌跌撞撞地走；犯大错 n. 大错
fridge	 n. 电冰箱
towel	 n. 毛巾，手巾；[纸] 纸巾 v. 用毛巾擦
rifle	 n. 步枪；来复枪 v. 用步枪射击；抢夺；偷走
kidney	 n. [解剖] 肾脏；腰子；个性
storage	 n. 存储；仓库；贮藏所
auction	 v. 拍卖；竞卖 n. 拍卖
solemn	 adj. 庄严的，严肃的；隆重的，郑重的
intensity	 n. 强度；强烈；[电子] 亮度；紧张
sham	 n. 假装；骗子；赝品 v. 假装；冒充 adj. 假的；虚假的；假装的
jewelry	 n. 珠宝；珠宝类
ghost	 n. 鬼，幽灵 v. 作祟于；替…捉刀；为人代笔
storm	 n. 暴风雨；大动荡 v. 起风暴；横冲直撞；狂怒咆哮
lord	 n. 主；上帝 int. 主，天啊 v. 使成贵族
sausage	 n. 香肠；腊肠；装香肠的碎肉
virgin	 adj. 处女的；纯洁的；未经利用的，处于原始状态的 n. 处女
sail	 v. 航行；启航，开船 n. 帆，篷；航行
instant	 adj. 立即的；紧急的；紧迫的 n. 瞬间；立即；片刻
deer	 n. 鹿
quantify	 v. 量化；为…定量；确定数量
affection	 n. 喜爱，感情；影响；感染
forgive	 v. 原谅；免除（债务、义务等）
postcard	 n. 明信片
transmission	 n. 传动装置，[机] 变速器；传递；传送；播送
betray	 v. 背叛；出卖；泄露（秘密）；露出…迹象
confess	 v. 承认；坦白；忏悔；供认
magic	 n. 巫术；魔法；戏法 adj. 不可思议的；有魔力的；魔术的
voyage	 n. 航行；航程；旅行记 v. 航行；航海
explicit	 adj. 明确的；清楚的；直率的；详述的
butter	 v. 涂黄油于；讨好 n. 黄油；奶油；奉承话
paste	 v. 张贴，裱糊；用浆糊粘 n. 面团，膏；糊状物，[胶粘] 浆糊
reservation	 n. 预约，预订；保留
resolute	 adj. 坚决的；果断的
quartz	 n. 石英
artificial	 adj. 人造的；仿造的；虚伪的；非原产地的；武断的
zinc	 v. 镀锌于…；涂锌于…；用锌处理 n. 锌
shrug	 v. 耸肩，耸肩表示 n. 耸肩
battery	 n. [电] 电池，蓄电池
domain	 n. 领域；域名；产业；地产
loop	 v. 打环；翻筋斗 n. 环；圈；弯曲部分；翻筋斗
sheep	 n. 羊，绵羊；胆小鬼
sheer	 adj. 绝对的；透明的；峻峭的；纯粹的 adv. 完全；陡峭地 v. 偏航 n. 偏航；透明薄织物
deck	 n. 甲板；行李仓；露天平台 v. 装饰；装甲板；打扮
fasten	 v. 使固定；集中于；扎牢；强加于 n. (Fasten)人名；(英)法森
install	 v. 安装；任命；安顿
intensive	 adj. 加强的；集中的；透彻的；加强语气的 n. 加强器
linear	 adj. 线的，线型的；直线的，线状的；长度的
wreck	 n. 破坏；失事；残骸；失去健康的人 v. 破坏；使失事；拆毁
stool	 n. 凳子；粪便；厕所 v. 长新枝；分檗
stoop	 v. 弯腰；屈服；堕落 n. 弯腰，屈背；屈服
exceptional	 adj. 异常的，例外的 n. 超常的学生
vowel	 n. 元音；母音 adj. 元音的
chocolate	 n. 巧克力，巧克力糖；巧克力色 adj. 巧克力色的；巧克力口味的
staple	 n. 主要产品；订书钉；主题；主食 adj. 主要的，大宗生产的；常用的；纺织纤维的 v. 把…分级；钉住
courtyard	 n. 庭院，院子；天井
napkin	 n. 餐巾；餐巾纸；尿布
quiver	 n. 颤抖；箭袋；震动 v. 颤抖；振动
versus	 prep. 对；与相对；对抗
stone	 n. 石头；结石；[宝] 宝石 adj. 石的，石制的 v. 向扔石块；用石头铺
tragedy	 n. 悲剧；灾难；惨案
dear	 adj. 亲爱的；尊敬的；昂贵的 adv. 高价地；疼爱地 int. 哎呀 n. 亲爱的人
endurance	 n. 忍耐力；忍耐；持久；耐久
installment	 n. 安装；分期付款；部分；就职
autumn	 n. 秋天；成熟期；渐衰期，凋落期 adj. 秋天的，秋季的
dean	 n. 院长；系主任；教务长；主持牧师
deaf	 adj. 聋的
radiant	 adj. 辐射的；容光焕发的；光芒四射的 n. 光点；发光的物体
priest	 n. 牧师；神父；教士 vt. 使成为神职人员；任命…为祭司
establishment	 n. 确立，制定；公司；设施
mysterious	 adj. 神秘的；不可思议的；难解的
flavor	 n. 情味，风味；香料；滋味 v. 加味于
sanction	 n. 制裁，处罚；认可；支持 v. 制裁，处罚；批准；鼓励
drain	 v. 排水；流干 n. 排水；下水道，排水管；消耗
interim	 adj. 临时的，暂时的；中间的；间歇的 n. 过渡时期，中间时期；暂定
continual	 adj. 持续不断的；频繁的
contemporary	 n. 同时代的人；同时期的东西 adj. 当代的；同时代的；属于同一时期的
trash	 n. 垃圾；废物 v. 丢弃；修剪树枝
eloquent	 adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
lend	 v. 贷；增添，提供；把……借给 n. (Lend)人名；(德)伦德
galaxy	 n. 银河；[天] 星系；银河系；一群显赫的人
mushroom	 n. 蘑菇，伞菌；蘑菇形物体；暴发户 adj. 蘑菇的；蘑菇形的；迅速生长的 v. 迅速增加；采蘑菇；迅速生长
simulate	 v. 模仿；假装；冒充 adj. 模仿的；假装的
boast	 v. 夸口说，自吹自擂说；以有…而自豪 n. 自夸；值得夸耀的事物，引以为荣的事物
sensation	 n. 感觉；轰动；感动
garage	 n. 车库；汽车修理厂；飞机库 v. 把……送入车库；把（汽车）开进车库
destruction	 n. 破坏，毁灭；摧毁
waist	 n. 腰，腰部
frequency	 n. 频率；频繁
husband	 v. 节约地使用（或管理） n. 丈夫
sack	 n. 麻布袋；洗劫 v. 解雇；把……装入袋；劫掠
analytic	 adj. 分析的；解析的；善于分析的
sponge	 v. 抹掉；用海绵擦拭；讨得 n. 海绵；海绵状物
defence	 n. 防御；防卫；答辩；防卫设备
treaty	 n. 条约，协议；谈判
disable	 v. 使失去能力；使残废；使无资格
handy	 adj. 便利的；手边的，就近的；容易取得的；敏捷的 n. (Handy)人名；(英)汉迪
export	 n. 输出，出口；出口商品 v. 输出物资
tropic	 n. 热带；回归线 adj. 热带的
urban	 adj. 城市的；住在都市的 n. (Urban)人名；(西)乌尔万；(斯洛伐)乌尔班；(德、俄、罗、匈、塞、波、捷、瑞典、意)乌尔班；(英)厄本；(法)于尔邦
metre	 n. 米；公尺；韵律
reckon	 v. 测算，估计；认为；计算
cooperative	 adj. 合作的；合作社的 n. 合作社
amend	 v. 修改；改善，改进 n. (Amend)人名；(德、英)阿门德
idiom	 n. 成语，习语；土话
door	 n. 门；家，户；门口；通道
luggage	 n. 行李；皮箱
inclusive	 adj. 包括的，包含的
rouse	 v. 唤醒；激起，使振奋；惊起 n. 觉醒；奋起
button	 n. 按钮；纽扣 v. 扣住；扣紧；在…上装纽扣
realm	 n. 领域，范围；王国
feast	 v. 享受；款待，宴请 n. 筵席，宴会；节日
prosper	 v. 繁荣，昌盛；成功 n. (Prosper)人名；(英、德、罗、法)普罗斯珀
idiot	 n. 笨蛋，傻瓜；白痴
tramp	 v. 流浪；践踏，踩；脚步沉重地行走 n. 流浪者；沉重的脚步声；徒步旅行
knob	 n. 把手；瘤；球形突出物 vi. 鼓起 vt. 使有球形突出物
wonderful	 adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
waterproof	 adj. 防水的，不透水的 v. 使防水 n. 防水材料
ox	 n. 牛；公牛
commend	 v. 推荐；称赞；把…委托
inertia	 n. [力] 惯性；惰性，迟钝；不活动
melon	 n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
gramme	 n. 克
fireman	 n. 消防队员；救火队员；锅炉工
industrialize	 v. 使工业化
warfare	 n. 战争；冲突
accumulate	 v. 累积；积聚
crew	 n. 队，组；全体人员，全体船员 v. 一起工作
moss	 n. 苔藓；泥沼 vt. 使长满苔藓
necessity	 n. 需要；必然性；必需品
utmost	 n. 极限；最大可能 adj. 极度的；最远的
detector	 n. 探测器；检测器；发现者；侦察器
obsession	 n. 痴迷；困扰；[内科][心理] 强迫观念
southwest	 n. 西南方 adj. 西南的 adv. 往西南；来自西南
vegetarian	 n. 素食者；食草动物 adj. 素食的
inhale	 v. 吸入；猛吃猛喝
porch	 n. 门廊；走廊
crawl	 v. 爬行；匍匐行进 n. 爬行；养鱼池；匍匐而行
catastrophe	 n. 大灾难；大祸；惨败
delicious	 adj. 美味的；可口的
malignant	 adj. [医] 恶性的；有害的；有恶意的 n. 保王党员；怀恶意的人
violin	 n. 小提琴；小提琴手
plane	 n. 飞机；平面；程度，水平 v. 刨；乘飞机旅行；翱翔 adj. 平的；平面的
item	 n. 条款，项目；一则；一件商品（或物品） adj. 又，同上 v. 记下；逐条列出
puff	 v. 喷出，张开；使膨胀；夸张；使骄傲自满 n. 粉扑；泡芙；蓬松；一阵喷烟；肿块；吹嘘，宣传广告
cousin	 n. 堂兄弟姊妹；表兄弟姊妹
bracket	 n. 支架；括号；墙上凸出的托架 v. 括在一起；把…归入同一类；排除
fatigue	 n. 疲劳，疲乏；杂役 v. 使疲劳；使心智衰弱 adj. 疲劳的
versatile	 adj. 多才多艺的；通用的，万能的；多面手的
trail	 v. 追踪；拖；蔓延；落后于 n. 小径；痕迹；尾部；踪迹；一串，一系列
lavatory	 n. 厕所，盥洗室
lover	 n. 爱人，恋人；爱好者
stove	 n. 火炉；窑；温室 vt. 用火炉烤
ink	 v. 签署；涂墨水于 n. 墨水，墨汁；油墨
levy	 n. 征收；征兵，征税 v. 征收（税等）；征集（兵等）
moon	 n. 月亮；月球；月光；卫星 v. 闲荡；出神
outfit	 n. 机构；用具；全套装备 v. 得到装备
dome	 n. 圆屋顶 vi. 成圆顶状 vt. 加圆屋顶于…上
blur	 v. 涂污；使…模糊不清；使暗淡；玷污 n. 污迹；模糊不清的事物
drift	 n. 漂流，漂移；趋势；漂流物 v. 漂流，漂移；漂泊
microscope	 n. 显微镜
paperback	 n. 平装本；廉价本 vt. 以平装本出版 adj. 纸面装订的；纸面平装本书籍的
agony	 n. 苦恼；极大的痛苦；临死的挣扎
crazy	 adj. 疯狂的；狂热的，着迷的
corrode	 v. 侵蚀；损害
ample	 adj. 丰富的；足够的；宽敞的 n. (Ample)人名；(西)安普尔
radiate	 v. 辐射；传播；流露；发射；广播 adj. 辐射状的，有射线的
statute	 n. [法] 法规；法令；条例
dispose	 v. 处理；处置；安排 n. 处置；性情
expel	 v. 驱逐；开除
afternoon	 n. 午后，下午
destructive	 adj. 破坏的；毁灭性的；有害的，消极的
smash	 v. 粉碎；使破产；溃裂 n. 破碎；扣球；冲突；大败 adj. 了不起的；非常轰动的；出色的
devil	 n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼 v. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮
insulate	 v. 隔离，使孤立；使绝缘，使隔热
knot	 n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位） v. 打结
electrical	 adj. 有关电的；电气科学的
violet	 n. 紫罗兰；堇菜；羞怯的人 adj. 紫色的；紫罗兰色的
shear	 v. 剪；修剪；剥夺 n. [力] 切变；修剪；大剪刀
meadow	 n. 草地；牧场
bench	 n. 长凳；工作台；替补队员 v. 给…以席位；为…设置条凳
metropolitan	 adj. 大都市的；大主教辖区的；宗主国的 n. 大城市人；大主教；宗主国的公民
advisable	 adj. 明智的，可取的，适当的
elevator	 n. 电梯；升降机；升降舵；起卸机
aluminum	 n. 铝
suicide	 n. 自杀；自杀行为；自杀者 adj. 自杀的 vt. 自杀 vi. 自杀
rubber	 n. 橡胶；橡皮；合成橡胶；按摩师 adj. 橡胶制成的 v. 涂橡胶于；用橡胶制造
normalization	 n. 正常化；标准化；正规化；常态化
acquaint	 v. 使熟悉；使认识
grace	 n. 优雅；恩惠；魅力；慈悲 v. 使优美
pure	 adj. 纯的；纯粹的；纯洁的；清白的；纯理论的 n. (Pure)人名；(俄)普雷
loaf	 n. 条，一条面包；块；游荡 v. 游荡；游手好闲；虚度光阴
trademark	 n. 商标
load	 n. 负载，负荷；工作量；装载量 v. [力] 加载；装载；装货
nearby	 adj. 附近的，邻近的 adv. 在附近 prep. 在…附近
presume	 v. 假定；推测；擅自；意味着
conversion	 n. 转换；变换；[金融] 兑换；改变信仰
irritate	 v. 刺激，使兴奋；激怒
plot	 n. 情节；图；阴谋 v. 密谋；绘图；划分；标绘
outskirts	 n. 市郊，郊区
grade	 n. 年级；等级；成绩；级别；阶段 v. 评分；把…分等级
slide	 n. 滑动；幻灯片；滑梯；雪崩 v. 滑动；滑落；不知不觉陷入
axe	 n. 斧 v. 削减；用斧砍
solitary	 adj. 孤独的；独居的 n. 独居者；隐士
scratch	 n. 擦伤；抓痕；刮擦声；乱写 adj. 打草稿用的；凑合的；碰巧的 v. 抓；刮；挖出；乱涂
vocal	 adj. 歌唱的；声音的，有声的 n. 声乐作品；元音
transcend	 v. 胜过，超越
outward	 adj. 向外的；外面的；公开的；外服的；肉体的 adv. 向外（等于outwards）；在外；显而易见地 n. 外表；外面；物质世界
park	 n. 公园；[交] 停车场 v. 停放；放置；寄存
settlement	 n. 解决，处理；[会计] 结算；沉降；殖民
banana	 n. 香蕉；喜剧演员；大鹰钩鼻
isle	 n. 岛 vt. 使成为岛屿 vi. 住在岛屿上
necessitate	 v. 使成为必需，需要；迫使
orphan	 adj. 孤儿的；无双亲的 n. 孤儿 v. 使成孤儿
pistol	 n. 手枪；信号枪 vt. 用手枪射击
piston	 n. 活塞
keen	 adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的 n. 痛哭，挽歌
squirrel	 n. 松鼠；松鼠毛皮 v. 贮藏
