pharmacy	n. 药房；配药学，药剂学；制药业；一批备用药品
rational	 adj.  理性的； 合理的
rescind	 v.  废除； 取消
provocative	 adj.  挑衅的； 惹人讨厌的
glucose	 n.  葡萄糖
Oxygen	 n.  氧
salt	 n.  盐
impassioned	 adj.  热情洋溢的
truncated	 adj.  缩短了的； 截形的
artistic	 adj.  艺术  的， 美术  的； 有美感的； 风雅的
effrontery	 n.  厚颜无耻
decagon	 n.  十角形， 十边形
ramble	 v.  漫游； 漫谈， 闲聊
vocation	 n.  职业， 业务
preponderant	 adj.  占有优势的
stature	 n.  身高， 身材
quarantine	 n.  检疫期
dogged	 adj.  顽固的， 顽强的
plasma	 n.  等离子体
brevity	 n.   短暂；  简短
exorbitant	 adj.  过度的； 过高的； 昂贵的
reimburse	 v.  偿还
violent	 adj.  猛烈的， 激烈的； 暴力引起的， 强暴的
inaccessible	 adj.  不可接近的
confront	 v.  使面临， 使遭遇； 面对
onus	 n.  责任； 负担
cathartic	 n. 泻药；
counterpoint	 n.  对音位； 对应物
obese	 adj.  肥胖的， 过胖的
undulate	 v.  波动， 起伏， 成波浪形
beatific	 adj.  祝福的； 快乐的， 幸福的
reproduce	 v.  翻版； 繁殖； 复制； 再现
skeleton	 n.  骨骼
illiterate	 adj.  文盲的， 未受教育的
federate	 v.  使联合， 使结成同盟
myriad	 adj.  无数的； 一万的
inflammable	 adj.  易燃的
pervade	 v.  遍及
implement	 v.  贯彻， 实现 n. 工具，器具
erratic	 adj.  不规律的； 不稳定的
justifiable	 adj.  有理由的； 可辩护的
incinerate	 v.  把…烧成灰， 烧掉， 火化
cajolery	 n.  甜言蜜语； 诱骗； 谄媚
adoration	 n.  崇拜， 爱慕
sagacious	 adj.  有洞察力的， 有远见的； 精明的， 敏锐的
capillary	 adj.  毛状的； 毛细血管的 n. 毛细管
erode	 v.  侵蚀， 腐蚀； 使变化
beset	 vt.  困扰
nestle	 v.  舒适地安顿下来
frustrate	 v.  挫败， 阻挠， 使灰心； 阻止
sparse	 adj.  稀少的， 稀疏的
pragmatic	 adj.  实际的； 注重实效的
anticyclone	 n.  反气旋， 高气压
erosion	 n.  腐蚀， 磨损， 侵蚀； 削弱， 减少
methane	 n.  甲烷
plenteous	 adj.  许多的， 丰饶的， 充足的， 丰富的
superstitious	 adj.  迷信的
neural	 adj.  神经系统的
embezzle	 v.  盗用； 挪用
absent-minded	 adj.  心不在焉的， 出神的
elasticity	 n.  弹性
aboriginal	 adj. 土著的，原始的 n.  土著居民
emollient	 adj. 柔软的；有缓和作用的 n.  润肤剂
lens	 n.  透镜
embody	 v.  体现， 使具体化
regale	 v.  使愉悦， 使高兴
tripod	 n.  三脚桌； 三脚架
verifiable	 adj.  可证实的
comprehensible	 adj.  可理解的， 易于了解的
ascent	 n.  上升；  提高； 攀登； 上坡路
emancipate	 vt.  解放， 解除
elliptical	 adj.  椭圆的
root	 n.  方根； 方程的根
possessive	 adj.  所有的， 占有的 n. 所有格
hedonism	 n.  享乐主义
projection	 v.  发射； 计划； 投影
multiply	 v.  乘
preponderate	 v.  占优势， 超过， 胜过
iridescent	 adj.  彩虹色的；  闪光的
approval	 n.  赞成， 同意； 认可， 批准
cartilage	 n.  【解】 软骨
multiple	 adj. 多倍的，
adjuration	 n.  恳请， 请愿
requite	 v.  报答， 酬谢
versatile	 adj.  通用的， 万用的； 多才多艺的， 多方面的
magnet	 n.  磁体
bemoan	 v.  哀叹
avow	 vt.  公开声明； 承认
tundra	 n.  苔原； 冻土地带
explosion	 n.  爆炸
aggrieve	 v.  使委屈； 使苦恼； 侵害
haggard	 adj.  憔悴的， 形容枯槁的； 野性的
omnivorous	 adj.  杂食的
poignant	 adj.  强烈的； 尖刻的
translation	 n.  平移
cancer	 n.  癌症
personnel	 n.  全体人员， 全体职员； 人事
bestride	 v.  骑
refractory	 adj.  难控制的
biodegradable	 adj.  生物可降解的
irrelevant	 adj.  不相关的， 不切题的
pile	 n.  电池组
artistry	 n.  艺术技巧； 艺术性
catalog	 n.  目录； 目录册
hilarious	 adj.  欢闹的
immortal	 adj.  不死的； 不会消亡的
chilly	 adj.  寒冷的； 冷淡的
conjecture	 v.  推测， 猜想
myth	 n.  神话； 虚构的理论， 荒诞的说法
experiment	 n.  实验
implication	 n.  含意， 暗示
cordial	 adj.  诚恳的， 亲切的， 热诚的
odorous	 adj.  有气味的
order	 n.  顺序； 订单
carrion	 n.  死肉； 腐肉
vocative	 adj.  呼唤的
aghast	 adj.  惊骇的， 吓呆的
scurrilous	 adj.  说话粗鄙恶劣的； 下流的
modulate	 vt.  调整， 调节
indelible	 adj.  去不掉的， 不能拭除的
felicity	 n.  幸福， 幸运， 福气
resonance	 n.  共鸣， 回声， 反响； 共振
gaiety	 n.  高兴， 快乐； 作乐， 欢庆
reform	 v. 改进；改革 n. 改进；改革
mutation	 n.  变化； 转变
fallow	 adj.  休耕的 n. 休耕地
malevolent	 adj.  有恶意的； 坏心肠的
fermentation	 n.  发酵
homage	 n.  敬意
averse	 adj.  不愿意的； 反对的
refract	 v.   折射
successor	 n.  继承人， 继任者
matter	 n.  物质
irony	 n.  具有讽刺意味的事， 出人意料的事情或情况； 反话， 讽刺， 嘲弄
mandatory	 n.  命令的； 委托的
syndrome	 n.  综合症
neutrality	 n.  中立， 中性
recumbent	 adj.  靠着的， 斜躺着的； 休息的
energetic	 adj.  有力的， 精力旺盛的
product	 n.   生成物
impoverish	 v.  使贫穷； 使枯竭
hallowed	 adj.  神圣的， 奉为神圣的
foreordain	 v.  注定； 预先决定
premier	 adj.  第一的， 首要的 n. 首相，总理
hydrate	 n.  水合物
intellectual	 adj. 智力的，脑力的 n. 知识分子
reclaim	 v.  要求归还， 收回； 开垦
interchangeable	 adj.  可交换的
allegory	 n.  寓言
nautical	 adj.  船员的； 船舶的； 海上的， 航海的
disengage	 v.  脱离， 松开
gibber	 v.  模糊地讲话
descendent	 adj.  派生的
anecdote	 n.  轶事， 奇闻； 短故事
mendicant	 n.  乞丐
extravagance	 n.  过度， 放肆
cantankerous	 adj.  脾气坏的； 好吵架的
kudos	 n.  名望； 荣誉； 声誉
irreversible	 adj.  不能撤回的， 不能取消的
coy	 adj.  腼腆的， 羞涩的， 忸怩的； 献媚的， 卖弄风情的
AluminumAl	 n.  铝
pacify	 v.  使平静， 安慰， 抚慰
bulwark	 n.  壁垒； 防波堤
identical	 adj.  同一的， 完全相同的； 相等的， 恒等的
abject	 adj.  卑贱的
monologue	 n.  独白， 独角戏
incontrovertible	 adj.  无可争议的， 无疑的， 明白的
ambitious	 adj.  有雄心的， 雄心勃勃的
contemptuous	 adj.  轻蔑的， 侮辱的
academic	 adj.  学院的； 学术的 n. 学者；大学教师；学会会员
hadron	 n.  强子
grisly	 adj.  恐怖的， 可怕的， 令人毛骨悚然的
revere	 v.  尊敬， 敬畏， 崇敬
salacious	 adj.  猥亵的， 好色的
comparison	 n.  比较， 对比； 比喻， 比拟
law	 n.  定律
parallel lines	 平行线
distingusihed	 adj.  著名的， 卓越的
pernicious	 adj.  有害的， 有毒的
centiliter	 n.  毫升
revert	 v.  回复， 回返
herbivore	 n.  食草动物
successive	 adj.  连续的， 相继的
peddle	 v.  挑卖， 沿街叫卖
violation	 n.  违反， 违背； 妨碍， 侵害
metabolism	 n.  新陈代谢
abdicate	 v.  退位； 放弃
emanate	 v.  流出， 发出； 发散， 放射
impenitent	 adj.  不悔悟的； 顽固的
avocation	 n.   副业； 业余爱好
exterior	 adj. 外部的，外在的 n.  外部
censure	 n. 严厉批评，谴责 v. 严厉批评，正式谴责
technique	 n.  技术， 技巧
chattel	 n. 动产；私人财产
levy	 vt. 征收 n.  征税， 税款； 征兵
intimidate	 vt.  恐吓， 威胁， 胁迫
xenophobe	 n.  畏惧或憎恨外国人 / 事物的人
timer	 n.  定时器
malinger	 v.  装病
flux	 n.  流， 流出， 流动； 涨潮； 变迁
coincidence	 n.  一致， 符合， 同时发生或同时存在  的事
becalm	 v.  使安静； 因无风而使停航
detrimental	 adj.  有害的
well-wisher	 n.  祝福者
capitulate	 vi.  有条件投降； 屈服， 停止抵抗
celibate	 n.  独身者， 独身主义者
vicarious	 adj.  代理的； 间接感受到的
satiate	 v.  使充分满足； 享用过度； 使厌腻
lengthy	 adj.   冗长的， 过分的
spore	 n.  孢子
rampage	 v.  发怒， 乱闹， 狂暴
kinsfolk	 n.  亲属， 家属
probe	 v.   探查， 穿刺， 查究 n. 针；探测器
sensuous	 adj.  感觉的
quantitative	 adj.  数量的， 定量的
remission	 n.   减轻； 豁免
foment	 v.  煽动
skirmish	 n.  小冲突
equilibrium	 n.  平衡； 平静； 均衡
bereft	 adj.  被剥夺的； 失去亲人的； 丧失的
narcissism	 n.  自我陶醉； 自恋
esophagus	 n.  食管
incident	 n.  事件， 事变
maintenance	 n.  维修， 保养； 维持， 保持
intermit	 v.  间歇， 中断
hypercritical	 adj.  吹毛求疵的， 过分苛刻的
peccant	 adj.  犯罪的； 堕落的
neuron	 n.  神经元
absorb	 vt.  吸收； 使专心
burgher	 n.  自治市  居民， 市民
circulate	 vt.   流通，  运行，  循环；  传播
leg	 n.  梯形的两条不平行的边
resuscitate	 v.   复苏；  复活
rectify	 v.  纠正， 整顿
antonym	 n.  反义词
integrity	 n.  正直， 诚实； 完整， 完全
liable	 adj.  有责任的， 有义务的； 有…倾向的， 易于…的
midpoint	 n.  中点
quagmire	 n.  沼泽； 困境
undue	 adj.  不适当的， 过度的
element	 n.  元素； 组成部分， 成分
panacea	 n.  万灵药
symphonious	 adj.  和谐的， 调和的
mendacious	 adj.  虚伪的； 说谎的
callosity	 n.  无情， 冷酷
pervious	 adj.  能被通过的
lucubration	 n.  刻苦钻研
tutelage	 n.  指导； 教导
cartridge	 n.  弹药筒
theorem	 n.  原理
cue	 n.  提示， 暗示
lewd	 adj.  好色的， 淫荡的
supple	 v.  使柔软， 使顺从
infringe	 v.  破坏， 侵犯， 违反
bravado	 n.  虚张声势， 装作有自信的样子
ardent	 adj.  热心的， 热情洋溢的； 激烈的， 燃烧般的
concurrent	 adj.  并发的； 协作的， 一致的
assonance	 n.  谐音； 半谐音
cohesive	 adj.  黏着的， 黏合性的
untoward	 adj.  麻烦的； 不幸的
battery	 n.  电池组
harass	 vt.  侵扰， 烦扰
moment	 n.  时刻
irreverent	 adj.  不敬的
promote	 v.  促进， 发扬； 提升， 提拔； 增进， 助长； 宣传
hackney	 v.  役使； 出租
graphic	 adj.  生动的， 形象的； 绘画的， 文字的， 图表的
creation	 n.  产生
inclination	 n.  倾斜； 倾向， 爱好
ingredient	 n.  组成部分， 成分
participate	 v.  参与， 参加； 分享， 分担
authenticity	 n.  确实性； 真实性
rapacious	 adj.  掠夺的； 贪婪的
unisonous	 adj.  和谐的； 同音的
cadenza	 n.  【乐】  装饰奏
absolution	 n.  免罪， 赦免
haughty	 adj.  傲慢的
contour	 n.  轮廓； 周线
lyric	 n.  抒情诗， 歌词
misrepresent	 v.  误传
salvageable	 adj.  可抢救的； 可打捞的； 可挽救的
homily	 n.  布道； 说教
bibliomania	 n.  藏书癖
clan	 n.  部落； 氏族， 宗族； 帮派
economical	 adj.  节约的， 节俭的， 节省的， 经济的
urchin	 n.  顽童； 小淘气
vitalize	 v.  使有生气
polish	 v. 磨光，擦亮；使优美，润饰 n.  擦光剂， 上光蜡
cabinet	 adj.  内阁的 n. 橱柜；内阁
quip	 n.  嘲弄， 挖苦话； 双关语
ostensible	 adj.  可公开的；  表面的， 虚假的
principle	 n.  原理； 原则； 主义， 信念
litigant	 n.  诉讼人
tedious	 adj.  乏味的， 单调的， 冗长的
source	 n.  电源
initiate	 v.  开始， 发动
domestic	 adj.  家里的， 家庭的； 本国的； 驯养的
infirmary	 n.  医院； 医务室
prepossessing	 adj.  讨人喜欢的； 给人好感的
prim	 adj.  整齐的
terrestrial	 adj.  陆地的； 陆栖的
smelt	 v.  冶炼
vitality	 n.  生命力， 活力
slovenly	 adj.  懒散的； 不修边幅的
lackadaisical	 adj.  懒洋洋的
ravenous	 adj.  贪婪的， 渴望的， 狼吞虎咽的
abbess	 n.  女修道院院长， 尼姑庵住持
acquired	 adj.  已获得的； 后天通过自己的努力得到的
stability	 n.  稳定 ， 安定
radiate	 v.  放射， 辐射； 散布， 传播
tension	 n.  张力
reflection	 n.  反射； 映象， 倒影； 反省， 沉思
tenuous	 adj.  簿的； 稀薄的， 空洞无力的
winsome	 adj.  迷人的
ultimate	 adj.  最后的， 最终的； 根本的
ballad	 n.  民歌； 歌谣； 叙事歌； 流行歌曲； 情歌
caustic	 adj.  腐蚀性的； 刻薄的
prosecute	 v.  实行， 从事； 告发， 起诉
misunderstand	 vt.  误解， 误会
hydrocarbon	 n.  碳氢化合物
ampere	 n.  安培
precocious	 adj.  早熟的
pecuniary	 adj.  金钱的， 金钱上的
redound	 v.  有助于
arboreal	 adj.  树的， 乔木的； 树栖的
carnivorous	 adj.  食肉类的
philanthropy	 n.  慈爱； 慈善事业
fetid	 adj.  有恶臭的
predestine	 v.  注定； 预先确定
polymer	 n.  聚合物
askance	 adv.  斜， 斜视
contort	 v.  扭曲， 歪曲
resistant	 adj.  抵抗的， 有抵抗力的
salamander	 n.  蝾螈
intercede	 v.  调解
catholicity	 n.  普遍性； 宽容
progeny	 n.  后裔
enhance	 v.  提高 ， 增强
witchcraft	 n.  魔法； 魔力
antiseptic	 adj.  防腐的， 杀菌的， 消过毒的 n. 防腐剂，杀菌剂
polytechnic	 adj.  各种工艺的； 综合技术的
suspicion	 n.  怀疑， 猜疑
center	 n.  圆心
refusal	 n.  拒绝， 推却
churlish	 adj.  粗野的； 脾气坏的； 无礼的
isochronous	 adj.  同步的
dogmatist	 n.  武断论者； 教条主义者
flaunt	 v.  夸耀， 炫耀
teem	 v.  大量出现
neutralize	 v.  使中立； 抵消
foreshadow	 v.  预示
gravity	 n.  重力， 引力； 严肃， 庄重
homologous chromosome	 [遗] 同源染色体
replete	 adj.  充分供应的， 饱足的； 充满的
enfranchise	 v.  释放， 解放， 给予自由； 给予…公民权
alight	 v. 落下 adj.  点着的， 发亮的
blemish	 v.  弄脏， 玷污， 损害 n. 污点，缺点，瑕疵
befuddle	 vt.  使酒醉昏迷； 使迷惑， 使迷糊
inundate	 v.  淹没
recoil	 v.  反冲
funnel	 n.  漏斗
dogmatic	 adj.  教条的， 独断的
dilettante	 n.  业余文学、 艺术爱好者； 浅薄的涉猎者
regulate	 v.  管理， 控制， 使遵守规章； 调节 ， 调整， 校对
listless	 adj.  倦怠的； 冷漠的； 情绪低落的
punitive	 adj.  刑罚的； 惩罚  的
gland	 n.  腺体
complementary	 adj.  互补的
scapegoat	 n.  替罪羊
extant	 adj.  现存的
consistency	 n.  始终一贯， 前后一致
complacent	 adj.  自满的
plumb	 n.  铅锤
premise	 n.  前提， 假设；   房屋和地基， 经营场
vilify	 v.  诽谤， 辱骂； 贬低， 轻视
cliché	 n.  陈词滥调
controversial	 adj.  引起争论的， 有争议的
intransigent	 adj. 非妥协性的 n.  不妥协的人
unbecoming	 adj.  不恰当的， 不得体的
restoration	 n.  修复； 恢复
epidermis	 n.  表皮； 上皮
benignant	 adj.  仁慈的， 和蔼的； 有益的
plaintiff	 n.  原告
heteromorphic	 adj.  异形的
quadrant	 n.  象限
bide	 v.  居住， 滞留； 忍受
inveigh	 v.  猛烈抨击； 痛骂， 漫骂
anathema	 n.  诅咒； 令人厌恶的事
wretch	 n.  不幸的人， 苦命的人； 卑劣的人， 无耻的人， 坏人
detonate	 v.  使突发大爆炸
prudish	 adj.  过分拘谨的
mythology	 n.  神话学
symptomatic	 adj.  症状的， 征候的
allocate	 vt.  分配， 分派， 把…拨给
tonic	 adj. 激励的；滋补的 n.  滋补品
muffle	 v.  包， 蒙住； 压抑
abjure	 vt.  发誓放弃； 避免
enterprise	 n.   工作； 事业， 企业； 事业心， 进取心， 冒险精神
solar	 adj.  太阳的， 日光的
dome	 n.  圆屋顶； 半球形物； 苍穹
collegian	 n.  大学生
benefactor	 n.  恩人； 捐助者； 赠送者； 赞助人
domineer	 v.  跋扈， 作威作福
unknown	 n.  未知量
fuse	 v.  熔化， 熔合 n. 保险丝，导火线
competence	 n.  胜任， 能力
frivolous	 adj.  轻佻的， 琐碎的
tutorship	 n.  家庭教师； 辅导
pretext	 n.  借口， 托词
emergent	 adj.  突现的； 意外的； 紧急的
homonym	 n.  同音异义字， 同名异物
undervalue	 v.  低估
test tube	 n. 试管
incisive	 adj.  深刻的； 尖锐的； 激烈的
rudimentary	 adj.  基础的； 未发展的
Phosphorus	 n.  磷
precarious	 adj.  不确定的， 不安全的； 靠不住的， 根据不充足的
heterogeneity	 n.  异质性
capacitor	 n.  电容器
infest	 v.  扰乱， 骚扰
contemplation	 n.  注视； 沉思； 预期， 打算
miff	 v.  发脾气， 微怒； 无谓的争吵
eternal	 adj.  永恒的， 永远的； 不灭的； 不朽的
redress	 v.  纠正， 矫正
parentage	 n.  出身； 起源
habituate	 v.  使习惯于
plebeian	 adj.  卑俗的 n. 平民，庶民
randomly	 adv.  随机地
prevalent	 adj.  流行的； 普遍的
satire	 n.  讽刺文学， 讽刺
projectile	 n.  抛体
sprightly	 adj.  轻快的
overpower	 v.  制服， 压倒； 供给…过强的力量
recapitulate	 v.  扼要重述； 概括
alliance	 n.  结盟， 联盟； 联姻
invaluable	 adj.  非常宝贵的， 无价的
outlaw	 n.  罪犯， 歹徒
omniscient	 adj.  全知的， 无所不知的
shrivel	 v.   起皱纹；  失效
solecism	 n.  语法错误； 失礼
denote	 v.  指示， 表示
bedeck	 v.  装饰， 修饰
celebrated	 adj.  著名的
audible	 adj.  听得见的
propagate	 v.  增殖； 扩散
affair	 n.  事， 事情， 事件
galore	 adj.  丰盛的， 丰富的
Anglo-Saxon	 n.  盎格鲁—撒克逊人
orthodox	 adj.  传统的， 符合社会风俗的； 正统的
accustomed	 adj.  通常的； 习惯的
maverick	 n.  未烙印的小牛  ； 不服从的人
combination	 n.  合成作用
unkempt	 adj.   不整洁的， 未梳理的，  蓬乱的
ambush	 v.  埋伏 n. 埋伏；伏兵
adept	 adj.  精通的， 内行的 n.  行家， 熟手
repute	 v.  认为， 称为 n. 名誉，名声
nimble	 adj.  敏捷的， 灵巧的
amiable	 adj.  和蔼可亲的， 友好的， 可爱的， 亲切的
sacrifice	 n.  牺牲； 供奉
illegal	 adj.  不合法的， 非法的
countless	 adj.  无数的
fervor	 n.  热情， 热烈； 炽热
ample	 adj.  充分的， 富裕的； 宽敞的， 宽大的
wavelet	 n.  小浪； 微波
surety	 n.  担保， 保证
cohesion	 n.  结合， 凝聚
retrench	 v.  节省； 减少； 缩减
overrun	 v.  超过； 泛滥 n. 泛滥成灾，超出限度
reactor	 n.  核反应堆
outcry	 n.  大声疾呼； 强烈抗议
penetrate	 v.  穿过； 渗入； 看穿， 洞察
reproof	 n.  谴责， 非难
homogeneity	 n.  同种； 同质
principal	 adj.  主要的， 首要的 n. 负责人，首长；主犯
pare	 v.  剥， 削， 修
synonym	 n.  同义词
somber	 adj.  昏暗的； 忧郁的
perspicuity	 n.  明白
equitable	 adj.  公平的， 公正的
specimen	 n.  标本， 样本
exotic	 adj.  异国情调的， 外来的； 奇异的
psychic	 adj.  精神的； 超自然的
amply	 adv.  充足地， 详细地
boycott	 vt.  联合抵制； 联合排斥某国货物或与某国绝交
preposterous	 adj.  荒谬的
semiannual	 adj.  每半年的； 半年期的
annals	 n.  编年史； 年报
subscribe	 v.  订购， 订阅， 预订
distill	 vt.  蒸馏， 用蒸馏法提取； 吸取， 提炼
chromosome	 n.  染色体
concentration	 n.  浓度
aristocrat	 n.  贵族
velocity	 n.  速度
invalidate	 v.  使无效
colleague	 n.  同事， 同僚
malfeasance	 n.  违法行为， 渎职
commiserate	 v.  怜悯， 同情
confession	 n.  供认， 承认， 招供
lithe	 adj.  柔软的； 易弯的
antenatal	 adj.  【医】 出生前的
reclamation	 n.  开垦； 改造；  收回
tolerate	 v.  容忍， 默许
intangible	 adj.  感觉不到的
bombardier	 n.  投弹手， 炮兵下士
resent	 v.  愤恨， 怨恨
underling	 n.  部下， 下属； 走卒
instigate	 v.  教唆； 怂恿
ambiguous	 adj.  不明确的； 模棱两可的
asylum	 n.  庇护； 收容所
allay	 vt.  减轻， 减少； 使安静
avidity	 n.  热望； 贪婪
path	 n.  路程
impulsive	 adj.  冲动的
ashen	 adj.  灰色的； 苍白的
palliate	 v.  减轻
gravitation	 n.  引力
botanical	 adj. 植物学的 n.  植物性药材
soporific	 adj.  催眠的， 想睡的
angelic	 adj.  天使的； 天使般的
acoustics	 n.  声学
scanner	 n.  扫描器
conceivable	 adj.  可能的， 想得到的， 可想像的
cube	 n.  立方体； 立方； 三次幂
adulterate	 vt.  掺杂
apparition	 n.  离奇出现的东西；  鬼怪， 幻影
impact	 n. 作用；影响 v. (对…)产生〔重要或明显的〕影响
profile	 n.  侧面 ； 轮廓， 外形； 人物简介
bilk	 vt.  诈骗
paralysis	 n.  瘫痪， 麻痹
macrophage	 n.  巨噬细胞
laudation	 n.  赞美， 称赞， 颂词
peninsular	 adj.  半岛  的； 半岛的
acrid	 adj.  辛辣的，  刻薄的
bile	 n.  胆汁
bigamist	 n.  重婚者
supine	 adj.  仰卧的
dilate	 v.  扩大， 膨胀
census	 n.  人口普查
domain	 n.   领域， 范围； 领土， 领地
assignee	 n.  受让人； 受托人
nascent	 adj.  初生的
influential	 adj.  有影响的； 有权势的
impinge	 v.  撞击
pluralism	 n.  多元化， 多元性； 兼职
amenity	 n.  宜人； 生活福利设施， 便利设施
dour	 adj.  固执的； 阴沉的； 严厉的
annuity	 n.  年金， 养老金； 年金享受权
transparent	 adj.  透明的； 显然的， 明显的； 清楚的， 易懂的
academician	 n.  学会会员； 院士； 学者
arrogate	 v.  冒称
brag	 v.  吹牛
term	 n.  项
brae	 n.  斜坡； 山坡
acquisition	 n.  获得， 获得物
addle	 v.  使腐败； 使糊涂
factorable	 adj.  可分解因子的
emergence	 n.  浮现， 露出
advent	 n.  到来， 来临， 出现
medieval	 adj.  中世纪的， 仿中世纪的； 老式的， 原始的
involve	 vt.  使某人卷入， 陷入， 连累； 包含， 含有， 涉及
right	 adj.  直的
requisite	 adj.  需要的， 必不可少的， 必备的
elude	 v.  不记得， 不理解； 躲避， 逃避
herbaceous	 adj.  草本的
obsequious	 adj.  谄媚的， 奉承的， 拍马屁的
amnesia	 n.  健忘症
sedition	 n.  煽动， 暴乱
retrograde	 adj.  倒退的
clairvoyance	 n.  透视， 洞察力
supersede	 v.  代替， 取代
ruminate	 v.  反刍； 沉思
desert	 v.  丢弃， 放弃 n.  沙漠
finch	 n.  雀类
syllabus	 n.  课程大纲
pulverize	 v.  研磨成粉； 彻底毁灭
dialect	 n.  方言
rigor	 n.  严格， 严厉
turgid	 adj.  肿的； 浮夸的
emergency	 n.  紧急情况， 突然事件， 非常时刻
paralyze	 v.  使瘫痪， 使麻痹
misstate	 v.  说错， 作虚伪叙述
gesticulation	 n.  姿势； 做姿势传达； 手势
anachronistic	 adj.  时代错误的； 过时的
exemplary	 adj.  典型的
incumbent	 adj.  职责所在的， 负有…义务的
acceleration	 n.  加速度
adamant	 adj.  坚定不移的， 固执的
hydraulic	 adj.  水力的； 水压的
phlegmatic	 adj.  冷淡的， 漠然的
radius	 n.  半径
fortitude	 n.  坚忍； 刚毅
impair	 v.  损害， 损伤； 削弱， 减少
emancipation	 n.  释放， 解放
sumptuous	 adj.  奢侈的， 豪华的
static	 adj.  静态的
cajole	 v.  以甜言蜜语哄骗； 勾引
bray	 v.  叫， 嘶叫 n. 驴叫声，喇叭声
exhaust	 v. 使筋疲力尽，耗尽；抽完，汲干 n.  排气装置； 废气
soluble	 adj.  可溶的
intriguing	 adj.  迷人的， 有迷惑力的； 引起兴趣  的
ostentatious	 adj.  装饰表面的； 卖弄的
conviction	 n.  深信， 确信
diversify	 v.   多样化， 使不同， 使变化
comely	 adj.  清秀的， 标致的； 合适的
inventive	 adj.  善于创造的； 发明的
hideous	 adj.  骇人听闻的
graph	 n. 图表，曲线图
feast	 n.  节日； 宴会
imbibe	 v.  吸收
vertigo	 n.  眩晕， 晕头转向
pretentious	 adj.  自负的
solvent	 adj.  有溶解力的， 溶剂的； 有偿付能力的
nude	 adj.  裸体的
occasion	 n.  场合， 时节， 时刻； 时机， 机会
proportionate	 adj.  成比例的
virtual	 adj.  虚拟的； 实际上的， 事实上的
vegetate	 v.  过单调乏味的生活
arraign	 vt.  提问； 传讯； 责难
apposite	 adj.  适当的
guzzle	 v.  狂饮； 暴食
conjugal	 adj.  结婚的， 夫妇间的
optics	 n.  光学
awry	 adj.  歪曲的； 错误的
duration	 n.  持久； 期间； 持续时间
aqueduct	 n.  沟渠； 导水管
precession	 n.  先行； 领先
frenzied	 adj.  狂乱的， 激怒的， 疯狂似的
arrogant	 adj.  傲慢的； 自大的
erudite	 adj.  博学的
abusive	 adj.  辱骂的， 滥用的
undersell	 v.  以低于市价售出； 抛售
length	 n.  长度
advert	 vi.  注意， 留意
schedule	 n.  目录， 一览表， 清单； 程序表， 计划表， 时间表， 课程表
insurgent	 adj.  起义的； 暴动的； 叛乱的
achromatic	 adj.  非彩色的
faction	 n.  派别， 小派系
arduous	 adj.  费力的； 艰巨的
overwhelming	 adj.  势不可挡的， 压倒的
ludicrous	 adj.  可笑的； 滑稽的； 愚蠢的
atrocious	 adj.  残暴的， 凶恶的
append	 v.  附加， 添加
turpitude	 n.  奸恶， 卑鄙
frigid	 adj.  寒冷的； 冷淡的，  缺乏性感的
invincible	 adj.  不能征服的； 无敌的
tantamount	 adj.  等价的
exhausted	 adj.  耗尽的； 疲惫的
misgiving	 n.  疑惧， 疑虑
discount	 n. 减价，折扣 v. 忽视，不重视〔某事〕
verity	 n.  真实； 事实； 真理
convert	 v.  变换， 转化
relish	 n.  享受， 乐趣
cadent	 adj.  有节奏的； 降落的
division	 n.  除法
dissentious	 adj.  好争论的， 争吵的
balance	 n.  天平
distillation	 n.  蒸馏
exasperate	 v.  激怒； 加剧
pancreas	 n.  胰腺
iconoclast	 n.  偶像破坏者； 攻击传统观念和习俗的人
mimic	 vt.  模仿； 模拟
pitch	 n.  音调
feat	 n.  功绩， 伟业， 技艺， 壮举
incessant	 adj.  不断的， 不停的
inspection	 n.  检验
immaculate	 adj.  纯洁无瑕的； 完美的
adversity	 n.  不幸， 灾祸
inadvertent	 adj.  不注意的， 疏忽的
statue	 n.  塑像， 雕像
pretension	 n.  借口； 要求， 主张； 自负， 骄傲
menace	 n. 威胁；危险的人 vt.  恐吓， 威胁
benison	 n.  祝福
quintessence	 n.  精华； 典型
plethora	 n.  过剩， 过多； 多血症
debunk	 v.  揭穿， 拆穿假面具， 暴露
field	 n.  场
virtuous	 adj.  有道德的， 善良的， 正直的， 贞洁的
invalid	 adj.  有病的， 伤残的； 供病人用的； 无效的； 作废的； 无根据的， 站不住脚的 n.  病人， 病弱者， 伤残人
interval	 n.  间隔， 区间
legitimate	 v. 合法 adj.  正当的， 合理的； 合法的
cosmopolitan	 adj.  世界性的； 全球  的
mite	 n.  微小的东西
status	 n.  地位， 身份； 情形， 状况
renown	 n.  名望， 声誉
rebuff	 v.  回绝； 冷落
imperious	 adj.  专横的
blithesome	 adj.  愉快的， 高兴的
familiarity	 n.  亲密； 熟悉； 精通
diffusion	 n.  扩散， 传播
petrify	 v.  使石  化， 使僵硬； 使麻木
curve	 n.  曲线
extraneous	 adj.  外来的； 无关的
disseminate	 vt.  散布， 传播
liquefy	 v.   溶解，  液化
abomination	 n.  憎恨， 厌恶； 可憎的事物
legislator	 n.  立法者
digression	 n.  离题
herald	 v.  传达， 通告； 预示…的来临 n. 传令官；使者，报信者；先驱，前锋
