access	v. 获取 n. 接近，入口
hospital	 n. 医院
fortnight	 n. 两星期，十四天
chew	 v. 咀嚼，嚼碎
optional	 adj. 可以任意选择的
assist	 v. 援助，帮助
carpet	 n. 地毯，毡毯，毛毯
probability	 n. 可能性；概率
railway	 n. 铁路，铁道
each	 det,pron. 各，各自
explosion	 n. 爆炸，炸裂；爆发
racial	 adj. 种族的；人种的
clerk	 n. 办事员，职员；店员
asleep	 adj. 睡着的，睡熟的
possible	 adj. 可能的；可能存在的
hostess	 n. 女主人
exception	 n. 例外，除外
cathedral	 n. 总教堂；大教堂
acceptance	 n. 接受，验收；承认
might	 v. 可能，会，也许
unite	 v. 联合
ox	 n. 阉牛；牛；公牛
recovery	 n. 重获；痊愈；恢复
fellow	 n. 家伙；伙伴
brown	 n. 褐色，棕色
blind	 adj. 瞎的；盲目的
dash	 v. 使猛撞；溅 n. 猛冲
must	 v. 必须；必然要
importance	 n. 重要；重要性
reception	 adj. 接待；招待会
cap	 n. 帽子，便帽；帽状物
captain	 n. 陆军上尉；队长
rigid	 adj. 刚硬的；僵硬的
mistake	 n. 错误 v. 误解，弄错
depart	 v. 离开，起程；出发
engage	 v. 使从事于；聘用
crazy	 adj. 疯狂的，荒唐的
butcher	 n. 屠夫；屠杀者
pay	 v. 支付；付给；给予
lonely	 adj. 孤独的；荒凉的
corn	 n. 谷物；（英）小麦
pierce	 v. 剌穿
revise	 v. 修订，校订；修改
primarily	 adv. 首先；主要地
field	 n. 田野；田；运动场
compromise	 n. 妥协，和解
crane	 n. 起重机，摄影升降机
future	 n. 将来，未来；前途
external	 adj. 外部的，外面的
fraction	 n. 小部分；片断；分数
delicate	 adj. 纤细的；易碎的
abundant	 adj. 丰富的；大量的
brittle	 adj. 脆的；易损坏的
claim	 v. 声称，主张；索取
appreciate	 v. 领会；感谢；欣赏
about	 prep. 关于；在…周围
parade	 n. 游行；检阅 v. 游行
furnish	 v. 装备，布置 （房间、建筑物）；供应，提供
mourn	 v. 哀痛，哀悼
hazard	 n. 危险；公害
choice	 n. 选择，抉择
liable	 adj. 易于…的；可能的
sum	 n. 金额；总数
foreigner	 n. 外国人
mud	 n. 软泥，泥浆
reveal	 v. 揭示，揭露；展现
fold	 v. 折叠；合拢 n. 褶
beard	 n. 胡须，络腮胡子
illustrate	 v. （用图等）说明
protect	 v. 保护，保卫，警戒
airline	 n. 航空公司
military	 adj. 军事的；军人的
Negro	 n. 黑人
deep	 adj. 深的；纵深的
storey	 n. （层）楼
willing	 adj. 愿意的，心甘情愿的
quarter	 n. 四分之一；一刻钟
obey	 v. 顺从
pattern	 n. 型，式样；模，模型
lightly	 adv. 轻轻地，轻松地
suppose	 v. 猜想；假定
case	 n. 情况；病例；事实
overcoat	 n. 外衣，大衣
installation	 n. 安装；装置；设施
niece	 n. 侄女，外甥女
incline	 n. 斜坡 v. 使倾斜
superficial	 adj. 肤浅的；表面的
appointment	 n. 约定，约会；任命
tyre	 n. 轮胎，车胎
failure	 n. 失败；失败的人
beauty	 n. 美，美丽；美人
painting	 n. 油画；绘画；着色
frown	 v. 皱眉，蹙额
drown	 v. 淹死，溺死
resemble	 v. 像，类似
pressure	 n. 压力；〔工作或生活中的〕压力；压，按
remarkable	 adj. 异常的，非凡的
muscle	 n. 肌肉，肌；体力
nap	 n. 小睡，打盹，瞌睡
polish	 v. 磨光；使优美
company	 n. 公司，商号；同伴
critical	 adj. 批评的；决定性的
renew	 v. 使更新
maintain	 v. 维持；赡养；维修
computer	 n. 计算机，电脑
feasible	 adj. 可行的；可能的
transformer	 n. 变压器
vehicle	 n. 车辆，机动车
politician	 n. 政治家；政客
regard	 v. 把…看作
oral	 adj. 口头的；口的
height	 n. 高，高度；高处
approximately	 adv. 近似地，大约
long	 v. 渴望，极想念
bit	 n. 一点，一些，小片
sole	 n. 脚底；鞋底，袜底
imprison	 v. 关押，监禁；限制
folk	 n. 人们；家属，亲属
carve	 v. 刻，雕刻；切开
practice	 n. 练习；实践；业务
element	 n. 成分；要素；元素
rapid	 adj. 快的
rational	 adj. 理性的；出于理性的
indispensable	 adj. 必不可少的，必需的
contact	 v. 与…联系
treatment	 n. 待遇；治疗，疗法
insure	 v. 给…保险；确保
excellent	 adj. 优秀的，杰出的
loyal	 adj. 忠诚的，忠心的
dull	 adj. 枯燥的；不鲜明的
ghost	 n. 鬼，灵魂；鬼魂
mortal	 adj. 终有一死的；致死的
identify	 v. 认出，识别，鉴定
iron	 n. 铁 v. 烫（衣）
China	 n. 中国
collision	 n. 碰撞；冲突
harmful	 adj. 有害的
volume	 n. 音量；容积；卷，册
bull	 n. 公牛；雄的象
mask	 n. 面具；伪装 v. 掩饰
crime	 n. 犯罪；罪，罪行
debate	 n. 争论，辩论 v. 争论，辩论
newspaper	 n. 报纸，报
criticize	 v. 批评；非难；评论
pencil	 n. 铅笔
courage	 n. 勇气，胆量，胆识
forehead	 n. 额头，前部
perceive	 v. 理解；察觉，发觉
place	 n. 地方，地点；住所
joke	 n. 笑话 v. 说笑话
sheet	 n. 被单；纸张；薄板
dot	 n. 点，圆点 v. 打点于
balance	 v. 使平衡 n. 天平
melon	 n. 瓜，甜瓜
injure	 v. 伤害，损害，损伤
cucumber	 n. 黄瓜
flame	 n. 火焰；热情
less	 adj. 更少的 adv. 更少地
peace	 n. 和平；平静；和睦
solve	 v. 解决；解答，解释
basis	 n. 基础，根据
once	 adv. 一次；曾经
bus	 n. 公共汽车
husband	 n. 丈夫
haircut	 n. 理发
kiss	 v. 吻 n. 吻
pet	 n. 爱畜；宠儿
harvest	 n. 收获；收成 v. 收割
considerable	 adj. 相当大的；重要的
cordial	 adj. 真诚的，诚恳的
sketch	 n. 略图；速写；概略
avenue	 n. 大街；林荫道，道路
bright	 adj. 明亮的；聪明的
intimate	 adj. 亲密的；个人的
locate	 v. 探明，找出，查出
pride	 n. 骄傲；自豪 v. 自夸
ore	 n. 矿，矿石，矿砂
cupboard	 n. 碗柜，碗碟橱；食橱
battery	 n. 电池；一套，一组
impression	 n. 印象；印记
waterproof	 adj. 不透水的，防水的
find	 v. 找到；找出；发觉
chapter	 n. 章，回，篇
powerful	 adj. 有权威的；强有力的
overtime	 n. 加班；加班的时间
carrier	 n. 运输工具；运载工具
troop	 n. 军队；一群，大量
garbage	 n. 垃圾，污物，废料
literature	 n. 文学；文献
excessive	 adj. 过多的，极度的
nasty	 adj. 龌龊的；淫猥的
aboard	 adv. 在船（车）上；上船
outdoor	 adj. 户外的，室外的
accuse	 v. 指责；归咎于
heaven	 n. 天堂；天，天空
include	 v. 包括，包含
poisonous	 adj. 有毒的，有害的
medicine	 n. 内服药；医学
Europe	 n. 欧洲
examine	 v. 检查，仔细观察
halt	 v. 停止；立定 n. 停住
endure	 v. 忍受；容忍
opening	 adj. 开始的 n. 开始
silence	 n. 沉默 v. 使沉默
missile	 n. 导弹；发射物
executive	 adj. 执行的 n. 执行者
reliability	 n. 可靠性
granddaughter	 n. 孙女，外孙女
occasional	 adj. 偶然的；临时的
fortunate	 adj. 幸运的；侥幸的
ear	 n. 耳朵；听力，听觉
sequence	 n. 次序
guarantee	 n. 保证；担保物
link	 v. 有环连接 n. 环
actual	 adj. 实际的
after	 prep. 在…以后；次于
access	 n. 通道，入口
recently	 adv. 最近，新近
intellectual	 n. 知识分子 adj. 智力的
rotate	 v. 旋转
deck	 n. 甲板；舱面；层面
plough	 n. 犁 v. 犁，耕
poison	 n. 毒，毒药 v. 毒害
perhaps	 adv. 也许，可能，多半
acid	 n. 酸 adj. 酸的；酸性的
elect	 v. 选举，推选；选择
cent	 n. 分；分币
arbitrary	 adj. 随心所欲的；专断的
either	 det,pron. （两者）任何一个
Atlantic	 adj. 大西洋的 n. 大西洋
actor	 n. 演剧的人
fever	 n. 发热，发烧；狂热
mostly	 adv. 主要的，大部分
player	 n. 游戏的人；比赛者
swell	 v. 膨胀；增长；隆起
experience	 n. 经验，感受；经历
creative	 adj. 创造性的，创作的
perfect	 adj. 完美的；完全的
affection	 n. 慈爱，爱；爱慕
largely	 adv. 大部分；大量地
extent	 n. 程度；广度；范围
better	 adj. 较好的 adv. 更好地
disappear	 v. 消失；不见；失踪
motivate	 v. 促动；激励，激发
moreover	 adv. 再者，加之，此外
regulate	 v. 管理，控制；调整
respectively	 adv. 各自地，分别地
exit	 n. 出口；退场 v. 退出
chairman	 n. 主席；议长，会长
journal	 n. 日报，杂志；日志
below	 prep. 在…下面（以下）
belief	 n. 信念；信任，相信
minority	 n. 少数；少数民族
over	 prep. 在…上方；超过
conversation	 n. 会话，非正式会谈
factory	 n. 工厂，制造厂
cherry	 n. 樱桃；樱桃树
consent	 n. 同意，赞成 v. 同意
else	 adv. 其它，另外 adj. 别的
mouse	 n. 鼠，耗子
disk	 n. 圆盘，唱片；磁盘
legal	 adj. 法律的；合法的
fundamental	 adj. 基础的，基本的
liquor	 n. 酒
ancient	 adj. 古代的；古老的
pillow	 n. 枕头
grip	 v. 握紧，抓牢 n. 紧握
limitation	 n. 限制；限度，局限
chief	 adj. 首席的；主要的
dark	 adj. 暗的；黑色的
stoop	 v. 俯身；弯身 n. 曲背；驼背
parliament	 n. 议会，国会
weld	 v. 焊接，熔接 n. 焊接点
hang	 v. 挂，悬；吊死
pacific	 adj. 和平的 n. 太平洋
regulation	 n. 规则，规章；管理
against	 prep. 倚在；逆，对着
blood	 n. 血，血液；血统
life	 n. 生命；一生；寿命
cannon	 n. 大炮，火炮；榴弹炮
evening	 n. 傍晚，黄昏，晚上
confine	 v. 禁闭；限制
ceiling	 n. 天花板，顶蓬
ashamed	 adj. 惭愧（的）；羞耻（的）
just	 adv. 正好；只是；刚才
necessity	 n. 必要性；必然性
mercury	 n. 水银，汞
materialism	 n. 唯物主义
let	 v. 允许，让；使
darling	 n. 亲爱的人；宠儿
billion	 num. 万亿（英）
frame	 n. 框架，框子；构架
cheek	 n. 面颊，脸蛋
incident	 n. 发生的事；事件
head	 n. 头；上端 v. 率领
acquaintance	 n. 熟人；认识；了解
fifty	 num. 五十，五十个
people	 n. 人；人民，民族
injection	 n. 注射；注入
fetch	 v. 拿来；请来，接去
indignant	 adj. 愤慨的，义愤的
carpenter	 n. 木工，木匠
function	 n. 功能；职务；函数
transparent	 adj. 透明的；易识破的
exposure	 n. 暴露；揭露；曝光
sightseeing	 n. 观光，游览
around	 prep. 在…周围
everybody	 pron. 每人，人人
cart	 n. 二轮运货马车
theoretical	 adj. 理论（上）的
herd	 n. 兽群，牧群 v. 放牧
fatal	 adj. 致命的
England	 n. 英格兰；英国
sportsman	 n. 运动员
intensity	 n. 强烈，剧烈；〔光、声等的〕强度
violet	 n. 紫罗兰
agree	 v. 同意；持相同意见
lens	 n. 镜头；透镜，镜片
attitude	 n. 态度，看法；姿势
dirt	 n. 尘，污物，污垢；土
assemble	 v. 集合，召集；装配
slender	 adj. 细长的；微薄的
sticky	 adj. 粘性的；胶粘的
drawer	 n. 抽屉
dormitory	 n. 集体寝室；宿舍
ray	 n. 光线；射线，辐射线
delicious	 adj. 美味的；怡人的
admit	 v. 承认；准许…进入
thread	 n. 线；丝；螺纹；头绪
poet	 n. 诗人
somehow	 adv. 由于某种原因
mate	 n. 伙伴，同事；配偶
character	 n. 性格；角色；特性
across	 prep. 横过；在…对面
organ	 n. 器官；管风琴；机构
gesture	 n. 姿势，手势；姿态
equality	 n. 等同，平等；相等
landlady	 n. 女房东；女地主
attend	 v. 出席；照顾，护理
proof	 n. 证据；证明；校样
cover	 v. 盖；包括 n. 盖子
fasten	 v. 扎牢，扣住
push	 v. 推；鼓励；敦促；逼迫
rib	 n. 肋，肋骨
light	 adj. 轻的；少量的
stir	 v. 搅动；搅和；搅拌
earthquake	 n. 地震；大震荡
concentration	 n. 专注；集中；浓度
make	 v. 做，制造；使
wind	 v. 绕，缠绕
guilty	 adj. 内疚的；有罪的
blaze	 n. 火；闪光 v. 燃烧
invest	 v. 投资；投入
cloudy	 adj. 多云的；云一般的
grandson	 n. 孙子，外孙子
feeling	 n. 感觉，知觉；感情
trap	 n. 陷阱；诡计 v. 诱骗
race	 n. 比赛，竞赛，竞争
overlook	 v. 忽略；未注意到；眺望
spade	 n. 铲，铁锹
whistle	 n. 口哨 v. 吹口哨
action	 n. 行动；作用；功能
bolt	 n. 插销；螺栓 v. 闩门
drug	 n. 药，药物，药材
nitrogen	 n. 氮
listen	 v. 听，留神听；听从
murderer	 n. 杀人犯，凶手
evidence	 n. 根据；证据，证人
inhabitant	 n. 居民，住户
instead	 adv. 代替，顶替；反而
alike	 adj. 相像；十分相似
lesson	 n. 功课，课；课程
medium	 n. 媒质 adj. 中等的
lest	 conj. 以免；惟恐
cancel	 v. 取消，撤销
butter	 n. 黄油；奶油
pill	 n. 药丸，丸剂
fairly	 adv. 相当；公平地
horn	 n. 号角；喇叭；角
melt	 v. 融化
preposition	 n. 前置词，介词
fruitful	 adj. 多产的；肥沃的
middle	 n. 中部 adj. 中部的
leap	 v. 跳，跃 n. 跳跃
million	 num. 百万 n. 许多
know	 v. 知道；认识；通晓
biology	 n. 生物学
voluntary	 adj. 自愿的，志愿的
acquire	 v. 取得；获得；学到
independent	 adj. 独立的；自主的
wheel	 n. 轮，车轮
hole	 n. 洞；孔眼；裂开处
symbol	 n. 象征；符号，记号
curious	 adj. 好奇的；稀奇古怪的
bay	 n. 湾
forbid	 v. 禁止，不许；阻止
refer	 v. 谈到
finally	 adv. 最后
nylon	 n. 尼龙，耐纶
ambition	 n. 雄心，抱负，野心
electric	 adj. 电的，电动的
velocity	 n. 速度
relax	 v. 使松弛
golf	 n. 高尔夫球
bone	 n. 骨，骨骼
glory	 n. 光荣；荣誉的事
interpret	 v. 口译；解释，说明
want	 n. 需要；缺乏
mood	 n. 心情，情绪；语气
coach	 n. 长途公共汽车
examination	 n. 考试；检查，细查
kindness	 n. 仁慈，好意
terror	 n. 恐怖，惊骇
heroine	 n. 女英雄；女主角
cricket	 n. 板球；蟋蟀
retreat	 v. （被迫）退却；后退
curve	 n. 曲线；弯 v. 弄弯
structural	 adj. 结构的，构造的
via	 prep. 经过；通过
misunderstand	 v. 误解，误会，曲解
pond	 n. 池塘
precaution	 n. 预防；警惕
shore	 n. 滨，岸
autumn	 n. 秋，秋季
prospect	 n. 展望；前景，前程
question	 n. 问题；疑问
front	 adj. 前面的 n. 前部
broadcast	 n. 广播，播音
background	 n. 背景，经历；后景
appearance	 n. 外观；出现，来到
fur	 n. 软毛；毛皮，裘皮
pronoun	 n. 代词
coarse	 adj. 粗的，粗糙的
clarify	 v. 澄清，阐明
remote	 adj. 相隔很远的；冷淡的
investigation	 n. 调查，调查研究
boat	 n. 小船，艇
attractive	 adj. 有吸引力的
occupy	 v. 占领；占，占有
agony	 n. 极度痛苦
platform	 n. 站台；讲台；平台
communism	 n. 共产主义
not	 adv. 不，没有
intensive	 adj. 加强的；精耕细作的
maybe	 adv. 大概，或许；也许
disgust	 n. 厌恶，憎恶
utilize	 v. 利用
protection	 n. 保护
connect	 v. 连接，连结；联系
cancel	 vt. 取消， 撤销； 删去
explosive	 adj. 爆炸的； 极易引起争论的 n. 炸药
numerous	 adj. 众多的
govern	 vi. 居支配地位， 占优势 vt. 统治，治理，支配
analyse	 vt. 分析； 分解； 解析
discourage	 vt. 使泄气， 使灰心； 阻止， 劝阻
resemble	 vt. 像， 类似于
remote	 adj. 遥远的； 偏僻的； 关系疏远的； 脱离的； 微乎其微的； 孤高的， 冷淡的； 遥控的
salary	 n. 薪金， 薪水
pollution	 n. 污染， 污染物
pretend	 vt. 装作， 假装
kettle	 n. 水壶
wreck	 n. 失事；残骸；精神或身体已垮的人 vt. 破坏
drunk	 adj. 醉的； 陶醉的
calculate	 vt. 计算； 估计； 计划
persistent	 adj. 坚持的， 不屈不挠的； 持续不断的； 反复出现的
sake	 n. 缘故， 理由
conceal	 vt. 把…隐藏起来， 掩盖， 隐瞒
audience	 n. 听众， 观众， 读者
meanwhile	 adv. 与此同时
possess	 vt. 占用， 拥有
competent	 adj. 有能力的， 能胜任的
investment	 n. 投资， 投资额； 投入
neutral	 adj. 中立的； 中性的
scratch	 v. 抓，搔，扒；刮，擦；刻出 n. 抓痕， 划痕； 抓， 搔， 刮
optional	 adj. 可以任选的
require	 vt. 需要； 要求； 命令
circular	 adj. 圆的；循环的；兜圈子的 n. 通知， 通告
analysis	 n. 分析， 分析报告； 分解； 解析
click	 v. 发出咔嗒声；点击 n. 咔嗒声
fashionable	 adj. 流行的， 时髦的
devise	 vt. 设计， 发明
apparent	 adj. 表面上的， 明显的
journalist	 n. 新闻工作者， 新闻记者
exposure	 n. 暴露， 揭露； 曝光
temper	 n. 韧度；心情，情绪 vt. 调和， 使缓和； 【冶】使回火
protective	 adj. 保护的， 防护的
sideways	 adv&adj. 从一边， 向一边； 在一边； 斜着， 侧身
multicultural	 adj. 融合多种文化的
object	 vi. 反对， 不赞成 n. 实物， 物体； 目的， 目标； 对象， 客体； 宾语
humble	 adj. 谦逊的； 地位低下的； 简陋的
chapter	 n. 章， 回， 篇
harbour	 n. 海港，港口 vt. 庇护； 心怀
independent	 adj. 独立的， 自主的； 无偏见的； 不相关联的
carriage	 n. 客车厢， 四轮马车
cliff	 n. 悬崖， 峭壁
infinite	 adj. 无限的； 无穷的
concede	 vt. 承认， 承认…为真； 承认失败； 允许， 让予； 让步， 认输
elect	 vt. 选举， 推选； 选择
weekly	 adv. 每周 adj. 每周的
result	 vi. 发生； 结果 n. 结果；成果；比分
golf	 n. 高尔夫球运动
selfish	 adj. 自私的， 利己的
sexism	 n. 性别偏见， 性别歧视
commission	 n. 委任状；委员会；佣金，回扣；授权，委托 vt. 委任， 委托
headline	 n. 大字标题； 新闻提要
connect	 vt. 连接， 结合， 联系； 给…接通电话
rational	 adj. 理性的， 理智的； 合理的
policy	 n. 政策， 方针； 保险单
editorial	 adj. 编辑的，主笔的，编者的；社论的，社论式的 n. 社论， 重要评论
resume	 vt. 重新开始， 继续， 恢复 n. 摘要， 概要； 简历
rebuild	 v. 重建， 改造； 复原
committee	 n. 委员会， 全体委员
namely	 adv. 即， 也就是
artistic	 adj. 艺术的， 艺术家的； 富有艺术性的， 精美的； 精彩的
union	 n. 工会， 联盟； 联合， 团结； 一致
plentiful	 adj. 丰富的， 充足的； 大量的
halt	 vt. 停止，立定 n. 停住
component	 adj. 组成的， 构成的 n. 组成部分，部件，组件
consultant	 n. 顾问； 会诊医师， 专科医生
sunset	 n. 日落； 晚霞
obvious	 adj. 明显的
illustration	 n. 说明， 图解， 例证
disguise	 vt. 假扮，化装，伪装；掩盖，掩饰 n. 用来伪装的东西； 伪装， 掩饰
wrap	 vt. 裹，包，捆 n. 披肩
surgery	 n. 外科， 外科手术； 手术室
liberal	 adj. 心胸宽大的， 慷慨的； 自由的， 自由主义的
violent	 adj. 暴力引起的， 暴力的； 猛烈的， 剧烈的
harmony	 n. 调和， 协调， 和谐
resolve	 n&v. 解决， 解答； 决定， 决意
chill	 v. 变冷，感到冷 n. 寒冷， 寒气； 风寒， 寒战
confront	 vt. 迎面遇到， 遭遇； 勇敢地面对， 正视； 使对质， 使当面对证
dominate	 vi. 拥有优势 vt. 在…中占首要地位；支配，统治，控制；耸立于，俯视
imitate	 vt. 模仿， 仿效， 仿制
faithful	 adj. 忠诚的； 如实的； 尽职的
reproduce	 v. 复制， 再现； 繁殖， 生殖
institution	 n. 协会； 制度， 习俗
pad	 n. 垫，衬垫；便笺本；发射台，直升机起落场 vt. 填塞
provocation	 n. 激怒， 刺激； 挑衅， 挑拨
ambition	 n. 雄心， 抱负； 野心； 期望得到的东西
scholarship	 n. 奖学金； 学问， 学识
exceed	 vt. 超过， 胜过， 超出
besides	 adv. 而且 prep. 除…之外
preposition	 n. 介词
enlarge	 vt. 扩大， 扩展， 放大
implement	 n. 工具， 器具， 用具 vt. 使生效， 履行， 实施
export	 vt. 输出， 出口 n. 输出， 出口； 输出品， 出口额
Christ	 n. 基督， 救世主
murder	 n. 谋杀，凶杀；谋杀罪 v. 谋杀；杀害
pat	 adj. 非常恰当的， 适时的 n. 轻拍
fantasy	 n. 想象， 幻想； 想象的产物
horsepower	 n. 马力
visibility	 n. 可见度， 能见度； 可见性， 明显性
invitation	 n. 邀请， 招待； 请柬； 吸引， 诱惑
paw	 v. 用爪子抓， 用蹄扒； 翻找 n. 爪子
enormous	 adj. 巨大的， 庞大的
moisture	 n. 潮湿， 湿气
toast	 n. 烤面包；祝酒，祝酒词 vt. 烘， 烤； 向…祝酒， 为…干杯
frustrate	 vt. 使沮丧， 使灰心； 挫败， 使受挫折
external	 adj. 外部的， 外面的
aside	 adv. 在旁边， 到旁边
circumstance	 n. 情况， 条件； 境遇， 境况； 经济情况
revise	 v. 修订， 修改； 复习
authority	 n. 官方； 权力； 当权者， 行政管理机构； 权威， 专家
creature	 n. 创造物， 产物； 生物， 动物， 家畜
harm	 n&vt. 伤害， 损害
semiconductor	 n. 半导体
rope	 n. 绳，索 vt. 用绳捆
provided	 conj. 假如， 若是
instrument	 n. 仪器， 工具； 乐器
gasoline	 n. 汽油
indispensable	 adj. 必不可少的， 必需的
medium	 adj. 中等的 n. 媒体；媒介物，传导体
lens	 n. 透镜， 镜片， 镜头
wisdom	 n. 智慧， 才智； 名言
fatal	 adj. 致命的， 命运的； 重大的， 决定性的
nowhere	 adv. 任何地方都不
motive	 n. 动机， 目的
romantic	 adj. 浪漫的； 多情的； 有浪漫色彩的， 传奇性的； 不切实际的， 空想的
motivate	 vt. 作为…的动机； 激励， 激发
spoil	 v. 损坏，糟蹋；宠坏，溺爱；变质 n. 战利品， 掠夺物
airline	 n. 航空公司； 航线
multiply	 vt. 增加， 繁殖； 乘
ridge	 n. 脊， 山脊； 垄， 埂， 脊状突起
pilot	 adj. 试验性的， 试点的 n. 引航员；飞行员 vt. 驾驶；为引航；试验，试用
umbrella	 n. 伞， 雨伞
approval	 n. 赞成， 同意， 批准
mobile	 adj. 运动的； 流动的； 多变的
perform	 vt. 做， 履行， 完成； 表演， 演出； 工作情况， 表现
multiple	 adj. 复合的，多重的，多样的 n. 倍数
peak	 vi. 达到高峰， 达到最大值 adj. 最大值的，高峰的 n. 山顶，顶点
evolution	 n. 进化， 演化， 发展
portrait	 n. 肖像， 画像
halfway	 adv. 半路地； 在中途， 在半途 adj. 中途的；部分的；不彻底的
expose	 vt. 使接触； 揭露
concentrate	 v. 全神贯注，全力以赴；集中，聚集；浓缩 n. 浓缩物， 浓缩液
magnet	 n. 磁铁， 磁体； 有吸引力的人或事物
explosion	 n. 爆炸， 爆发， 炸裂； 激增， 扩大
weld	 n&vt. 焊接， 熔接
up-to-date	 adj. 直到最近的， 现代的； 跟上时代的
complaint	 n. 抱怨， 怨言； 控告
translation	 n. 翻译； 译文， 译本
cancer	 n. 癌， 癌症； 肿瘤
personnel	 n. 人员， 员工
hopeless	 adj. 没有希望的， 绝望的
outlook	 n. 观点， 看法； 展望， 前景
fountain	 n. 泉水； 喷泉； 源泉
offense	 n. 犯规， 违法行为； 冒犯， 得罪
breadth	 n. 宽度； 幅度， 幅面
catalog	 n. 目录，目录册；一系列 vt. 将…编入目录， 将编目
channel	 n. 海峡， 水道， 航道； 渠道， 途径； 频道
focus	 v. 聚焦；集中 n. 焦点； 中心
invisible	 adj. 看不见的， 无形的
entire	 adj. 全部的， 整个的
pea	 n. 豌豆
pill	 n. 药丸
wrist	 n. 腕， 腕关节
approach	 vt. 向…靠近 n. 靠近
myth	 n. 杜撰出来的人； 神话
flour	 n. 面粉； 粉， 粉状物质
implication	 n. 含意， 暗示， 暗指； 卷入， 牵连
camel	 n. 骆驼
fierce	 adj. 凶猛的； 狂热的
bump	 vi. 碰，撞；颠簸着前进 n. 碰撞， 猛撞； 肿块； 隆起物
reservation	 n. 预订； 保留； 犹豫； 保留地
per	 prep. 每， 每一
proceed	 vi. 继续进行； 行进， 前进
considering	 prep. 鉴于， 考虑到， 顾及
corporation	 n. 公司， 企业， 社团
loyalty	 n. 忠诚， 忠心
bulb	 n. 电灯泡， 球状物
dismiss	 vt. 不再考虑； 解雇， 解散； 驳回
propose	 v. 提议， 建议， 提出； 提名， 推荐； 打算， 计划； 求婚
intelligence	 n. 智力； 理解力； 情报
reform	 n&v. 改革， 改良， 改造； 改正， 改过自新
draught	 n. 穿堂风，冷风 adj. 〔啤酒〕桶装的，散装的
daylight	 n. 白昼， 日光， 黎明
install	 vt. 安装， 设置； 使就职， 任命
integration	 n. 综合
indication	 n. 指示， 表示， 表明； 象征， 迹象
bulk	 vi. 变得越来越大； 使更大 n. 物体；体积；大批
coach	 n. 长途公共汽车；教练，指导；旅客车厢 vt. 训练， 指导， 辅导
despair	 n. 绝望 v. 绝望，感到无望
champion	 n. 冠军， 得胜者； 捍卫者， 拥护者
gum	 n. 口香糖； 树胶
circuit	 n. 电路， 线路； 环行， 巡行
pine	 vi. 消瘦， 衰弱； 痛苦， 悲哀； 渴望 n. 松树，松木
magnificent	 n. 宏伟的， 壮丽的； 华丽的； 极好的
guy	 n. 家伙， 伙计
respectively	 adv. 各自地， 各个地， 分别地
protection	 n. 保护， 防护
pint	 n. 品脱
restrict	 vt. 限制， 约束， 限定
instant	 adj. 立即的； 紧急的； 可以速食的 n. 瞬间
conjunction	 n. 接合， 连接， 联合； 连词
peer	 vi. 仔细看， 费力地看 n. 同龄人，同等地位的人；贵族
orderly	 adj. 整洁的； 有秩序的
costly	 adj. 昂贵的， 价值高的
roast	 v. 烤，炙，烘 adj. 烤过的， 烘过的 n. 烤肉
violence	 n. 猛烈， 激烈； 暴力
succession	 n. 连续； 一连串； 接替， 继任， 继承
accordingly	 adv. 因此， 所以； 照着
consequence	 n. 结果， 后果； 重要， 重大
product	 n. 产品， 产物； 乘积
particularly	 adv. 特别， 尤其
dominant	 adj. 占优势的， 支配的， 统治的； 居高临下的， 高耸的
heading	 n. 标题， 题词， 题名； 新闻提要
lover	 n. 爱好者； 情人
vinegar	 n. 醋
intellectual	 adj. 智力的 n. 知识分子
cheat	 v. 欺骗；作弊；哄，行骗 n. 欺骗， 欺骗行为； 骗子
framework	 n. 框架， 结构； 准则； 体系
undoubtedly	 adv. 毋庸置疑地， 肯定地
infect	 vt. 传染， 感染； 影响
tide	 n. 潮， 潮汐； 潮流， 趋势
prohibit	 vt. 禁止， 不准
bacteria	 n. 细菌
minor	 vi. 辅修 adj. 较小的，较少的；次要的 n. 未成年人；辅修科目
arrow	 n. 箭， 箭状物； 箭头符号
cop	 n. 警察
fuel	 vi. 加燃料； 加油 n. 燃料，燃料剂 vt. 给…加燃料；刺激
hostile	 adj. 敌方的； 不友善的
aeroplane	 n. 飞机
manner	 n. 方式； 态度； 风度； 礼貌， 规矩
employee	 n. 受雇者， 雇员， 雇工
associate	 vi. 结合； 交往 adj. 副的 vt. 把…联系在一起；使联合 n. 伙伴，同事
pray	 v. 祈祷， 祈求； 请求， 恳求
lad	 n. 男孩， 小伙子
crawl	 vi. 爬， 爬行； 缓慢地行进
identical	 adj. 完全相同的， 同一的
lag	 vi. 走得慢 n. 落后
towel	 n. 毛巾， 手巾
charity	 n. 救济金， 施舍物； 慈善团体， 慈善事业； 宽大， 宽容
academic	 adj. 学院的； 学术的； 纯理论的， 不切实际的
function	 vi. 运作， 运行 n. 功能；职务，职责
employer	 n. 雇佣者， 雇主
pit	 n. 地洞，坑；煤矿，矿井 vt. 使有坑
lap	 v. 舔； 拍打 n. 膝部；一圈，一段
mineral	 n. 矿物， 矿石， 矿物质
stock	 adj. 常用的， 常备的 n. 原料，库存品；股本，公债；世系，血统；汤汁；家畜，牲畜 vt. 储备
representative	 adj. 有代表性的， 典型的 n. 代表，代理人
suspend	 vt. 暂停， 终止； 吊， 悬
pigeon	 n. 鸽子
