textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本::a book that contains information about a subject that people study, especially at school or college		a biology textbook::一本生物教科书	n::教科书，课本::coursebook, schoolbook						
energy	'ɛnɚdʒi	'enədʒɪ	n::精力，力量::the physical and mental strength that makes you able to do things	energy consumption::[化]能量损耗¦energy saving::节能，能源节省¦energy conservation::能量守恒；能源节约¦solar energy::太阳能¦new energy::新能源¦high energy::高能量；高能率¦energy efficiency::能源效率；能量效率¦low energy::低能的；低能量¦save energy::节约能源¦renewable energy::再生能源；可更新能源¦electric energy::电能¦potential energy::势能¦energy dissipation::能量耗散¦energy source::安瑞索思（公司名称）¦clean energy::清洁能源¦energy storage::蓄能；能量储存；储能器¦kinetic energy::[物]动能¦heat energy::热能¦energy industry::能源产业，能源工业¦activation energy::[物化]活化能	Where do those kids get their energy from?::那些孩子哪来这么多精力？¦Are you suffering from a lack of energy?::你是不是觉得精力不足？¦The city is full of creative energy.::这座城市充满了创造力。¦I really put a lot of energy into what I do.::我做起事来总是投入很大精力。¦He wants to conserve his energy for next week’s game (= use as little energy as possible now, so that you have more energy to use later ).::他想为下周的比赛保存体力。	n::[物]能量；精力；[劳经]活力；精神::vitality, spirit, soul, mind, spring	adj::energetic::精力充沛的；积极的；有力的¦adj::enervate::衰弱的；无力的¦adv::energetically::积极地；精力充沛地¦vi::energize::活动；用力¦vt::energize::激励；使活跃；供给…能量¦vt::enervate::使衰弱；使失去活力¦vt::energise::供给…能量；使精力充沛（等于energize）		en+erg(活动， 能量)+y→精力； 能量			
position	pə'zɪʃən	pə'zɪʃ(ə)n	n::位置；地方::the place where someone or something is, especially in relation to other objects and places	leading position::基础地位；首要地位¦geographical position::地理位置¦in position::就位；在适当的位置；在原位¦pole position::起始领先位置；跑道内圈¦market position::市场地位；市场定位¦in a position to::能够，可以¦position control::位置控制¦strategic position::战略地位；策略位置¦relative position::相对位置¦body position::体位¦key position::关键部位，要害部位；位置关键帧¦high position::高位，指重要位置；领导地位（身份）¦financial position::财务状况¦current position::目前位置，当前位置；流动财务状况¦social position::社会地位¦in the position of::处在…位置上¦position error::位置误差¦special position::特殊位置；特殊版面；特殊版位¦original position::原初状态；初始位置¦invincible position::不败之地	Our hotel was in a superb central position near St Mark’s Square.::我们的酒店处于极佳的中心位置，在圣马克广场附近。¦the strategic position (= useful or important position ) of Egypt in relation to the Arabian peninsula::埃及相对于阿拉伯半岛的战略位置		adj::positional::位置的；地位的¦n::pose::姿势，姿态；装模作样¦n::positioning::[计] 定位；配置，布置¦n::posit::假设；设想¦n::poser::难题；装腔作势者；不易处理的事¦n::positioner::[机] 定位器¦v::pose::造成，形成；摆姿势；装模作样；提出…讨论¦v::positioning::[计] 定位（position的现在分词）；放置¦vi::pose::摆姿势；佯装；矫揉造作¦vt::posit::安置；假定		posit(放)+ion→放下的地方→位置			
burial	'bɛrɪəl	'berɪəl	n::埋葬；安葬::the act or ceremony of putting a dead body into a  grave	burial depth::埋深，埋藏深度¦burial ground::坟地；废物埋藏场	The priest prepared the body for burial.::牧师为尸体做好了下葬的准备。	n::埋葬；葬礼；弃绝::interment, entombment¦adj::埋葬的::funerary	adj::buried::埋葬的；埋藏的¦adj::burying::埋葬的¦n::burying::埋；埋葬¦v::buried::埋葬（bury的过去式和过去分词）¦v::burying::埋（bury的ing形式）；掩藏¦vt::bury::埋葬；隐藏		来自bury(vt. 埋葬， 掩埋)			
honor	ɑnɚ	ˈɒnə(r)	n::( honour) 尊重；表示敬意；荣幸::in order to show how much you admire and respect someone	great honor::无上的荣誉，殊荣¦in honor::为了纪念；向…表示敬意¦in honor of::向…致敬，向…表示敬意；为庆祝…¦have the honor::荣幸地；有幸地¦your honor::阁下；您（对他人的敬称）¦sense of honor::荣誉感¦medal of honor::荣誉勋章¦congressional medal of honor::国会荣誉勋章¦guest of honor::贵宾¦honor roll::中小学优等学生名单¦honor system::荣誉制度¦maid of honor::女傧相；宫女¦honor guard::仪仗队；仪队兵¦word of honor::诺言¦do honor::尊敬对人	The stadium was named in honor of the club’s first chairman.::该体育馆以俱乐部的第一任主席命名以示纪念。¦It is an honor to have you here, sir.::先生，大驾光临，深感荣幸。	n::荣誉；信用；头衔::glory, credit, title¦vt::尊敬（等于honour）；给…以荣誉::regard, esteem, worship	adj::honored::受尊敬的；已承兑或付款的¦adj::honorable::光荣的；可敬的；高贵的¦adj::honorary::荣誉的；名誉的；道义上的¦adj::honorific::尊敬的；敬称的¦adj::honourable::荣誉的；值得尊敬的；表示尊敬的；正直的¦adv::honorably::体面地；值得尊敬地¦adv::honourably::值得尊敬地；体面地¦n::honour::荣誉；尊敬；勋章¦n::honorary::名誉学位；获名誉学位者；名誉团体¦n::honorific::敬语¦v::honored::荣幸（honor的过去分词）¦vt::honour::尊敬；[金融] 承兑；承兑远期票据					
ancestor	'ænsɛstɚ	'ænsestə	n::祖宗；祖先::a member of your family who lived a long time ago	ancestor worship::祖先崇拜；祭祖；敬奉祖先	My ancestors were French.::我的祖先是法国人。	n::始祖，[生物]祖先；被继承人::father, root, grandfather	adj::ancestral::祖先的；祖传的¦n::ancestry::祖先；血统¦n::ancestress::女性祖先；女性被继承人		ance(看作ante， 先) ＋ st ＋ or(表人) → 祖先			
victory	'vɪktəri	'vɪkt(ə)rɪ	n::胜利；成功::a situation in which you win a battle, game, election, or dispute	victory over::战胜¦win victory::赢得胜利¦landslide victory::以绝对优势取得胜利¦narrow victory::险胜¦pyrrhic victory::付出极大代价而获得的胜利	Union leaders are heading for victory in their battle over workplace rights.::工会领袖们在争取工作场所权利的斗争中正迈向胜利。	n::胜利；成功；克服::success, prosperity, win, hit	adj::victorious::胜利的；凯旋的¦adv::victoriously::获胜地；凯旋归来地¦n::victor::胜利者		奥巴马选举胜利的演讲题目为This Victory Belongs to You 《胜利属于你们》			
enemy	'ɛnəmi	'enəmɪ	n::敌人；仇人::someone who hates you and wants to harm you	natural enemy::天敌¦behind enemy lines::深入敌后（影片名称）¦public enemy::公敌；要犯¦sworn enemy::n. 不共戴天的敌仇	She’s a dangerous enemy to have.::与她为敌很危险。¦Cats and dogs have always been natural enemies.::猫和狗向来是天敌。¦an old enemy of her father::她父亲的一个宿敌¦the unforgettable sight of the president shaking hands with his sworn enemy::董事长与其死敌握手的难忘情景¦I wouldn’t wish this on my worst enemy.::即使是我的死对头，我也不愿看到他发生这样的事情。	n::敌人，仇敌；敌军::foe, hostes¦adj::敌人的，敌方的::hostile						
period	'pɪrɪəd	'pɪərɪəd	n::一段时间；时期::a particular length of time with a beginning and an end	period of time::一段时间；时段¦long period::长期的；长周期¦short period::adj. 短周期的；短过期的¦transition period::过渡时期¦construction period::施工期¦time period::时期，期间¦development period::n. 发展期；发育期；开发期¦of the period::当时¦growth period::生长期；成长期；发育期¦spring and autumn period::春秋时代¦warring states period::战国时代¦corresponding period::同期¦in period::在周期内¦production period::生产周期；生产期¦storage period::保藏期，储存期；贮藏期；蓄水期¦initial period::初始期¦operation period::经营期限¦first period::比赛的第一节¦current period::[经]本期¦peak period::波峰周期；尖峰期	Tomorrow’s weather will be dry with sunny periods.::明天天气干燥，间或晴朗。¦The drug was tested over a five-week period.::那种药品进行了为期五周的试验。¦They adopted the system for a trial period (= time in which something is tested to see if it works well ) .::那套系统他们试用了一段时间。	n::周期，期间；时期；月经；课时::hour, circle, cycle, season, day	adj::periodical::[数] 周期的；定期的¦adj::periodic::周期的；定期的¦adv::periodically::定期地；周期性地；偶尔；间歇¦n::periodical::期刊；杂志¦n::periodicity::[数] 周期性；频率；定期性		peri(一圈) + od → 绕一圈所用的时间 → 周期			
mystery	ˈmɪstri	ˈmɪstri	n::奥秘；神秘事物::an event, situation etc that people do not understand or cannot explain because they do not know enough about it	murder mystery::谋杀之谜	Twenty years after the event, his death remains a mystery .::事情过去二十年了，他的死仍然是个谜。¦The way her mind worked was always a mystery to him.::她脑子里在想些什么对他来说始终是个谜。¦‘Why did he do it?’ ‘I don’t know. It’s a complete mystery .’::“他为什么这么做？” “我不知道，这完全是个谜。”¦The police never solved the mystery of Gray’s disappearance.::警察一直没有侦破格雷失踪的谜案。¦But why would anyone want to kill Jack? The mystery deepened .::但为什么会有人想杀死杰克呢？疑团越来越深了。¦What happened to the paintings after that is an unsolved mystery .::后来那些画的命运如何是个不解之谜。¦I don’t know how he got the job – it’s one of life’s little mysteries .::我不知道他是怎么得到那份工作的——那永远是个小小的谜。¦How life began on Earth is one of the great mysteries of science.::地球生命的起源是一大科学谜团。	n::神秘，秘密；奥秘；神秘的事物::secret, privacy, confidence	adj::mysterious::神秘的；不可思议的；难解的¦adj::mystic::神秘的；神秘主义的¦adj::mystical::神秘的；神秘主义的¦adv::mysteriously::神秘地；故弄玄虚地；难以理解地¦adv::mystically::神秘地¦n::mystic::神秘主义者¦n::mystique::奥秘，秘诀；神秘性¦n::mysticism::神秘；神秘主义；谬论¦n::mystification::神秘化；困惑不解；骗人的把戏¦vt::mystify::使神秘化；使迷惑，使困惑		my(我的)+stery(看作story， 故事)→我的故事很神秘→神秘			
Stonehenge	,ston'hɛndʒ	,stəʊn'hendʒ	::巨石阵::		It will completely change the way we think about the landscape around Stonehenge.::它将彻底改变我们对巨石阵周围风景的认识方法。¦For instance, you don't just see a long, flat picture of Stonehenge or the Grand Canal in Venice.::举例来讲，你不仅可以看到巨石阵或威尼斯大运河的一张长长的二维图片。¦You need to understand that Stonehenge is in Crop Circle Country, and that there have been significant Crop Circles in fields right opposite the Henge.::你必须知道巨石阵坐落在麦田圈泛滥的国家，而且那里一直有着具有重大意义的麦田圈，正好就在巨石阵的正对面。							
Carla	'kɑ:lə		::卡拉（女名）::		Thank you so much, Carla, and thanks for your leadership in this undertaking as well as so much else.::非常感谢，卡拉，谢谢你在这项事业和其他众多事务中发挥的领导作用。¦"The unauthorized use of the image of Carla Bruni caused her moral and economic damage," a court in the island capital Saint Denis de la Reunion said on Thursday.::在该岛首府圣丹尼斯日留尼汪的法院周四表示这代表了“未经授权使用卡拉布鲁尼的图片，在道德名誉和经济上对她造成的损失 ”。							
J. K. Rowling			::J. K. 罗琳（英国作家）::									
Victor	'vɪktɚ	'vɪktə	::维克托（男名）::	victor hugo::维克多雨果（法国小说家）		n::胜利者::winner, conqueror	adj::victorious::胜利的；凯旋的¦adv::victoriously::获胜地；凯旋归来地¦n::victory::胜利；成功；克服					
Jean		dʒiːn	::琼（女名）::	jean baudrillard::n. 让·鲍德里亚（法国哲学家）	Jean knew the only way to be content without her husband's love was to seek an expression of love from God.::琼知道，在没有丈夫的爱的情况下也能得到满足的唯一方式就是寻求上帝表达对她的爱。	n::牛仔裤；[纺]斜纹棉布::jea, Milton Keynes						
Paul Stoker			::保罗 • 斯托克::									
prefer	prɪ'fɝ	prɪ'fɜː	v::更喜欢::to like someone or something more than someone or something else, so that you would choose it if you could	would prefer::宁愿；更喜欢¦prefer to do::宁可做某事；更喜欢做某事¦prefer doing::喜欢做某事	This type of owl prefers a desert habitat.::这种猫头鹰更喜欢沙漠的生活环境。¦She prefers her coffee black.::她更喜欢喝黑咖啡。¦the government’s preferred option::政府倾向的选择¦Employees said they would prefer more flexible working hours.::员工们说他们希望有更具弹性的工作时间。¦Or, if you prefer, you can email us.::或者，你喜欢的话，可以给我们发电子邮件。	vt::更喜欢；宁愿；提出；提升::introduce, promote, present, upgrade, file¦vi::喜欢；愿意::affect, take a fancy to	adj::preferred::优先的；首选的¦adj::preferable::更好的，更可取的；更合意的¦adv::preferably::较好；宁可，宁愿；更适宜¦n::preferment::晋升；优先权；酶原¦v::preferred::偏爱（prefer的过去分词）					
lyrics	'lɪrɪks	'lɪrɪks	n::(pl) 歌词::The lyrics of a song are its words	lyric poetry::抒情诗	...Kurt Weill's Broadway opera with lyrics by Langston Hughes.::…由兰斯顿·休斯作词的库尔特·韦尔的百老汇歌剧。				ly (看作lying， 躺) + ric → 躺在星空下 → 抒情的			
Australian	ɑ'strelɪən		adj::澳大利亚的；澳大利亚人的::relating to Australia or its people¦n::澳大利亚人::someone from Australia	australian national university::澳大利亚国立大学¦australian dollar::澳币¦australian shepherd::n. 澳大利亚牧羊犬；澳洲牧羊犬¦australian football::澳式足球¦australian aborigine::澳大利亚原住民	She went solo backpacking for eight months in the Australian outback.::她在澳大利亚内陆独自背包旅行了八个月。¦Whoever they are, they will never know that they are a blood brother or sister to an Australian! ＃::不管他们是谁，他们绝不会知道自己是一个澳大利亚人的血亲兄弟或姐妹。							
electronic	ɪˌlɛkˈtrɑnɪk	ɪˌlekˈtrɒnɪk	adj::电子的；电子设备的::electronic equipment, such as computers and televisions, uses electricity that has passed through computer chips, transistors etc	electronic commerce::电子商务¦electronic equipment::电子设备¦electronic control::电子控制¦electronic product::电子产品；电子设备制造业¦electronic industry::电子工业¦electronic circuit::电子线路，电子电路¦electronic engineering::n. 电子工程学¦electronic device::电子设施，电子器件；电子仪表¦electronic component::电子元件¦electronic ballast::电子镇流器；电子安定器¦scanning electronic microscope::扫描电子显微镜¦electronic control system::电子控制系统¦electronic structure::电子结构¦electronic map::电子地图；电子海图¦electronic computer::电子计算机；电脑¦electronic media::电子媒体；电子媒介¦electronic warfare::使用电脑控制之武器的战争，电子战争¦electronic document::电子文件¦electronic mail::n. 电子邮件¦electronic music::电子音乐	electronic games::电子游戏¦an electronic organizer (= a small piece of electronic equipment that you can use to record addresses, phone numbers etc )::电子记事本		adv::electronically::电子地¦n::electronics::电子学；电子工业¦n::electron::电子		以上四词均来自electric(adj. 电的)			
suppose	sə'poz	sə'pəʊz	v::推断；料想::to think that something is probably true, based on what you know		There were many more deaths than was first supposed.::死亡人数远远超过最初的预料。¦There’s no reason to suppose (= it is unlikely that ) he’s lying.::没有理由认为他在说谎。	vt::假设；认为；让（虚拟语气）；推想::expect, have, count, say, guess¦vi::猜想；料想::believe, imagine	adj::supposed::假定的；被信以为真的；想象上的¦adj::supposable::可假定的；想像得到的¦adj::suppositional::想像的；推想的；假定的¦adj::suppositious::假定的；假设的¦adv::supposedly::可能；按照推测；恐怕¦n::supposition::假定；推测；想像；见解¦n::supposal::推测，假定；想象¦v::supposed::假定（suppose的过去分词）		sup ＋ pose(提出) → 提出猜想 → 猜想			
smooth	smʊð	smuːð	adj::平滑的；悦耳的::a smooth surface has no rough parts, lumps, or holes, especially in a way that is pleasant and attractive to touch	smooth muscle::平滑肌¦smooth surface::光滑表面；光滑面；平滑面¦smooth operation::正常运转；平稳运转，稳定运转¦smooth blasting::光面爆破；平稳爆破¦smooth running::平稳运行¦smooth transition::顺利过渡，平稳过渡¦smooth flow::平滑流；连续流；平滑怜；平稳流动¦smooth finish::光洁度；光面精整；光泽装饰¦smooth over::消除；缓和；减轻¦smooth out::消除；使平滑¦smooth sailing::一帆风顺¦smooth texture::纤维素；细腻组织，均匀组织¦smooth and steady::安稳的，平稳的¦smooth line::平滑线；均匀分布参数线路¦smooth away::消除；解决；克服¦smooth face::讨好的面孔；磨面¦piecewise smooth::分段光滑；分段光滑的¦smooth endoplasmic reticulum::光滑型内质网	Her skin felt smooth and cool.::她的皮肤摸上去又滑又凉。¦a smooth pebble::光滑的卵石¦The stone steps had been worn smooth .::石阶被磨得光溜溜的了。¦He has one of those silky smooth (= very smooth ) voices.::他的嗓音柔和圆润。	adj::顺利的；光滑的；平稳的::glabrous, favourable¦vt::使光滑；消除（障碍等）；使优雅；缓和::eliminate, avoid, relax¦adv::光滑地；平稳地；流畅地::quietly, glossily	adv::smoothly::平稳地，平滑地；流畅地，流利地¦n::smoother::[公路] 路面平整机；弄平的人；[机] 修光工具；滤波器¦n::smoothie::举止优雅的人；善于讨好女人的男子；一种果汁与牛奶的混合饮料¦n::smoothness::平滑；柔滑；平坦¦n::smoothy::举止优雅的人；善于讨好女人的男子¦vt::smoothen::使平滑，使平和；使平息					
spare	spɛr	speə	adj::空闲的；不用的::not being used or not needed at the present time	spare oneself::偷懒¦spare time::n. 消遣时间¦spare part::备件¦spare no effort::不遗余力；抽出；宽容；节省¦spare no pains::不遗余力，全力以赴¦in his spare time::在他闲暇的时候；在他业余时间里¦spare change::零钱¦spare tire::备用轮胎¦spare capacity::备用容量；闲置的生产能力¦spare cash::闲钱；余款¦spare money::余款¦spare wheel::备胎，备用轮胎¦hot spare::热后备；热备件¦spare no expense::不惜工本；不惜费用¦go spare::[英国口语]十分恼火；很担心¦spare parts list::备件单，备用零件清单¦spare tyre::备用轮胎；肥膘	Have you got any spare boxes?::你有没有多余的盒子？¦You could sleep in the spare bedroom.::你可以睡那间空着的客房。¦Do you have any spare cash?::你手头有闲钱吗？¦I’ll go and see if there are any spare seats.::我去看看是否还有空余的座位。¦A decline in beer sales had left the industry with spare capacity (= the ability to produce more than can be sold ) .::啤酒销售量的下降使该行业出现产能闲置。	vt::节约，吝惜；饶恕；分出，分让::economize on, save on¦vi::饶恕，宽恕；节约::excuse from, economize on¦adj::多余的；瘦的；少量的::thin, unnecessary, waste, redundant, superfluous¦n::剩余；备用零件::surplus, residual	adj::sparing::节约的；贫乏的；保守的¦adv::sparingly::节俭地；保守地；爱惜地¦adv::sparely::节俭地；瘦瘦地；缺乏地¦n::sparing::抽出；宽恕；免去；给予（spare的ing形式）¦n::spareness::缺乏；瘦弱；贫乏¦n::sparer::节省物质					
case	kes	keɪs	n::情况；实情::a situation that exists, especially as it affects a particular person or group	in case::conj. 万一；假使¦in the case of::至于，在…的情况下¦in case of::万一；如果发生；假设¦in this case::既然这样，假若这样¦case study::个案研究；案例研究¦in any case::无论如何¦in that case::既然那样¦case analysis::个案分析；格分析¦just in case::以防万一¦in some case::在某种情况下¦special case::特例，特殊情况¦in no case::决不¦particular case::特例；特定情况¦test case::[律]判例案件¦case history::n. 病历；个案史¦case in point::恰当的例子¦criminal case::[法]刑事案件，刑事案¦in each case::在不同情况下¦case report::个案报告；[医]病案报告¦use case::使用案例；使用实例	We tend to think of these people as untrustworthy, but that is not the case.::我们往往会认为这些人不可靠，但事实并非如此。	n::情况；实例；箱::situation, circumstance, instance, thing, condition¦vt::包围；把…装于容器中::invest, circumvent	adj::casal::关于格的；有格的¦n::casing::套；盒；（香肠的）肠衣；包装¦v::casing::把…装入箱内（case的ing形式）		国事、 家事、 天下事， 事事(case)关心(care)			
in that case			::既然那样；假使那样的话::if that is the situation		‘He didn’t want to talk to Sally.’ ‘In that case why did he agree to meet her?’::“他不想和萨莉说话。”“既然那样，为什么他还同意和她见面？”							
war	wɔr	wɔː	n::战争；战争状态::when there is fighting between two or more countries or between opposing groups within a country, involving large numbers of soldiers and weapons	world war::世界大战¦world war ii::第二次世界大战¦civil war::内战¦cold war::冷战¦second world war::第二次世界大战¦price war::价格战¦anti-japanese war::抗日战争¦war with::同…进行斗争/争斗；与…交战¦go to war::开战；当兵¦world war i::第一次世界大战¦opium war::n. [史]鸦片战争（1839-1842年中英间的战争）¦at war::在交战状态中¦first world war::第一次世界大战¦trade war::贸易战¦world war two::第二次世界大战¦revolutionary war::n. 美国之革命战争¦vietnam war::越南战争¦korean war::朝鲜战争¦gulf war::海湾战争¦total war::总体战，全面战争	the Vietnam War::越南战争¦He served as a pilot during the war.::他在战时担任飞行员。	n::[军]战争，斗争；军事，战术；冲突，对抗，竞争::interference, competition, sword, tactics, conflict¦vi::打仗，作战；对抗::compete, campaign, fight, battle	adj::warring::交战的；敌对的；冲突的¦adj::warlike::战争的；好战的；有战争危险的¦n::warship::战船，[军] 军舰¦n::warring::战争；战斗¦v::warring::进行战争（war的现在分词形式）					
director	dəˈrɛktɚ, daɪ-	dɪ'rektə; daɪ-	n::部门负责人；导演::someone who is in charge of a particular activity or organization	deputy director::副局长，副厅长；副院长¦managing director::n. 总经理，常务董事¦vice director::副处长；副主任；副院长；副会长¦executive director::执行理事；常务董事¦director general::局长，处长¦independent director::独立董事¦factory director::厂长；副厂长¦deputy director general::副局长；副处长；副司长¦assistant director::助理导演；副导演¦film director::导演；电影导演¦best director::最佳导演¦sales director::销售总监，营销总监¦marketing director::市场总监；营销主管¦department director::部长¦art director::（电影拍摄负责服装、灯光、布景等的）艺术导演¦standing director::常务理事；常务董事¦finance director::财务经理¦artistic director::艺术总监¦board of director::董事会¦company director::公司董事长	英文释义：the director of education::中文释义：教育局局长¦"Cut!" the director yelled. "That was perfect."::“停！”导演叫道。“太好了！”	n::主任，[管理]主管；[电影]导演；人事助理::co-director, boss-man	adj::direct::直接的；直系的；亲身的；恰好的¦adj::directory::指导的；咨询的¦adj::directive::指导的；管理的¦adj::directed::定向的；经指导的；被控制的¦adv::direct::直接地；正好；按直系关系¦n::direction::方向；指导；趋势；用法说明¦n::directory::[计] 目录；工商名录；姓名地址录¦n::directive::指示；指令¦n::directorship::管理者的职位¦v::directed::指导；管理（direct的过去式和过去分词）¦vi::direct::指导；指挥¦vt::direct::管理；指挥；导演；指向					
dialogue	ˈdaɪəˌlɔɡ	'daɪəlɒg	n::(dialog) 对话；对白::a conversation in a book, play, or film	dialogue box::对话框	a boring movie full of bad dialog::充满差劲对白的乏味电影¦Students were asked to read simple dialogues out loud.::学生被要求大声朗读简单的对话。	n::对话；意见交换::sesion, interlocution			dia(二者之间)+log(说)→对话			
documentary	'dɑkjə'mɛntri	dɒkjʊ'ment(ə)rɪ	n::纪录片::a film or television or a radio programme that gives detailed information about a particular subject	documentary film::纪录片；文献片¦documentary credit::押汇信用证¦documentary evidence::证明文件；书面证明¦documentary draft::跟单汇票；押汇汇票¦documentary letter of credit::跟单信用证；跟单信用状¦documentary proof::文件证明¦documentary collection::跟单托收	...a TV documentary on homelessness.::…一部关于无家可归现象的电视记录片。	adj::记录的；文件的；记实的::recorded	adj::documental::文件的，公文的¦n::document::文件，公文；[计] 文档；证件¦n::documentation::文件材料¦vt::document::用文件证明					
drama	'drɑmə	'drɑːmə	n::戏；剧::a play for the theatre, television, radio etc, usually a serious one, or plays in general	tv drama::电视剧¦modern drama::话剧¦drama club::戏剧学会¦dance drama::n. 舞蹈剧¦drama queen::戏剧女皇；喜欢小题大做的人¦drama school::n. 戏剧学校，戏剧专科学校¦song and dance drama::歌舞剧¦music drama::音乐戏剧	the great traditions of ancient Greek drama::古希腊戏剧的伟大传统¦a new drama series for Saturday nights::周六晚上播放的新连续剧¦a drama critic::戏剧评论员¦a courtroom drama::法庭剧¦a lavish costume drama::豪华古装剧¦He plays a Russian spy in the comedy drama ‘Sleepers’.::他在喜剧片《潜伏特工》中扮演一名俄罗斯间谍。	n::戏剧，戏剧艺术；剧本；戏剧性事件::stage, theater, scenario	adj::dramatic::戏剧的；引人注目的；激动人心的¦adj::dramaturgic::编剧法的，戏剧作法的；演出的¦adv::dramatically::戏剧地；引人注目地¦n::dramatization::编剧；改编成戏剧¦n::dramatics::演剧活动；演剧技术；业余演戏；戏剧性行为¦n::dramaturgy::演出法；戏剧作法¦vi::dramatize::戏剧化¦vi::dramatise::戏剧化；可改编成剧本（等于dramatize）¦vt::dramatize::使戏剧化；编写剧本；改编成戏剧¦vt::dramatise::把…戏剧化；生动地表达（等于dramatize）		“装吗” → 戏剧也来源于生活， 要真实不要太刻意假装 → 戏剧			
plenty	'plɛnti	'plentɪ	pron::大量；众多::a large quantity that is enough or more than enough	plenty of::大量；很多；许多¦plenty of time::大量时间¦in plenty::大量；充足	There’s plenty to do and see in New York.::在纽约有很多事可做，很多东西可看。	n::丰富，大量；充足::abundance, lots of, wealth, ocean, sea¦adj::足够的，很多的::sufficient, numerous, competent	adj::plentiful::丰富的；许多的；丰饶的¦adj::plenteous::丰富的；丰饶的¦adv::plentifully::丰富地，富裕地¦n::plenitude::充分；丰富；大量					
plenty of			::大量；充足::		You have plenty of time to read.::你有大量的时间读书。	::大量；很多；许多::lots of, wealth, ocean, sea, billion						
shut	ʃʌt	ʃʌt	v::(过去式 shut, 过去分词 shut) 关闭；关上::to close something, or to become closed	shut down::停工，关闭¦shut up::住口；关闭；妥藏起来¦shut off::切断；关掉¦shut the door::关门¦shut out::v. 排除；关在外面；遮住¦shut in::adj. 被关住的¦shut away::隔绝；把…藏起来；关起来¦cold shut::冷隔；冷界；冷疤¦shut the fuck up::闭上鸟嘴；他妈的给我闭嘴¦emergency shut down::紧急停机，紧急停堆；紧急停车	Shut the window, Ellen!::埃伦，把窗关上！¦I heard his bedroom door shut.::我听到他的卧室门关上了。¦She lay down on her bed and shut her eyes .::她在床上躺下，闭上眼睛。¦He shut the drawer and turned the key.::他关上抽屉，转动了钥匙。	vt::关闭；停业；幽禁::close down, close up¦n::关闭::closure, closing down¦adj::关闭的；围绕的::circumambient	n::shutter::快门；百叶窗；关闭物；遮板¦n::shutting::闭锁¦v::shutting::关闭（shut的ing形式）¦vt::shutter::为…装百叶窗；以百叶窗遮闭					
superhero	'supɚhɪro	'suːpəhɪərəʊ; 'sjuː-	n::超级英雄::a character in stories who uses special powers, such as great strength or the ability to fly, to help people		...superheroes like Batman and Superman.::...像蝙蝠侠和超人那样的超级英雄。							
horror	'hɔrɚ	'hɒrə	n::震惊；恐惧::a strong feeling of shock and fear	in horror::惊恐地¦horror film::恐怖片；惊险影片¦horror movie::恐怖片，惊恐片；恐怖电影¦horror fiction::恐怖小说¦horror story::恐怖故事	You should have seen the look of horror on his face.::你真该看看他脸上恐惧的表情。	n::惊骇；惨状；极端厌恶；令人恐怖的事物::fright, naupathia	adj::horrid::可怕的；恐怖的；极讨厌的¦adj::horrified::惊骇的；带有恐怖感的¦adj::horrifying::令人恐惧的；使人惊骇的¦adv::horrifyingly::令人恐惧地；叫人毛骨悚然地¦v::horrified::惊骇（horrify的过去式和过去分词）；使…战悚¦v::horrifying::令人恐惧；使人毛骨悚然（horrify的ing形式）¦vt::horrify::使恐惧；惊骇；使极度厌恶					
thriller	'θrɪlɚ	'θrɪlə	n::惊险电影（小说、戏剧）::a book or film that tells an exciting story about murder or crime		...a tense psychological thriller.::…一部紧张刺激的心理惊悚小说。	n::惊险小说；使人毛骨悚然的东西；使人毛骨悚然的小说::chiller	adj::thrilling::毛骨悚然的；令人兴奋的；颤动的¦n::thrill::激动；震颤；紧张¦vi::thrill::颤抖；感到兴奋；感到紧张¦vt::thrill::使…颤动；使…紧张；使…感到兴奋或激动					
intelligent	ɪn'tɛlɪdʒənt	ɪn'telɪdʒ(ə)nt	adj::有才智的；聪明的::an intelligent person has a high level of mental ability and is good at understanding ideas and thinking clearly	intelligent control::智能控制¦intelligent building::智能型大楼¦intelligent system::智能系统¦intelligent management::智能管理¦intelligent controller::智能控制器¦intelligent design::智能设计¦intelligent instrument::智能仪器¦intelligent robot::智能机器人；智慧型机器人¦intelligent agent::智能代理；职能代理软件；智能主体¦intelligent sensor::智能传感器¦intelligent machine::智能机器¦intelligent car::智能汽车；无人驾驶汽车¦intelligent terminal::智能终端；智能型终端设备¦intelligent use::[化]合理使用¦intelligent behavior::智力行为	a group of highly intelligent (= very intelligent )students::一组聪明异常的学生¦Sontag was once famously described as the most intelligent woman in America.::桑塔格曾被称为美国最聪明的女人，这是众人皆知的事。	adj::智能的；聪明的；理解力强的::wise, bright, clever, smart, understanding	adj::intellectual::智力的；聪明的；理智的¦adj::intelligible::可理解的；明了的；仅能用智力了解的¦adv::intelligently::聪明地，明智地¦adv::intelligibly::易理解地¦n::intellectual::知识分子；凭理智做事者¦n::intelligence::智力；情报工作；情报机关；理解力¦n::intellect::智力，理解力；知识分子；思维逻辑领悟力；智力高的人¦n::intellectualization::智能化；理智化		intel(在…之间) ＋ lig(选择) ＋ ent(…的) → 聪明的			
