adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着::a boat that is adrift is not fastened to anything or controlled by anyone		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。	adj::漂泊的；漂浮着的::vagrom, anchorless						
liver	'lɪvɚ	'lɪvə	n::肝脏；生活者，居民::a large organ in your body that produces bile and cleans your blood	liver cancer::肝癌¦liver transplantation::肝脏移植¦liver function::肝功能¦fatty liver::[医]脂肪肝¦liver cirrhosis::肝硬化；肝硬变；慢性间质性肝炎¦liver damage::肝损伤¦liver failure::肝功能衰竭¦liver cell::肝细胞¦liver oil::n. 肝油¦hot liver::热情的人；多情的人¦goose liver::鹅肝¦cod liver oil::鱼肝油¦cirrhosis of liver::肝硬变¦chicken liver::n. 鸡肝；胆小鬼¦liver function test::肝功能试验，肝机能检验；肝功能检查；肝功能测试¦pork liver::猪肝	Three weeks ago, it was discovered the cancer had spread to his liver.::三周前，发现癌已扩散到了他的肝脏。	n::肝脏；生活者，居民::resident, dweller	adj::live:: 活的；生动的；实况转播的；精力充沛的¦adj::lively:: 活泼的；生动的；真实的；生气勃勃的¦adj::living:: 活的；现存的；活跃的；逼真的¦adj::livery:: 有肝病症状的¦adj::livable:: 适于居住的；生活过得有价值的¦adj::liveable:: 适于居住的；可住的¦adj::liverish:: 肝病的；坏脾气的；似肝的；易怒的¦n::living:: 生活；生存；生计¦n::livelihood:: 生计，生活；营生¦n::livery:: 制服；侍从¦n::liveliness:: 活泼；热烈；鲜明¦n::liveness:: 活性，活跃度；现场感¦v::living:: 生活；居住（live的ing形式）；度过¦vi::live:: 活；居住；生存¦vi::liven:: 快活起来；活跃起来¦vt::live:: 经历；度过¦vt::liven:: 使高兴，使快活					
livestock	'laɪvstɑk	'laɪvstɒk	n::牲畜；家畜::animals such as cows and sheep that are kept on a farm	livestock breeding::畜牧业，畜牧饲养；家畜繁育¦livestock farming::畜牧业；养畜业¦livestock farm::畜牧场；禽畜饲养场；牧场	The heavy rains and flooding killed scores of livestock.::大雨和洪水淹死了许多家畜。	n::牲畜；[畜牧]家畜::cattle, dumb things						
lizard	'lɪzɚd	'lɪzəd	n::蜥蜴；类蜥蜴爬行动物::a type of reptile that has four legs and a long tail			n::[脊椎]蜥蜴；类蜥蜴爬行动物::cabrite						
loaded	'lodɪd	'ləʊdɪd	adj::负荷的；装填子弹的；装好胶卷的；喝醉了的（美国俚语）；阔绰的（美国俚语）::containing bullets, film etc¦v::装载（load的变形）::	fully loaded::满载¦spring loaded::受载弹簧；弹簧加压的¦loaded question::含沙射影韵问题	a loaded pistol::子弹上膛的手枪	adj::负荷的；装填子弹的；装好胶卷的；喝醉了的（美国俚语）；阔绰的（美国俚语）::fried, burdened¦v::装载（load的变形）::charge up	n::load:: 负载，负荷；工作量；装载量¦n::loading:: 装载；装货；装载的货¦n::loader:: 装货的人；载入程序；装货设备；装填器¦v::loading:: 装载，装填，担负（load的ing形式）； 装入¦vi::load:: [力] 加载；装载；装货¦vt::load:: 使担负；装填					
loaf	lof	ləʊf	n::条，一条面包；块；游荡::bread that is shaped and baked in one piece and can be cut into slices¦v::游荡；游手好闲；虚度光阴::to spend time somewhere and not do very much	loaf of bread::长面包，面包片¦meat loaf::肉糜卷；肉馅糕	a loaf of bread ::一条面包	n::条，一条面包；块；游荡::bar, piece, block, mass¦vt::游荡；游手好闲；虚度光阴::louse around, potter about¦vi::游荡；游手好闲；虚度光阴::louse around, potter about	n::loafer:: 游手好闲的人；拖鞋					
lobby	'lɑbi	'lɒbɪ	n::大厅；休息室；会客室；游说议员的团体::a wide passage or large hall just inside the entrance to a public building¦v::对……进行游说::to try to persuade the government or someone with political power that a law or situation should be changed	hotel lobby::饭店大堂；宾馆大厅¦lobby lounge::大堂酒廊；大堂酒吧¦lobby for::游说议员；为…游说¦elevator lobby::n. 电梯门厅，电梯前廊¦lift lobby::升降机大堂；升降机门廊	a hotel lobby::宾馆大堂¦I’ll meet you in the entrance lobby.::我们在入口大厅见。	n::大厅；休息室；会客室；游说议员的团体::sala, salle	n::lobbyist:: 说客；活动议案通过者¦n::lobbyism:: 院外活动；游说；疏通					
lobster	'lɑbstɚ	'lɒbstə	n::龙虾::a sea animal with eight legs, a shell, and two large claws	lobster sauce::豆豉	She sold me a couple of live lobsters.::她卖给了我几只活龙虾。	n::[无脊椎]龙虾::langouste	n::lobsterman:: 捕龙虾的渔夫					
locate	ˈloˌket; loˈket	lə(ʊ)'keɪt	v::位于；查找…的地点::to find the exact position of something	locate in::在某一点设置；在…定居；坐落于	We couldn’t locate the source of the radio signal.::我们无法确定无线电信号的来源。	vt::位于；查找…的地点::lie on, stand on¦vi::定位；定居::beach, make one's pitch	adj::located:: 处于，位于；坐落的¦adj::localized:: 局部的；地区的；小范围的¦adj::localised:: 限局性的，局部的¦adj::locative:: 表示位置的；位置格的¦n::location:: 位置（形容词locational）；地点；外景拍摄场地¦n::locality:: 所在；位置；地点¦n::localization:: [计] 定位；局限；地方化¦n::locator:: 定位器，探测器¦n::locating:: 定位；定位查找¦n::localisation:: 本土化；定位¦n::locative:: 位置格¦n::locater:: 定位器（等于locator）¦v::localized:: 定位（localize的过去分词）¦v::localised:: 使地方化；定位；局限（localise的过去分词）¦v::locating:: 找出；安置；确定…的位置（locate的ing形式）¦vt::localise:: 使地方化；定位；集中					
locker	'lɑkɚ	'lɒkə	n::柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜::a small cupboard with a lock in a school, sports building, office etc, where you can leave clothes or possessions while you do something	locker room::衣帽间	a meat locker::肉类冷藏间	n::柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜::box, case	adj::locked:: 上锁的；不灵活的；下定决心的¦adj::locking:: 伏窝孵卵的¦n::lock:: 锁；水闸；刹车¦n::locking:: [电子] 锁定；摇摆舞¦v::locked:: 锁上；紧闭；紧抱住（lock的过去分词）¦v::locking:: 上锁（lock的ing形式）¦vi::lock:: 锁；锁住；卡住¦vt::lock:: 锁，锁上；隐藏					
locomotive	,lokə'motɪv	ləʊkə'məʊtɪv	adj::火车头的；运动的；移动的::relating to movement¦n::机车；火车头::a railway engine	electric locomotive::电气机车¦diesel locomotive::柴油机车；内油机车¦steam locomotive::蒸汽机车¦locomotive engine::机车发动机；机车蒸汽机¦battery locomotive::蓄电池机车	an increase in locomotive power::运动力的增加	adj::[铁路]火车头的；运动的；移动的::moving, sport, athletic, kinetic¦n::机车；[铁路]火车头::engine, haulage motor	adj::loco:: 发疯的，发狂的¦adj::locomotor:: 移动的，运动的；运转的¦n::locomotion:: 运动；移动；旅行¦n::loco:: 火车头；疯子；疯草病¦n::locomotor:: 好旅行的人；有运动力之物；移动发动机¦vt::loco:: 使发疯；用疯草毒害¦vt::locomote:: 移动；行动					
lodge	lɑdʒ	lɒdʒ	n::旅馆；门房；集会处；山林小屋::a small house on the land of a large country house, usually at the main entrance gate¦v::提出；寄存；借住；嵌入::to make a formal or official complaint, protest etc	lodge a claim::提出索赔¦lodge a complaint::投诉；对…提出控告	the porter’s lodge::传达室	n::旅馆；门房；集会处；山林小屋::hotel, fonda¦vt::提出；寄存；借住；嵌入::introduce, present, prefer, file, advance¦vi::寄宿；临时住宿::board, guest	n::lodging:: 寄宿；寄宿处；出租的房间、住房¦n::lodgement:: 住宿；寄存；沉积（等于lodgment）¦n::lodger:: 房客；寄宿人；投宿者					
lofty	'lɔfti	'lɒftɪ	adj::高的；崇高的；高级的；高傲的::lofty mountains, buildings etc are very high and impressive¦n::(Lofty)人名；(英)洛夫蒂::		He stayed at the Four Seasons Hotel, from whose lofty heights he could see across New York.::他住在四季酒店，从酒店高处可以看到纽约的全景。	adj::高的；崇高的；高级的；高傲的::high, tall, senior, advanced, superior	adv::loftily:: 高尚地；傲慢地¦n::loft:: 阁楼；顶楼；鸽房¦n::loftiness:: 高；崇高；高傲¦vi::loft:: 将球高击¦vt::loft:: 把…储放在阁楼内					
log	lɔɡ	lɒg	v::伐木::to cut down trees¦n::记录；航行日志；原木::a thick piece of wood from a tree	log in::注册；请求联机¦log on::[计]登录；注册¦well log::测井曲线；钻井日志¦in the log::(木材)未经斧削的；处于原木状态的¦log file::日志文件¦like a log::象木头一样不动；无知觉的¦error log::错误日志¦event log::事件日志；事件记录¦log cabin::n. 小木屋¦log off::[计]注销；断线，退出系统¦log book::航海日志；记录簿；值班日记¦resistivity log::电阻率测井¦log out::注销；退出系统¦audit log::审计日志¦compensated neutron log::补偿中子测井¦ship's log::航海日志¦caliper log::钻孔直径记录图¦log entry::航海日志记录；值班日志记录¦porosity log::孔隙度测井¦yule log::n. 圣诞柴；圣诞节原木形大蛋糕	They log for a living.::他们以伐木为生。	vi::伐木::lumber¦vt::切；伐木；航行::incise¦n::记录；[水运][航]航行日志；园木::page, register	n::logging:: 记录；伐木工作¦n::logger:: （美）樵夫，伐木工；记录器¦v::logging:: 把…锯成段木；砍伐树木（log的ing形式）					
logic	'lɑdʒɪk	'lɒdʒɪk	n::逻辑；逻辑学；逻辑性::a way of thinking about something that seems correct and reasonable, or a set of sensible reasons for doing something¦adj::逻辑的::	fuzzy logic::模糊逻辑¦programmable logic::可编程序逻辑¦logic control::逻辑控制¦programmable logic controller::可编程序逻辑控制器¦control logic::控制逻辑¦logic system::逻辑系统¦logic circuit::逻辑电路¦fuzzy logic control::模糊逻辑控制¦digital logic::数字逻辑¦temporal logic::时序逻辑；时间逻辑¦logic design::[计]逻辑设计¦mathematical logic::数理逻辑¦formal logic::形式逻辑¦logic analyzer::逻辑分析仪；逻辑分析器¦logic operation::逻辑运算¦propositional logic::命题逻辑¦sequential logic::时序逻辑；顺序逻辑；循序逻辑¦predicate logic::谓词逻辑¦logic programming::逻辑编程¦modal logic::模态逻辑；情态逻辑	There isa certain logicin their choice of architect.::他们对建筑师的选择是有一定道理的。		adj::logistic:: 后勤学的；[数] 符号逻辑的¦adj::logical:: 合逻辑的，合理的；逻辑学的¦adv::logically:: 逻辑上；合乎逻辑¦n::logician:: 逻辑学家；论理学者¦n::logicality:: 逻辑性；合论理性；论法的正确¦n::logicism:: 逻辑主义；逻辑皱					
lonesome	'lonsəm	'ləʊns(ə)m	adj::寂寞的；人迹稀少的::a lonesome place is a long way from where people live and very few people go there¦n::自己::		a lonesome spot near the canyon::靠近峡谷的一个人烟稀少之地	adj::寂寞的；人迹稀少的::doleful¦n::自己::self	adj::lonely:: 寂寞的；偏僻的¦adj::lone:: 单身的；独自的；寂寞的；人迹稀少的¦n::lonely:: 孤独者¦n::loneliness:: 寂寞，孤独					
longevity	lɔn'dʒɛvəti	lɒn'dʒevɪtɪ	n::长寿，长命；寿命::the amount of time that someone or something lives	longevity hill::万寿山（北京密云）	The ancient Chinese claimed that garlic promoted longevity.::中国古人说蒜能延寿。	n::长寿，长命；[生物]寿命::age, macrobiosis						
longitude	'lɑndʒətud	'lɒn(d)ʒɪtjuːd; 'lɒŋgɪ-	n::[地理] 经度；经线::the distance east or west of a particular  meridian (= imaginary line along the Earth’s surface from the North Pole to the South Pole )  , measured in degrees	latitude and longitude::经纬度¦east longitude::东经¦west longitude::西经	The town lies at longitude 12˚ east.::这个镇位于东经12度。	n::[地理]经度；经线::lon, shute	adj::longitudinal:: 长度的，纵向的；经线的¦adv::longitudinally:: 长度上，经向；经度上					
loom	lum	luːm	n::织布机；若隐若现的景象::a frame or machine on which thread is woven into cloth¦v::可怕地出现；朦胧地出现；隐约可见::to appear as a large unclear shape, especially in a threatening way	rapier loom::剑杆织机；剑杆式投纬织机¦air-jet loom::喷气织机¦shuttle loom::梭织机；有梭织机¦loom large::显得突出；赫然耸现¦jacquard loom::提花机；提花织机¦water-jet loom::喷水织机¦shuttleless loom::n. 无梭织机	Vincent loomed over me, as pale and grey as a tombstone.::文森特赫然出现在我面前，脸色苍白阴沉得像块墓碑。	n::[纺]织布机；若隐若现的景象::weaving machine						
loop	lup	luːp	v::打环；翻筋斗::to fly a plane up and around in a circle so that the plane is  upside down  for a time¦n::环；圈；弯曲部分；翻筋斗::a shape like a curve or a circle made by a line curving back towards itself, or a piece of wire, string etc that has this shape	closed loop::闭环，闭合环路¦loop control::循环控制¦loop system::环形系统，环状管网；闭合系统¦open loop::开环¦control loop::控制回路，操纵系统¦closed loop system::[计]闭循环系统¦feedback loop::[计]反馈环路，反馈回路¦phase-locked loop::锁相回路¦current loop::[电]电流环路¦hysteresis loop::滞后回线，磁滞回线¦in the loop::在消息圈内；在决策圈内；在参与机密的智囊团内¦closed loop control system::闭环控制系统¦inner loop::内循环；内环路；局部回路¦double loop::双箕；双环路¦phase locked loop::锁相环路，锁相回路¦outer loop::外侧环路；外层循环¦infinite loop::无限循环¦loop filter::回路滤波器¦position loop::位置回路¦single loop::单回路的；单环路	He looped the rope over the wood.::他把绳子打了环系在木头上。	vi::打环；[航]翻筋斗::somersault¦n::环；圈；弯曲部分；[航]翻筋斗::annulus, anulus	adj::looped:: 成圈的；酩酊大醉的¦adj::looping:: 循环的；环状的¦adj::loopy:: 多圈的；呆头呆脑的¦n::looper:: 打环的人；打环装置；尺蠖（等于measuring worm）¦n::looping:: 循环；回路法；构成环形¦v::looped:: 成圈；打环（loop的过去式和过去分词）¦v::looping:: 打成环状；把导线连成回路；缠（loop的ing形式）					
loosen	'lusn	'luːs(ə)n	v::放松；松开::to make something less tight or less firmly fastened, or to become less tight or less firmly fastened¦n::(Loosen)人名；(德)洛森::	loosen up::放松肌肉；松弛；[口]信口开河；[口]慷慨解囊	You’ll need a spanner to loosen that bolt.::你需要扳手来拧开那个螺栓。¦The screws have loosened.::螺丝松了。¦Harry loosened his tie.::哈里松开了领带。	vt::放松；松开::relax, lighten up¦vi::放松；松开::relax, lighten up						
lord	lɔrd	lɔːd	n::主；上帝::a man in  medieval  Europe who was very powerful and owned a lot of land¦int::主，天啊::a man in  medieval  Europe who was very powerful and owned a lot of land¦v::使成贵族::	lord of hosts::耶和华；万军之主（等于上帝）¦law of the lord::n. 神律（乐曲名称）¦lord it over::对…作威作福，对…称王称霸；向…逞威风；对…摆架子¦lord and master::◎[戏谑语]夫主，夫君，一家之主¦lord of the harvest::◎农场主；收获的所有者¦lord chancellor::n. （英国上议院的）大法官¦lord mayor::n. （英国的）市长大人¦lord browne::布朗勋爵（曾担任英国石油公司首席执行官）¦dread lord::暗黑之主（游戏中任务名称）¦lord jim::吉姆老爷¦lord justice::上诉法院法官¦lord acton::艾克顿公爵（英国历史学家）¦lord and lady::贵族与小姐¦lord chief justice::n. 最高法院的首席法官	the feudal lords::封建领主	n::主；上帝::Creator, Providence¦int::主，天啊::gosh, jiminy¦vi::作威作福，称王称霸::come it over	adj::lordless:: 无丈夫的；无君主的¦adj::lordly:: 贵族气派的；高傲的¦adv::lordly:: 贵族般地；高傲地¦n::lordship:: 阁下；贵族身分（或权威）；统治¦n::lordliness:: 贵族气派，贵族式；高傲，威严					
loss	lɔs	lɒs	n::减少；亏损；失败；遗失::the fact of no longer having something, or of having less of it than you used to have, or the process by which this happens	weight loss::失重；重量减轻¦at a loss::亏本地；困惑不解¦water loss::失水量；水耗¦energy loss::能量损耗，能量损失¦heat loss::热损失，热损耗¦loss of life::被处死¦pressure loss::压力损失，压力损耗¦loss rate::[经]损失率¦power loss::[电]功率损耗¦profit and loss::盈亏帐目，损益¦hearing loss::听觉损耗；听觉损失¦gain and loss::[经]损益，得失¦dielectric loss::[化]介电损耗¦low loss::低损耗（的）¦insertion loss::插入损耗¦bone loss::骨质疏松；骨质流失¦blood loss::失血¦mass loss::质量损失¦loss of appetite::食欲不振¦total loss::全损；[经]总损失	The company is closing down two of its factories, leading to 430 job losses .::公司要关闭其中的两家工厂，这将造成430人失业。¦Weight loss should be gradual.::减肥应该循序渐进。¦a type of hearing loss that affects language development::一种会影响语言能力发展的听力丧失	n::减少；亏损；失败；遗失::reduction, failure, decrease, losing, reverse	adj::lossy:: 有损耗的¦adj::lossless:: 无损的¦n::loser:: 失败者；遗失者					
lottery	'lɑtəri	'lɒt(ə)rɪ	n::彩票；碰运气的事，难算计的事；抽彩给奖法::a game used to make money for a state or a  charity  in which people buy tickets with a series of numbers on them. If their number is picked by chance, they win money or a prize.	lottery ticket::彩票；奖券¦welfare lottery::福利彩票	a lottery ticket::彩票¦Do you really think winning the lottery would make you happy?::你真的认为彩票中奖会带给你幸福吗？	n::彩票；碰运气的事，难算计的事；抽彩给奖法::sweepstake, scratchcard						
lover	'lʌvɚ	'lʌvə	n::爱人，恋人；爱好者::someone’s lover is the person they are having a sexual relationship with but who they are not married to	dream lover::n. 梦中人	He killed his wife’s lover.::他杀了妻子的情人。¦Nicola and I were lovers.::我和尼古拉以前是情人。¦a pair of young lovers::一对年轻的情侣	n::爱人，恋人；爱好者::fan, hon	adj::lovely:: 可爱的；令人愉快的¦adj::loving:: 亲爱的；钟情的；忠诚的¦adj::lovable:: 可爱的，讨人喜欢的¦adj::loved:: 恋爱的；受珍爱的¦adj::loveless:: 不可爱的；无爱情的¦adj::loveable:: 可爱的；惹人爱的（等于lovable）¦adv::lovingly:: 亲切地；钟爱地¦n::love:: 恋爱；亲爱的；酷爱；喜爱的事物¦n::loveliness:: 可爱；漂亮；魅力；美好¦n::lovingness:: 钟情；爱；忠诚¦v::loved:: 热爱（love的过去分词）¦vi::love:: 爱¦vt::love:: 喜欢；热爱；爱慕					
loyal	'lɔɪəl	'lɒɪəl	adj::忠诚的，忠心的；忠贞的::always supporting your friends, principles, country etc¦n::效忠的臣民；忠实信徒::		a loyal supporter of the team::球队的忠实支持者¦her many years of loyal service to the company::她在公司多年的忠诚服务¦loyal customers::忠实客户	adj::忠诚的，忠心的；忠贞的::loving, devoted, faithful	adv::loyally:: 忠诚地；诚实地¦n::loyalty:: 忠诚；忠心；忠实¦n::loyalist:: 忠诚的人；反对独立者					
luck	lʌk	lʌk	n::运气；幸运；带来好运的东西::good things that happen to you by chance¦v::靠运气，走运；凑巧碰上::	good luck::好运；祝您（你）好运¦bad luck::运气不好，坏运气；噩运¦in luck::运气好¦wish you good luck::祝你好运¦for luck::为了图吉利；为了祈求好运¦good luck to you::祝你好运¦out of luck::运气不好¦with luck::如果一切顺利的话¦better luck next time::下次好运¦by luck::侥幸地¦try your luck::碰运气；试试运气¦a stroke of luck::一次好运，幸运的机缘¦pot luck::现成饭菜；家常便饭¦good luck in everything::万事如意¦have bad luck::倒霉¦hard luck::厄运；倒霉（等于tough luck）¦just my luck::偏偏就是这样倒霉¦tough luck::坏运气；真不走运¦lady luck::幸运；好机会¦beginner's luck::新手的好运气（体育比赛、游戏、赌博、渔猎等）；狗屎运	You’re not having much luck today, are you?::你今天运气不太好，是不是？¦He’s had good luck with his roses this year.::今年他种玫瑰的运气不错。¦It was an incredible piece of luck.::真是令人难以置信的好运气。	n::运气；幸运；带来好运的东西::fortune, chance, mercy¦vi::靠运气，走运；凑巧碰上::have one's day, strike it rich	adj::lucky:: 幸运的；侥幸的¦adj::luckless:: 不幸的，运气不好的¦adv::luckily:: 幸好，侥幸；幸运地¦n::luckiness:: 幸运					
lumber	'lʌmbɚ	'lʌmbə	v::伐木；喧闹地向前走；笨重地行动，缓慢地移动::to move in a slow awkward way¦n::木材；废物，无用的杂物；隆隆声::pieces of wood used for building, that have been cut to specific lengths and widths		A blue bus lumbered past.::一辆蓝色公共汽车慢吞吞地驶过。	vi::伐木；喧闹地向前走；笨重地行动，缓慢地移动::log¦n::[木]木材；废物，无用的杂物；隆隆声::wood, waste, timber, refuse, garbage	adj::lumbering:: 笨拙的；动作迟缓的¦n::lumberjack:: 伐木工人；木材商的佣工；短茄克衫¦n::lumbering:: 伐木业；木材业¦n::lumberman:: 伐木工人；木材商¦n::lumberyard:: 木材堆置场；贮木场¦v::lumbering:: 伐树；使陷入麻烦；笨重地移动（lumber的ing形式）					
lump	lʌmp	lʌmp	n::块，块状；肿块；瘤；很多；笨人::a small piece of something solid, without a particular shape¦v::混在一起；使成块状；忍耐；笨重地移动::to tolerate or put up with; endure (in the phrase lump it) ¦adj::成团的；总共的::¦adv::很；非常::	lump sum::总额；汇总¦lump coal::块煤¦lump ore::块矿¦in a lump::一次全部地¦lump sum payment::整笔付款；一次总算，一次总付¦lump sum price::混合价格；总括价格；整笔计价格	Strain the custard to remove lumps.::滤去牛奶蛋糊里的面块。	n::块，块状；[医]肿块；瘤；很多；笨人::piece, block, tumor, mass, node¦vt::混在一起；使成块状；忍耐；笨重地移动::tough, resist¦adj::成团的；总共的::gross, volumed¦adv::很；非常::greatly, quite, badly, extremely, too, highly, far	adj::lumpy:: 粗笨的；波浪起伏的；多块状物的¦adj::lumpish:: 笨重的，笨拙的；沉闷的¦n::lumper:: 码头工人；装卸工；小承包商					
lunar	'lunɚ	'luːnə	adj::月亮的，月球的；阴历的；银的；微亮的::relating to the Moon or to travel to the Moon¦n::(Lunar)人名；(西)卢纳尔::	lunar new year::农历新年¦lunar calendar::n. 阴历¦lunar month::太阴月；朔望月¦lunar rover::月球车（用于探测月球表面，等于 moon car）¦lunar year::太阴年；农历年¦lunar eclipse::[天]月蚀¦lunar probe::月球探测器¦lunar module::n. [天]登月舱¦lunar lander::登月飞行器¦lunar orbiter::月球探测器；[美航]绕月轨道飞行器（1966年和1967年曾绕月飞行并对月球拍摄照片）¦lunar satellite::[航空]月球卫星¦lunar cycle::月运周期；太阴周；默冬章	studies of the lunar surface::对月球表面的研究¦a lunar eclipse::月食	adj::月亮的，月球的；阴历的；银的；微亮的::silver, argentic	n::lunation:: 阴历月					
lunatic	'lʊnə'tɪk	'luːnətɪk	adj::疯狂的；精神错乱的；愚蠢的::If you describe someone's behaviour or ideas as lunatic, you think they are very foolish and possibly dangerous¦n::疯子；疯人::someone who behaves in a crazy or very stupid way – often used humorously	lunatic asylum::精神病院，疯人院	...the operation of the market taken to lunatic extremes.::…疯狂到极点的市场运作。	adj::疯狂的；精神错乱的；愚蠢的::crazy, possessed, mad, foolish, stupid¦n::疯子；疯人::nutcase, madman	n::lunacy:: 精神失常；愚蠢的行为					
luncheon	'lʌntʃən	'lʌn(t)ʃ(ə)n	n::午宴；正式的午餐会::lunch	luncheon meat::午餐肉	Earlier this month, a luncheon for former U.N. staff was held in Vienna.::本月早些时候在维也纳为前联合国工作人员举行了午宴。							
luster	'lʌstɚ	'lʌstə	n::[光] 光泽；光彩::¦vi::有光泽；发亮::¦vt::使有光泽::	metallic luster::金属光泽；金属闪光料¦pearly luster::珍珠光泽¦bright luster::镜面光泽	Then it’s really no more than a means of transportation, it too loses its luster.::然后它就仅仅是一个名符其实的交通工具，失去了它的光彩。¦College graduates may be losing some of their luster for reasons beyond technology and trade.::大学毕业生也许会因为技术和贸易之外的原因失去一些光彩。¦No one knows for sure when the tide started to turn, or the exact moment when American gold started its slow but seemingly irreversible loss of luster.::无人确切知晓这波潮汐的消退始于何时，也没有人精确的得知美金的光泽从何时起开始缓慢，但不可逆转的褪色。	n::[光]光泽；光彩::reflet, shine¦vi::[光]有光泽；发亮::lamp, brighten up	adj::lustrous:: 有光泽的；光辉的¦adj::lusterless:: 没有光泽的¦adj::lustreless:: 无光泽的；平淡乏味的¦n::lustre:: 光泽，光彩¦n::lusterware:: 表面有金属光泽的陶瓷器¦vi::lustre:: 有光泽，发亮¦vt::lustre:: 使有光泽					
lute	lut	luːt; ljuːt	n::琵琶::¦vi::弹诗琴::¦vt::弹诗琴表达；用封泥封::		But when they didn't open the gate he sat down, took his lute and played enchanting music on it with his two forefeet.::门没开，于是，小驴儿坐下来，拿出琵琶，用两只前脚弹奏动听的音乐。		n::luting:: 涂胶泥；用油灰接合；火泥密封¦n::lutist:: 弹琵琶者¦v::luting:: 用封泥封；弹诗琴（lute的ing形式）					
luxury	'lʌɡʒəri	'lʌkʃ(ə)rɪ	n::奢侈，奢华；奢侈品；享受::very great comfort and pleasure, such as you get from expensive food, beautiful houses, cars etc¦adj::奢侈的::A luxury item is something expensive which is not necessary but which gives you pleasure	luxury hotel::豪华饭店¦luxury goods::奢侈品¦luxury car::豪华车¦luxury tax::n. 奢侈品税	He was leading a life of luxury in Australia.::他在澳大利亚过着豪华舒适的生活。¦The dress is lambswool – pure luxury.::礼服是用羔羊毛制作的——绝对奢华。¦He could not afford luxury food on his pay.::凭他的薪水，他吃不起奢侈的食品。	n::奢侈，奢华；奢侈品；享受::enjoyment, luxe¦adj::奢侈的::extravagant, Lucullian	adj::luxurious:: 奢侈的；丰富的；放纵的；特级的¦adj::luxuriant:: 繁茂的；丰富的；奢华的；肥沃的¦adv::luxuriously:: 豪华地；奢侈地¦n::luxe:: （法）奢侈¦n::luxuriousness:: 豪华¦vi::luxuriate:: 沉溺；繁茂；生活奢侈					
machinery	mə'ʃinəri	mə'ʃiːn(ə)rɪ	n::机械；机器；机构；机械装置::You can use machinery to refer to machines in general, or machines that are used in a factory or on a farm	machinery and equipment::机器及设备¦construction machinery::建筑机械；施工机械¦agricultural machinery::农业机械¦textile machinery::纺织机械¦machinery parts::机件，零件¦processing machinery::加工机械¦machinery plant::机器制造厂¦machinery equipment::机器设备¦electrical machinery::电力机械¦precision machinery::精密机械；精密机械学¦mining machinery::矿山机械；采矿机械¦heavy machinery::重型机械¦woodworking machinery::木工机械¦industrial machinery::工业机械¦electric machinery::电机机械，电机¦plastics machinery::塑料机械¦hydraulic machinery::水力机械¦chemical machinery::化工机械¦farm machinery::农业机械¦rotating machinery::旋转机械；旋转电机	...quality tools and machinery.::…优质工具和机械。	n::机械；[机]机器；机构；机械装置::organization, mechanism, house	adj::machinelike:: 机器般的¦n::machine:: 机械，机器；机构；机械般工作的人¦n::machinist:: 机械工；机械师；机械安装修理工¦vt::machine:: 用机器制造					
mackintosh		'mækɪntɒʃ	n::橡皮布防水衣；橡皮布::a coat which you wear to keep out the rain									
magical	'mædʒɪkl	'mædʒɪk(ə)l	adj::魔术的；有魔力的::relating to magic or able to do magic		magical powers::魔力	adj::魔术的；有魔力的::demonic	adj::magic:: 不可思议的；有魔力的；魔术的¦adv::magically:: 用魔法地；如魔法般地¦n::magic:: 巫术；魔法；戏法¦n::magician:: 魔术师，变戏法的人					
magnesium	mæg'nizɪrm	mæg'niːzɪəm	n::[化学] 镁::Magnesium is a light, silvery white metal which burns with a bright white flame	magnesium alloy::镁合金¦magnesium hydroxide::[化]氢氧化镁¦magnesium oxide::[化]氧化镁¦magnesium sulfate::[化]硫酸镁¦magnesium stearate::硬脂酸镁¦magnesium chloride::氯化镁¦magnesium carbonate::碳酸镁¦magnesium salt::镁盐¦magnesium phosphate::磷酸镁¦magnesium silicate::硅酸镁¦magnesium powder::镁细粉，镁粉¦magnesium acetate::醋酸镁¦magnesium sulphate::硫酸镁¦light magnesium carbonate::碱式碳酸镁¦magnesium fluoride::[化]氟化镁¦magnesium anode::[电工]镁阳极¦magnesium ingot::镁锭¦magnesium nitrate::硝酸镁	This could be magnesium.::这也可能是镁。¦But, we know for example that magnesium, when it reacts, it reacts with both of its electrons, not just one of its electrons.::但是我们知道，拿镁来说，当它发生反应的时候，并不只是，某一个电子反应，而是两个价电子都发生反应。¦So, if we want to get more magnesium into the marketplace at an affordable price, not by government edict, what do we have to do?::所以如果我们想把更多的镁,投诸市场，并让它保持在一个不太昂贵的价格，而且不靠政府法令，我们应该怎样做？							
