ability	ə'bɪləti	ə'bɪlɪtɪ	n::能力，能耐；才能::the state of being able to do something	innovation ability::创新能力¦ability for::在…的能力¦learning ability::学习能力¦practical ability::实践能力；实际能力¦technical ability::技术能力¦reading ability::阅读能力¦management ability::管理能力¦writing ability::写作能力；书写能力¦working ability::工作能力，加工能力¦physical ability::体能，体质能力；身体能力¦cognitive ability::认知能力¦service ability::工作能力¦ability to pay::支付能力¦combining ability::配合力¦develop ability::发挥才能¦executive ability::执行力；行政能力¦natural ability::本能¦administrative ability::行政能力；经营才能¦unique ability::独有能力¦adaptive ability::自适应能力	The test measures your mathematical ability.::这种测试考查的是数学能力。	n::能力，能耐；才能::capacity, competence, talent, quality, power			 来自able(adj. 能够…的)			
probably	'prɑbəbli	'prɒbəbli	adv:: 大概， 或许， 很可能::If you say that something is probably the case, you think that it is likely to be the case, although you are not sure		The White House probably won't make this plan public until July.::白宫可能要到7月份才会公布这项计划。¦Van Gogh is probably the best-known painter in the world.::梵高可能是世界上最知名的画家。	adv::大概；或许；很可能::possibly, maybe, presumably	adj::probable:: 很可能的；可信的¦n::probability:: 可能性；机率；[数] 或然率¦n::probable:: 很可能的事；大有希望的候选者					
entertainment	ˌɛntɚ'tenmənt	ˌentə'teɪnmənt	n:: 娱乐； 表演会； 招待， 款待::when you entertain someone at home, or for business	entertainment industry::娱乐业¦entertainment center::娱乐中心¦blizzard entertainment::暴雪娱乐公司¦entertainment weekly::娱乐周刊；娱乐周报；每周娱乐¦sports entertainment::运动休闲；文娱体育休闲¦entertainment information::娱乐信息；娱乐资讯¦business entertainment::n. 业务招待费¦entertainment design::娱乐设计	the entertainment of friends::招待朋友	n::娱乐；消遣；款待::recreation, pleasure, sport, occupation, amusement	adj::entertaining:: 令人愉快的¦v::entertaining:: 款待（entertain的ing形式）¦vi::entertain:: 款待¦vt::entertain:: 娱乐；招待；怀抱；容纳					
battery	'bæt(ə)rɪ	'bætri	n:: 电池， 蓄电池； 排炮， 炮组； 一系列， 一套::an object that provides a supply of electricity for something such as a radio, car, or toy	battery of::一组；一套¦storage battery::蓄电池；蓄电池组¦lithium battery::锂电池；锂蓄电池¦battery charger::电池充电器¦in battery::(炮)准备发射的状态¦lithium ion battery::锂离子电池¦lead-acid battery::铅酸蓄电池¦battery pack::电池组¦rechargeable battery::可充电电池¦solar battery::太阳能电池¦battery charging::电池充电；蓄电池室充电¦car battery::汽车电池；车用蓄电池¦battery capacity::电池容量；蓄电池容量¦battery voltage::电池组电压¦secondary battery::二次电池；蓄电池¦lead acid battery::铅酸蓄电池；铅酸电池；密封蓄电池¦battery charge::电池充电器；蓄电池充电¦dry battery::干电池¦alkaline battery::碱性电池¦battery separator::电池隔板；蓄电池隔板	You have to take the top off to change the batteries .::你得把顶盖拿掉才能更换电池。¦When the red light comes on, you should recharge the battery .::红灯亮起的时候你就应该给电池充电了。¦The car’s got a flat battery .::汽车的蓄电池没电了。¦a battery-operated hairdryer::使用电池的吹风机	n::[电]电池，蓄电池::electric cell, electric element						
prize	praɪz	praɪz	adj::第一流的，了不起的::¦v:: 珍视，::to think that someone or something is very important or valuable¦n::奖赏，奖金，奖品；值得追求的东西::something that is given to someone who is successful in a competition, race, game of chance etc	nobel prize::诺贝尔奖¦first prize::一等奖¦nobel peace prize::诺贝尔和平奖¦prize winner::得奖者¦pulitzer prize::普利策奖¦prize money::（旧时出售捕获船货物后分给立功官兵的）捕获物奖金¦grand prize::特奖¦cash prize::n. 现金奖励（赏）¦consolation prize::安慰奖¦win first prize::赢得头奖；获一等奖；得第一名¦booker prize::布克文学奖¦booby prize::末名奖品	He has spent months cultivating what he hopes are prize flowers.::他花了几个月培育他认为有望获奖的花卉品种。	n::[劳经]奖品；奖赏；战利品::award, capture¦vt::珍视；捕获；估价::assess, acquire, evaluate, value, rate	adj::prizewinning:: 有得奖可能的；已获奖的					
two	tu	tuː	num::二，两个::the number 2¦n:: 两个::in groups of two people or things	in two::分为两部分¦one or two::几个；一、二个；很少的¦two or three::两三个，几个¦two sides::两面；两边¦two dimensional::adj. 二维的，平面的；二元的¦two phase::两相的；二相；二相的；双相的¦two times::两次¦two more::[体]剩余二次击球（使对方多两次击球机会）¦two stage::双级的，两阶段的¦two weeks ago::两周前¦two thirds::三分之二¦world war two::第二次世界大战¦number two::adj. 第二位的；二流的¦two pairs::双对子¦two dimension::二维¦about two hours::大约两小时¦two way::双向的¦two level::两层的¦two point::二接点，双接点¦by twos::每两人（一组）；两个地	I’ll be away for almost two weeks.::我要离开差不多两周时间。¦We have to be there by two (= two o’clock ) .::我们得在两点之前到那里。¦His family moved to Australia when he was two (= two years old ) .::他两岁时，全家搬到了澳大利亚。	n::两个::TWA¦adj::两个的::both	n::twosome:: 两人一组，两个一组；两人玩的游戏，两人游戏¦n::twoness:: 二重性					
chase		tʃeɪs	v:: 追捕； 追求； 寻求::to quickly follow someone or something in order to catch them	chase after::追逐；追赶¦cut to the chase::开门见山；提到关键问题；转入（或切入）正题¦jpmorgan chase::摩根大通公司¦chase the dragon::吸食海洛因，服用毒品¦chase down::找出¦chase off::五同花；赶走¦chase away::赶走；驱逐¦car chase::飞车追逐；汽车追赶¦in chase of::adj. 追求（追赶）¦wild goose chase::徒劳的搜索；劳而无功的事¦chase up::追上¦chase bank::大通银行¦jpmorgan chase bank::美国摩根大通银行	The dogs saw him running and chased him.::那些狗看到他在跑就追他。¦kids chasing around the house::在屋里追逐嬉戏的孩子们	vt::追逐；追捕；试图赢得；雕镂::go after, track down¦vi::追逐；追赶；奔跑::pursue, go after¦n::追逐；追赶；追击::pursuit, hunting	n::chaser:: 驱逐舰；猎人；饮烈酒后喝的饮料；[机] 螺纹梳刀					
accident	'æksədənt	'æksɪdənt	n:: 意外遭遇， 事故::a situation in which someone is injured or something is damaged without anyone intending them to be	traffic accident::交通事故¦by accident::偶然；意外地¦car accident::车祸；交通事故¦accident insurance::意外保险；事故保险¦accident prevention::事故预防；安全措施¦fire accident::火灾事故；失火¦accident rate::意外伤害率¦road accident::交通事故¦fatal accident::死亡事故¦nuclear accident::核事故¦industrial accident::工伤事故；工业事故；劳动事故¦have an accident::vi. 出事故¦cerebrovascular accident::[医]脑血管意外（等于中风）；脑血管伤害¦personal accident insurance::个人人身意外伤害保险¦collision accident::碰撞事故；空中相撞事故¦vehicle accident::交通事故¦aviation accident::航空事故；飞机失事；飞行事故¦transportation accident::交通事故¦minor accident::轻微事故；小事故¦unexpected accident::不能预料的事故	Ken had an accident at work and had to go to hospital.::肯在工作中出了事故，不得不去医院。¦I’m sorry about breaking the vase – it was an accident (=  I did not intend to do it  ) .::对不起，我把花瓶打碎了——这是个意外。¦She was injured in a freak accident (=  an unusual accident  ) when a wall suddenly collapsed.::她在一场墙壁突然倒塌的诡异事故中受了伤。¦I had a slight accident with your coffee.::出了个小小的意外，我把你的咖啡弄洒了。¦They lost their lives in a tragic accident .::他们在一次悲惨的事故中丧生。	n::[安全]事故；意外；[法]意外事件；机遇::occurring, slip	adj::accidental:: 意外的；偶然的；附属的；临时记号的¦adv::accidentally:: 意外地；偶然地¦n::accidental:: 次要方面；非主要的特性；临时记号					
anyway	'ɛnɪ'we	'eniweɪ	adv:: 不管怎么说， 无论如何； 不论以何种方式， 无论从什么角度::in spite of the fact that you have just mentioned		Catherine wasn’t sure the book was the right one, but she bought it anyway.::凯瑟琳不能确定就是这本书，但她还是买了。¦This idea probably won’t work, but let’s try it anyway.::这个办法可能行不通，不过我们还是试试吧。	adv::无论如何，不管怎样；总之::however, anyhow	adv::anyhow:: 总之；无论如何；不管怎样¦adv::anywhere:: 在任何地方；无论何处¦n::anywhere:: 任何地方					
pop	pɑp	pɒp	v::突然[出人意料]地从〔某物〕中出来，蹦出，离开，脱落::to come suddenly or unexpectedly out of or away from something¦n::流行音乐，流行歌曲::modern music that is popular, especially with young people, and usually consists of simple tunes with a strong beat	pop music::流行音乐¦in pop::[俚语]被抵押着，在当铺里¦pop star::歌星；流行歌手¦pop up::v. 突然出现¦pop culture::流行文化；通俗文化；波普文化¦pop singer::流行歌手¦pop out::弹出；瞪出¦pop song::流行歌曲；流行曲¦pop quiz::[美俚]突击测验，突击考试¦pop art::流行艺术，波普艺术，通俗艺术¦pop the question::求婚¦pop in::偶尔来访；突然出现¦listening to pop music::听流行音乐¦pop idol::流行偶像¦soda pop::汽水¦pop down::压栈¦pop concert::流行音乐会；通俗音乐会¦pop off::n. 溢放口	The lid popped open and juice spilled all over the floor.::盖子噗的一声弹开，果汁溅了一地。	n::流行音乐；汽水；砰然声；枪击::world music, fizzwater¦vi::突然出现；爆开；射击；瞪大；发出爆裂声::crop up, break out in¦vt::取出；开枪打；抛出；突然伸出；突然行动::extract, take of¦adj::流行的；通俗的；热门的::popular, fashionable, going, ruling, epidemic¦adv::突然；砰地::short, amain	adj::popular:: 流行的，通俗的；受欢迎的；大众的；普及的¦adj::popping:: 间歇的；凸出的¦adj::popeyed:: 瞪大眼睛的；（美）（因惊讶而）眼睛突出的¦adv::popularly:: 流行地；通俗地；普及地；大众地¦n::popularity:: 普及，流行；名气；受大众欢迎¦n::popping:: 爆音；突然跳出；爆孔；机器舞¦n::popper:: 服药成瘾者；发出啪声的人或物；爆竹；炮手；爆玉米花机¦n::popularization:: 通俗化，大众化；普及¦n::popularisation:: 普及，普通化（等于popularization）¦n::popularizer:: 大众化的人；普及读物；普及者；使普及的人¦v::popping:: 出现；爆开；敲击；抛出（pop的ing形式）¦vi::popularize:: 通俗化¦vi::popularise:: 推广，普及；使…通俗化（等于popularize）；使…受欢迎¦vt::popularize:: 普及；使通俗化					
found	faʊnd	faund	v:: 创立， 创办， 创建::to start something such as an organization, company, school, or city, often by providing the necessary money	found out::找出¦found on::基于¦lost and found::失物招领¦file not found::文件未找到¦be found guilty::被认定有罪¦found upon::把...建立在...之上¦then he found::然后他发现	Founded in 1935 in Ohio, Alcoholics Anonymous is now a world-wide organization.::嗜酒者互诫协会1935年创立于俄亥俄州，现在是一个世界性的组织。¦Eton College was founded by Henry VI in 1440.::伊顿公学于1440年由亨利六世创办。	vt::创立，建立；创办::establish, build, construct, institute, father	n::foundation:: 基础；地基；基金会；根据；创立¦n::find:: 发现¦n::founder:: 创始人；建立者；翻沙工¦n::finding:: 发现；裁决；发现物¦n::foundress:: 女创立者；女奠基者¦v::finding:: 找到；感到（find的ing形式）；遇到¦vi::find:: 裁决¦vi::founder:: 失败；沉没；倒塌；变跛¦vt::find:: 发现；认为；感到；获得¦vt::founder:: 破坏；使摔倒；垮掉					
excuse	ɪkˈskjus; ɪkˈskjuz	ɪk'skjuːz	v:: 原谅， 宽恕； 使免除； 为…辩解， 作为开脱…的理由::to forgive someone for doing something that is not seriously wrong, such as being rude or careless	excuse oneself::v. 为自己辩解；请求免除；请求准予离开¦excuse for::借口；原谅¦make one's excuses::(对不能出席社交聚会等)表示抱歉(或遗憾)¦in excuse of::为……辩解¦find an excuse::借故¦without excuse::adj. 无故¦reasonable excuse::合理解释，合理的辩解¦excuse myself::原谅自己；替自己辩解	I’ll excuse you this time, but don’t be late again.::这次我原谅你，但别再迟到了。¦Please excuse my bad handwriting.::请原谅，我的字写得不好。	n::借口；理由::reason, sake, account, blind, occasion¦vt::原谅；为…申辩；给…免去::forgive, pardon for¦vi::作为借口；请求宽恕；表示宽恕::beg for mercy	adj::excusable:: 可原谅的；可辩解的；可免除的¦adj::excusatory:: 表示歉意的；申辩的¦adv::excusably:: 可辩解地；可原谅地					
shout	ʃaʊt	ʃaut	v::呼喊，呼叫::to say something very loudly¦n:: 呼喊， 喊叫声::a loud call expressing anger, pain, excitement etc	shout at::对…大喊；叱喝¦shout out::突然呼喊，大叫	There’s no need to shout! I can hear you!::用不着大声喊叫！我听得见！¦‘Watch out!’she shouted, as the car started to move.::“小心！”汽车开动时，她大声喊道。	vi::呼喊；喊叫；大声说::yell out, exclaim¦vt::呼喊；大声说::cry, yell out¦n::呼喊；呼叫::cry, call	n::shouting:: 大喊大叫¦n::shouter:: 高呼者；喊叫者¦vi::shouting:: 大喊大叫（shout的现在分词）					
kitchen	'kɪtʃɪn	'kɪtʃɪn	n:: 厨房； 炊具::the room where you prepare and cook food	kitchen table::餐桌；案桌；厨房台¦kitchen knife::菜刀，厨刀；厨房刀¦kitchen cabinet::n. 政府首脑的参谋团；厨房的餐具柜¦kitchen sink::激进现实主义；厨房洗涤池；厨房洗涤盆¦kitchen ware::厨房用具¦kitchen furniture::厨房家具¦kitchen towel::厨房用纸；洗碗布¦kitchen utensil::炊具；厨房用具¦kitchen appliance::厨房电器，厨房用具¦kitchen garden::果菜园；马齿苋¦kitchen stove::厨灶；煤气灶¦soup kitchen::流动厨房；施粥场¦kitchen scale::厨房秤；电子厨房秤¦kitchen range::厨房炉灶¦kitchen fittings::厨房设备	Sam went into the kitchen to make a pot of tea.::萨姆走进厨房去沏一壶茶。¦She is in the kitchen making a meal.::她在厨房里做饭。	n::[建]厨房；炊具；炊事人员::cookroom	n::kitchenette:: 小厨房¦n::kitchenware:: 厨房用具¦n::kitchener:: 厨师					
escape	ɪˈskep	ɪ'skeɪp	v::逃脱，逃走；避免，躲避::to leave a place when someone is trying to catch you or stop you, or when there is a dangerous situation¦n:: 逃脱， 逃跑； 逃避::the act of getting away from a place, or a dangerous or bad situation	escape from::vt. 逃脱¦escape route::迂回进路；脱险通道；疏散路线¦fire escape::太平梯，太平门；安全出口¦escape velocity::n. 逃逸速度¦narrow escape::九死一生，幸免于难；千钧一发¦means of escape::逃生途径，逃生出路；逃生设施；安全疏散路线¦escape key::换码键；逸出键；退出键¦escape from freedom::逃离自由¦escape artist::善于越狱的罪犯；有脱身术的人¦escape character::转义字符；[计]换码符¦escape behavior::逃避行为；避难行为¦escape valve::安全阀；放汽阀¦escape hatch::安全舱口¦air escape::漏气；放气	He broke down the locked door and escaped.::他砸开上锁的门，逃走了。	vt::逃避，避免；被忘掉::get out of, shun¦vi::逃脱；避开；溜走::get away, keep clear of¦n::逃跑；逃亡::hijra, desertion	adj::escaped:: 逃走的；逸出的¦adj::escapist:: 逃避现实的¦n::escapement:: 擒纵机构棘轮装置；脱逃；逃亡的出口；卡子¦n::escapism:: 逃避现实，空想；逃避主义¦n::escapist:: 逃避现实者¦v::escaped:: 逃离，逃脱（escape的过去式，过去分词）；避开；泄出					
funny	'fʌni	'fʌni	adj:: 有趣的， 可笑的::making you laugh	feel funny::[口语]¦funny story::幽默故事¦funny bone::肘的尺骨端；幽默感¦funny picture::有趣的图片¦funny business::n. 不道德的行为；不规矩的事	the funniest man in Britain::英国最滑稽的男人¦If this is your idea of a joke, I don’t find it at all funny .::如果你觉得这是个玩笑，那我认为它一点也不好笑。¦Luckily, when I explained the situation, he saw the funny side (= recognized that it was partly funny ) .::好在我把情况解释了以后，他看到了好笑的一面。¦His laughter stopped her mid-sentence. ‘ What’s so funny? ’ she demanded.::他的笑声打断了她的话。“有什么好笑的？”她厉声问道。¦(= don’t laugh ) , Paul; poor Teresa was nearly in tears.::没什么好笑的，保罗，可怜的特雷莎都快哭了。	adj::有趣的；滑稽的；奇异的::colorful, fantastic¦n::滑稽人物::comedian	adj::fun:: 供娱乐用的¦adv::funnily:: 有趣地，滑稽地；古怪的¦n::fun:: 乐趣；玩笑；有趣的人或事¦vi::fun:: 开玩笑					
situation	ˌsɪtʃʊˈeʃən	ˌsɪtʃu'eɪʃn	n:: 形势， 局面， 处境； 环境， 状况； 位置， 地点， 场所； 职位， 职务::a combination of all the things that are happening and all the conditions that exist at a particular time in a particular place	current situation::现状，目前形势；现况¦present situation::现状¦actual situation::实际情况¦general situation::概况，一般状况¦overall situation::大局；总体形势¦economic situation::经济形势，经济状况¦market situation::市场情况；市场行情¦practical situation::实际情况¦win-win situation::双赢局面¦international situation::国际形势¦financial situation::财务状况¦political situation::政治局势¦epidemic situation::疫情¦situation analysis::n. 形势分析；情况分析¦special situation::特殊情况¦domestic situation::国内形势¦bad situation::糟糕的局面，处于劣势¦social situation::社会情境¦recent situation::近况¦competitive situation::竞争态势；竞争环境；竞争性的局面	I explained the situation to everyone.::我向大家介绍了一下情况。	n::情况；形势；处境；位置::circumstance, case, location, thing, aspect	n::site:: 地点；位置；场所¦vt::site:: 设置；为…选址					
latest	'letɪst	'leɪtɪst	adj:: 最近的::the most recent or the newest	latest technology::最新科技；最新工艺¦latest information::最新资料，最新信息¦latest news::最新消息，最近新闻¦latest version::最新版本¦at the latest::最迟；至迟¦latest product::最新产品¦latest design::最新的款式¦latest fashions::最新的时装¦latest style::最新款式；最新造型¦at latest::至迟；最晚¦latest time::最晚时间；最近一次	all the latest gossip::最近所有的流言蜚语¦His latest film is one of the funniest he’s ever made.::最新的这部影片是他最搞笑的电影之一。	adj::最新的，最近的；最迟的::recent, current, last, nearest						
think	θɪŋk	θɪŋk	v::想，认为，以为::to have a particular opinion or to believe that something is true	think something of oneself::自命不凡,自以为了不起[亦作 think oneself something]¦think of::记起，想起；考虑；想像；关心¦do you think::你认为¦think about::考虑¦think to oneself::盘算；自思自忖¦what do you think::你认为呢；你觉得如何¦think so::如此想法¦think for oneself::独立思考¦think twice::再三考虑；重新考虑¦let me think::让我想一想¦just think::试想；只想想看¦think over::仔细考虑；重新考虑¦think for::认为，预料¦think big::n. 野心勃勃，好高鹜远¦think it over::仔细考虑一下；好好想想¦think oneself as::自认为是¦think highly of::高度评价，尊重¦think back::回想¦think on::v. 考虑；思量¦think up::想出；发明；虚构	I thought I heard something.::我觉得我听到了什么声音。¦He didn’t think anyone would believe him.::他觉得没人会相信他。¦Do you think I should call him?::你认为我应该打电话给他吗？¦For some reason, I keep thinking it’s Friday today.::不知为什么，我总觉得今天是周五。¦The recession lasted longer than anyone thought it would.::谁也没有想到这次经济萧条会持续这么久。¦Am I right in thinking that you have a brother?::我想你是有个兄弟的，对吗？¦I can’t help thinking that he’s made a mistake.::我总觉得他弄错了。¦Do you honestly think I would do something so stupid?::你真认为我会做这么愚蠢的事吗？¦We must start thinking in terms of reducing costs.::我们必须开始考虑降低成本了。	vt::想；认为；想起；想像；打算::like, imagine, expect, count, guess¦vi::想；认为::consider, ween¦n::想；想法::idea, idee¦adj::思想的::ideological, ideaistic	adj::thoughtful:: 深思的；体贴的；关切的¦adj::thinking:: 思考的；思想的；有理性的；好思考的¦adj::thinkable:: 能想到的；可相信的；可考虑的；可能的¦adv::thoughtfully:: 沉思地；体贴地，亲切地¦n::thought:: 思想；思考；想法；关心¦n::thinking:: 思考；思想；想法；意见；见解¦n::thoughtfulness:: 体贴；思虑¦n::thinker:: 思想家；思想者¦v::thought:: 想，思考；认为（think的过去式和过去分词）¦v::thinking:: 思考（think的现在分词）		 仔细想想(think)， 这事还是要感谢(thank)你			
receive	rɪ'siv	rɪ'siːv	v:: 收到， 接到； 受到， 遭到； 接待； 接见； 欢迎::to be given something		All the children will receive a small gift.::每个孩子都会收到一份小礼物。¦Lee received 324 votes (= 324 people voted for him ) .::李得到324票。	vt::收到；接待；接纳::acknowledge receipt of, to hand¦vi::接收::take over	adj::received:: 被一般承认的；被认为标准的¦adj::receptive:: 善于接受的；能容纳的¦adv::receptively:: 容纳地；感受¦n::reception:: 接待；接收；招待会；感受；反应¦n::receptionist:: 接待员；传达员¦n::receiver:: 接收器；接受者；收信机；收款员，接待者¦n::receptivity:: 接受能力；[生理] 感受性¦n::receptiveness:: 感受性；接受能力¦v::received:: 收到；接受；迎接（receive的过去分词）					
team	tim	tiːm	v:: 合作；　结成一队::¦n::队，组::a group of people who play a game or sport together against another group	management team::管理团队；经营团队¦team spirit::n. 团队精神；合作精神¦team work::配合，协力；工作小组；协同工作¦football team::足球队¦national team::国家队¦professional team::专业团队；职业队¦team player::具有团队精神的人；良好的合作伙伴；善于团队合作的人¦design team::设计组¦research team::研究小组；科学研究组¦first team::一线队；首发阵容；第一阵容¦team member::队员；团队成员¦in the team::在队里¦project team::项目工作组；攻关队伍¦team leader::组长；团队领导¦production team::生产队；制作组；生产大队¦team building::团队建设¦construction team::施工队¦on the team::在队里；是…队的成员¦team management::团队管理；小组管理¦whole team::全队；完整团队	Which team do you support?::你支持哪个队？¦Our team are winning.::现在是我们队赢。	n::队；组::group, crew, suit¦vt::使合作::partner¦vi::合作::work together, co-operate						
tragedy	'trædʒədi	'trædʒədi	n:: 惨事， 灾难； 悲剧::a very sad event, that shocks people because it involves death		The tragedy happened as they were returning home from a night out.::悲剧发生在他们夜里外出归来的路上。¦Tragedy struck the family when their two-year-old son was killed in an accident.::悲剧降临到这个家庭，他们两岁的儿子在一次事故中丧生。	n::悲剧；灾难；惨案::disaster, calamity	adj::tragic:: 悲剧的；悲痛的，不幸的¦adj::tragical:: 悲剧的；悲剧性的；悲惨的；不幸的¦adv::tragically:: 悲剧地；悲惨地¦n::tragedian:: 悲剧演员；悲剧作家¦n::tragedienne:: 悲剧女演员					
watch	wɑtʃ	wɒtʃ	v::注视，观看；看守，监视，照看；小心，当心::to look at someone or something for a period of time, paying attention to what is happening¦n:: 表； 看管， 监视::when you watch someone or something carefully, or pay careful attention to them, so that you are ready to act if necessary	watch oneself::[美国英语]小心谨慎¦watch tv::看电视¦watch out::小心；提防¦watch for::v. 等待；当心；守候¦watch television::看电视¦watch out for::注意寻找；戒备；小心提防¦watch over::看守；监视；照管¦watch movies::看电影¦keep watch::看守；值班；放哨；提防¦close watch::紧盯¦gold watch::金表¦human rights watch::人权监察站¦on the watch::提防着；守候着¦wrist watch::n. 手表¦watch carefully::仔细看；当心¦quartz watch::n. 石英表；石英钟¦pocket watch::怀表；表袋¦watch a film::看电影¦on watch::值班；监视¦electronic watch::电子表	Do you mind if I watch?::你介意我看着吗？¦We sat and watched the sunset.::我们坐下来看日落。¦Ruth could not bear to watch her parents arguing.::露丝看不得父母争吵。¦Most parents don’t know what their kids are watching on TV.::大多数父母不知道自己的孩子都在看什么电视节目。	vt::观察；注视；看守；警戒::protect, look into¦n::手表；监视；守护；值班人::observation, monitoring, surveillance¦vi::观看，注视；守侯，看守::sight, regard	adj::watchful:: 注意的；警惕的；警醒的¦adv::watchfully:: 警惕地¦n::watcher:: 观察者；看守人；哨兵；（美）选举监票员¦n::watchfulness:: 警觉性					
speech	spitʃ	spiːtʃ	n:: 讲话， 演说； 言语， 言论； 说话方式::a talk, especially a formal one about a particular subject, given to a group of people	speech recognition::语音辨识¦freedom of speech::言论自由¦speech signal::语言信号，语音信号¦speech act::言语行为¦make a speech::发表演讲¦free speech::n. 言论自由¦speech contest::演讲比赛¦figure of speech::修辞；比喻说法¦figures of speech::修辞格；修辞手法；形象化比喻¦give a speech::做演讲¦part of speech::[语]词性，词类¦speech synthesis::语音合成；言语合成¦speech communication::言语交际¦parts of speech::词类；词性¦keynote speech::会上发表的主要讲话；政党代表大会上关于施政方针的演说¦speech quality::声音品质；话音质量¦opening speech::开幕致辞¦indirect speech::n. 间接引语¦speech sound::语音¦speech production::言语生成；语言产生	He has to make a lot of after-dinner speeches .::他经常要发表席后演说。¦Collins gave the keynote speech (= most important speech ) .::科林斯作了主题发言。	n::演讲；讲话；[语]语音；演说::address, lecture, talk, sound	adj::speechless:: 说不出话的；哑的；非言语所能表达的¦adv::speechlessly:: 一时不知怎么说地；哑口无言地¦n::speechlessness:: 一时讲不出话来的样子；哑口无言¦n::speechmaker:: 演讲人；演说家¦n::speechwriter:: 演讲稿撰写人¦vi::speechify:: 演说；喋喋不休地说；高谈阔论					
clap	klæp	klæp	n&v:: [clapped-clapped, clapping] 拍手， 鼓掌::to hit your hands against each other many times to make a sound that shows your approval, agreement, or enjoyment	clap hands::拍手¦a clap of thunder::一声霹雳¦clap eyes on::看见；注视	One man began to clap, and others joined in.::一个人鼓起了掌，其他人也跟着鼓掌。¦The couple were cheered and clapped on their arrival.::这对夫妇抵达时人群为他们欢呼鼓掌。¦The audience clapped politely but without much enthusiasm.::观众礼貌地鼓了掌，但并不热烈。	vt::拍手，鼓掌；轻轻拍打某人::plaud¦n::鼓掌；拍手声::handclap	n::clapping:: 鼓掌；掌声¦n::clapper:: 拍手者；铃舌；响板；唠唠叨叨的嘴巴¦v::clapping:: 鼓掌；轻敲（clap的ing形式）		 c+lap(轻拍)→拍手， 鼓掌			
purple	'pɝpl	'pɜːpl	n&adj:: 紫色::a dark colour that is a mixture of red and blue	dark purple::深紫；暗紫色¦purple soil::紫色土；紫土¦purple flower::紫花；紫罗兰¦purple red::紫红色¦light purple::浅紫；浅紫色；浅绛红¦pale purple::淡紫色，淡白紫；青莲色¦purple membrane::紫膜¦purple heart::紫心锭（右旋安非他命，兴奋剂）¦red purple::紫红色¦purple light::浅绛红，紫光¦born in the purple::出身显贵	His face turned purple with rage.::他气得脸色发紫。	adj::紫色的；帝王的；华而不实的::regal, violet¦n::紫色；紫袍::lila, amethyst¦vt::使成紫色::empurple	adj::purplish:: 略带紫色的					
nice	naɪs	naɪs	adj:: 好的； 令人愉快的； 友好的， 好心的； 细致的::pleasant, attractive, or enjoyable	nice and::很，挺¦nice to meet you::很高兴见到你¦nice day::美好的一天¦nice to see you::很高兴认识你¦have a nice day::过得愉快¦how nice::多好啊；好漂亮¦nice guy::好人¦make nice::[美国口语]表示亲昵，爱抚¦nice thing::好事¦nice looking::adj. （口语）好看的；漂亮的¦nice meeting you::很高兴认识你；很高兴见到你¦have a nice weekend::周末玩得愉快¦have a nice trip::祝你旅途愉快¦have a nice time::玩得痛快；玩得高兴¦nice talking to you::很高兴和你聊天¦nice work::干得好¦what a nice day::好天气¦nice try::想得美；做的不错	They’ve got a very nice house.::他们的房子真漂亮。¦Did you have a nice time?::你们玩得开心吗？¦It’s such a nice day (= good weather ), why not go for a swim?::天气真好，为什么不去游泳呢？¦What a nice surprise!::真是个惊喜！¦One of the nice things about Christmas is having all the family together.::圣诞节的一个好处是全家可以聚首一堂。	adj::精密的；美好的；细微的；和蔼的::precision, exact, narrow, kind, benign	adv::nicely:: 漂亮地；恰好地；精细地¦n::nicety:: 精密；美好；细节；拘泥细节¦n::niceness:: 美好的事物；讲究；精密					
Jew	dʒu:	dʒuː	n:: 犹太人； 犹太教徒::someone whose religion is Judaism, or who is a member of a group whose traditional religion is Judaism		The disciple was a Jew . "What good work shall I do to be acceptable to God "?::一个犹太人门徒问：“我应该做什么样工作才能让上帝接受?”（合上帝之意?。¦If a Christian wrong a Jew, what should his sufferance be by Christian example? Why, revenge.::要是一个犹太人欺侮了一个基督徒，那基督徒怎样表现他的谦逊？报仇。 妹。	n::犹太人；犹太教徒；守财奴::Israel, Jewry¦vt::杀价；欺骗::sell, fox						
thing	θɪŋ	θɪŋ	n:: 事， 事情， 事件； 物， 东西； 局面， 情况， 事态； 所有物， 用品::an object that you are talking about without saying its name, or whose name you do not know	one thing::一件事；有件事¦good thing::好东西，好事情；美好的事¦first thing::第一件事；一大早；最重要的事情¦and things::[口语]等等之类¦whole thing::全部事情¦bad thing::坏东西，\t坏事¦see things::发生幻觉；见神见鬼¦no such thing::终止不幸；没有的事，完全不对¦among other things::除了别的之外¦new thing::新事物；随意即席演奏的爵士乐¦the last thing::最不想要的事物；最不适宜的事¦real thing::真材实料¦the thing is::问题是；最重要的是¦little thing::小家伙；小人无大志¦of all things::首先；特别¦difficult thing::困难的事；难事¦living thing::生物¦big thing::热门事件¦one more thing::还有一件事¦thing of the past::过去的事；已没关系的事	What’s that red thing?::那个红色的东西是什么？¦I’ll just switch this thing off.::我把这东西关一下。¦There was a round metal thing on the path.::小路上有一个圆圆的金属物。	n::事情；东西；事物；情况::business, situation, circumstance, stuff, affair	n::thingamabob:: 某人；某东西（对不知名或暂时忘记名字的人或事物的代称，等于thingumabob）¦n::thingamajig:: 装置；某件东西¦n::thingumajig:: 装置；某人；某件东西¦n::thingummy:: 装置；某东西；某人					
