abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃::The abandonment of a place, thing, or person is the act of leaving it permanently or for a long time, especially when you should not do so		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。	n::[法]抛弃；放纵::rejection, loose	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandon:: 狂热；放任¦v::abandoned:: 抛弃（abandon的过去式和过去分词）¦vt::abandon:: 遗弃；放弃					
warehouse	'wɛrhaʊs	'weəhaʊs	n::仓库，货栈::a large building for storing large quantities of goods	data warehouse::数据仓库¦warehouse management::仓库管理，仓储管理；仓库治理¦bonded warehouse::保税仓库，关栈¦warehouse to warehouse::仓至仓¦warehouse space::仓库容积¦warehouse receipt::仓单；栈单；仓库收据¦warehouse to warehouse clause::仓库至仓库条款¦warehouse supervisor::仓库主管；仓库管理人¦warehouse keeper::仓库管理员¦warehouse stock::仓库库存¦automatic warehouse::自动仓库；自动化仓库	The goods have been sitting in a warehouse for months because a strike has prevented distribution.::因为罢工无法发货，货物已经堆在仓库里好几个月了。	n::[建][经]仓库；[贸易]货栈；大商店::stockroom, godown	n::warehousing::储仓；（商业银行所提供的）周转性短期贷款¦v::warehousing::把…存入仓库；使落栈（warehouse的现在分词）		ware(器皿) ＋ house(房子) → 放器皿的房子 → 仓库		All the finished products are stored in a ______ of the delivery port and shipping is available at any time.::4::1)garage 2)cabinet 3)capsule 4)warehouse::句意： 所有成品都被存放在靠近码头的一个仓库里， 随时可以装船发货。garage： 汽修厂； 车库； cabinet： 橱柜， 内阁； capsule： 胶囊。	
cruelty	'krʊəlti	'krʊəltɪ	n::残酷；残酷行为::behaviour or actions that deliberately cause pain to people or animals		The children had suffered cruelty and neglect.::这些孩子遭受虐待，无人照管。¦There was a hint of cruelty in Brian’s smile.::布赖恩的微笑里流露出一丝残暴。	n::残酷；残忍；残酷的行为::fellness, rigorousness	adj::cruel::残酷的，残忍的；使人痛苦的¦adv::cruelly::残酷地；非常¦n::cruelness::残酷；残忍；刻毒伤人的语言					
napkin	'næpkɪn	'næpkɪn	n::餐巾（纸）::a square piece of cloth or paper used for protecting your clothes and for cleaning your hands and lips during a meal	sanitary napkin::（美）卫生棉¦paper napkin::餐巾纸；纸餐巾	...taking tiny bites of a hot dog and daintily wiping my lips with a napkin.::…小口咬着热狗并用餐巾文雅地擦着我的嘴唇。	n::餐巾；餐巾纸；尿布::serviette, mokador	adj::nappy::起毛的¦n::nappy::尿布					
participate	pɑr'tɪsə'pet	pɑː'tɪsɪpeɪt	v::参与::to take part in an activity or event	participate in::参加；分享¦participate in social activities::参与社会活动	Some members refused to participate.::有些会员拒绝参加。	vi::参与，参加；分享::mix, take part in¦vt::分享；分担::share in, partake in	adj::participant::参与的；有关系的¦adj::participating::由多人一起参加的；（股票等）持有人有权分享利益的¦adj::participatory::供人分享的；吸引参与的¦n::participant::参与者；关系者¦n::participation::参与；分享；参股¦v::participating::参加（participate的ing形式）			...Winners of local contests will participate in the national math competition for free...::2017.6/CET6/阅读理解/第三套¦...students around the country participate in the program’s competition series...::2017.6/CET6/阅读理解/第三套¦...Tenants also want to participate in shaping the public areas of the buildings...::2014.6/CET6/阅读理解/第三套¦...many American students would still have opportunities to participate in organized athletics elsewhere...::2014.12/CET6/阅读理解/第二套¦...researchers find that disadvantaged children participate in these programs at significantly lower rates...::2014.12/CET6/阅读理解/第二套¦...who say that students are less likely to participate in class if they are multi-tasking...::2013.6/CET6/阅读理解/第二套¦...Why did the author participate in the Wharton School management program...::2012.12/CET6/阅读理解/第二套¦...5 million kids participate in organized programs...::2009.6/CET6/阅读理解/		
senator	'sɛnətɚ	'senətə	n::参议员::a member of the Senate or a senate		Senator Kennedy::肯尼迪参议员	n::参议员；（古罗马的）元老院议员；评议员，理事::commissioner, councilor	adj::senatorial::参议院的；参议员的¦n::senate::参议院，上院；（古罗马的）元老院¦n::senatorship::参议员之职			...He still had time to be a student senator and meet his wife...::2012.6/CET6/阅读理解/¦...As senator Daniel Moynihan said...::2012.12/CET6/阅读理解/第二套		
reference	'rɛfrəns	'ref(ə)r(ə)ns	n::参考文献；参照物::a book, article etc from which information has been obtained	for reference::以供参考；备案¦with reference to::关于（等于in reference to）¦reference value::参考值；标准值；参照值¦in reference to::关于¦for your reference::供您参考；供你方参考¦reference service::咨询服务；查阅服务¦by reference::通过引用¦reference model::参考模型¦reference data::参考数据；参照资料¦without reference to::不管；与…无关；没有提及¦reference material::参考资料；参考材料¦reference frame::参考系，参考坐标系¦reference point::参考点；控制点¦reference book::参考书；工具书¦frame of reference::[物]参照系；[数]坐标；参照标准¦reference system::[化]参考系¦future reference::备查¦terms of reference::受权调查范围¦make reference::参考；访问；查找；提及¦reference room::资料室；参考资料室；参考书阅览室	a comprehensive list of references::详尽的参考书目清单	n::参考，参照；涉及，提及；参考书目；介绍信；证明书::involved in, mention¦vi::引用::quote¦vt::引用::cite	adj::referenced::引用的，参考的¦adj::referential::指示的；用作参考的¦adj::referable::可归因于…；可参考的；可交付的；可涉及的¦n::referral::参照；提及；被推举的人；转诊病人¦n::referee::裁判员；调解人；介绍人¦n::referent::指示物；指示对象¦v::referenced::引用（reference的过去分词）；附…以供参考¦vi::refer::参考；涉及；提到；查阅¦vi::referee::仲裁；担任裁判¦vt::refer::涉及；委托；归诸于；使…求助于¦vt::referee::为…当裁判；调停			...We don't have reference points for that story...::2014.6/CET6/阅读理解/第三套¦...indirect reference and figures of speech; by creating a mental representation that draws on the same brain regions that would be active if the scene were unfolding in real life...::2014.6/CET6/阅读理解/第三套¦...the important aspect is to compare with an appropriate reference group...::2012.12/CET6/阅读理解/第一套¦...the university ranking may have its own reference values...::2010.12/CET6/写作题/		
participant	pɑr'tɪsəpənt	pɑː'tɪsɪp(ə)nt	n::参加者::someone who is taking part in an activity or event	participant observation::参与观察	an active participant in the negotiations::积极参与谈判的人	adj::参与的；有关系的::related	adj::participating::由多人一起参加的；（股票等）持有人有权分享利益的¦adj::participatory::供人分享的；吸引参与的¦n::participation::参与；分享；参股¦v::participating::参加（participate的ing形式）¦vi::participate::参与，参加；分享¦vt::participate::分享；分担		parti(看作party， 晚会) ＋ cip(抓， 拿) ＋ ant → 抓去参与派对的人 → 参与者			
spectator	'spɛktetɚ	spek'teɪtə	n::参观者，观众::someone who is watching an event or game	spectator sport::吸引大量观众的体育运动	The match attracted over 40,000 spectators.::这场比赛吸引了四万多名观众。	n::观众；旁观者::audience, onlooker	vi::spectate::出席观看		spect(看) ＋ ator → 参观者			
parameter	pə'ræmɪtɚ	pə'ræmɪtə	n::参（变）数；参量::a set of fixed limits that control the way that something should be done	parameter estimation::参数估计¦technical parameter::技术参数；技术参考¦technological parameter::工艺参数¦design parameter::设计参数；设计规范¦key parameter::关键参数¦main parameter::主要参数¦structural parameter::结构参数¦performance parameter::[计]性能参数¦model parameter::模型参数¦system parameter::系统参数；体系参数¦geometric parameter::几何参数¦parameter adjustment::参数调整；参数平差¦welding parameter::焊接参数；焊接工艺参数¦parameter value::参数值¦dynamic parameter::动态参数¦variable parameter::可变参量¦order parameter::有序参数¦parameter list::[计]参数表¦parameter space::参数空间¦material parameter::材料参数	...some of the parameters that determine the taste of a wine.::…一些决定葡萄酒味道的参数。	n::参数；系数；[数]参量::coefficient, arguments, modulus	adj::parametric::[数][物] 参数的；[数][物] 参量的		para(辅助) ＋ meter(测量) → 辅助测量 → 参数			
recipe	'rɛsəpi	'resɪpɪ	n::菜谱，烹饪法::a set of instructions for cooking a particular type of food	secret recipe::秘方；秘密配方¦recipe for disaster::造成灾难的因素¦formulating of recipe::配方设计¦recipe book::配方书；食谱书	a recipe book::一本烹饪书	n::食谱；[临床]处方；秘诀::secret, tips			re ＋ cipe(抓) → 为做饭提供抓的要点 → 食谱	...the coca-cola recipe is a closely guarded secret...::2017.12/CET6/阅读理解/第一套¦...Each recipe has a list of ingredients...::2016.6/CET6/听力题/第三套¦...and you've got a recipe for overwork...::2016.12/CET6/阅读理解/第三套¦...rapid deforestation combined with the massive burning of fossil fuels is an explosive recipe for an irreversible disaster...::2015.6/CET6/阅读理解/第一套		
assumption	ə'sʌmpʃən	ə'sʌm(p)ʃ(ə)n	n::假定::something that you think is true although you have no definite proof	on the assumption that::假设¦fundamental assumption::n. 基本假定	A lot of people make the assumption that poverty only exists in the Third World.::许多人以为贫困仅仅存在于第三世界。	n::假定；设想；担任；采取::conception, perhaps, if	adj::assumed::假定的；假装的¦adj::assumptive::假定的；设想的；傲慢的¦vi::assume::装腔作势；多管闲事¦vt::assume::承担；假定；采取；呈现			...It is a false assumption that lessons should be made easier to learn...::2013.12/CET6/阅读理解/第二套		
rule	rul	ruːl	v::裁决，裁定::to make an official decision about something, especially a legal problem	rules and regulations::规章制度¦rule of law::法治；法律规则¦general rule::通则；一般规则¦rule out::排除；取消；划去¦as a rule::通常，一般说来¦by rule::墨守成规地；按照规则地¦basic rule::基本规则，基本准则¦rule over::v. 统治；支配¦make it a rule::惯于，作为常例；定为常规¦colonial rule::殖民统治¦rule of thumb::经验法则¦majority rule::少数服从多数原则；多数决定原则¦be ruled by::受…所左右，受…支配¦golden rule::金科玉律；指导原则；黄金法则¦as a general rule::一般地；照例¦control rule::控制规则；检核尺¦design rule::设计规则¦rule the world::统治世界；征服世界¦rule base::规则库¦legal rule::法律规定；法律规则	The judge ruled that she should have custody of the children.::法官判定孩子的监护权归她。	vi::统治；管辖；裁定::king it over, reign over¦n::统治；[数]规则::governance, regulation, order¦vt::统治；规定；管理；裁决；支配::define, regulate, manage, state, conduct	adj::ruling::统治的；主要的；支配的；流行的，普遍的¦adj::ruled::有横隔线的；有直线行的；受统治的¦n::ruler::尺；统治者；[测] 划线板，划线的人¦n::ruling::统治，支配；裁定¦n::rulership::统治者的地位；职权或任期¦v::ruled::统治；裁决（rule的过去分词）			...at a time when political and religious nonsense so jeopardize the rule of reason in this allegedly enlightened democracy and around the world...::2014.6/CET6/阅读理解/第一套¦...The first rule of saying no to the boss is doing say no...::2011.6/CET6/阅读理解/¦...The third rule is to be ready to cite options and consequences...::2011.6/CET6/阅读理解/¦...The second rule is doing raise the stakes by challenging her authority...::2011.6/CET6/阅读理解/		
substance	'sʌbstəns	'sʌbst(ə)ns	n::内容，本旨；财产::the most important ideas contained in an argument or piece of writing	in substance::实质上；基本上；事实上¦organic substance::有机物；有机物质¦active substance::活性物质；放射性物质；有效物质¦substance abuse::物质滥用；滥用药物¦mineral substance::矿物质¦suspended substance::悬浮物¦substance p::P物质；[化]肽物质（即神经传递介质）¦harmful substance::有害物质¦toxic substance::有毒物¦reference substance::对照品；标准物；参考物¦simple substance::[化]单质¦working substance::[化]工作介质；工作物¦hazardous substance::有害物质；危险物品¦inorganic substance::无机物质¦ground substance::基质¦poisonous substance::有毒物，毒性物质¦foreign substance::外来杂质¦pure substance::纯净物；纯物质；纯正物¦nutrient substance::营养物质；营养素¦amount of substance::物质的量	The substance of his argument was that people on welfare should work.::他论点的主旨是享受社会福利的人应该去工作。¦...mature men of substance.::有钱有势的成熟男人	n::[物]物质；实质；资产；主旨::matter, asset, essence, truth, texture	adj::substantial::大量的；实质的；内容充实的¦adj::substantive::有实质的；大量的；真实的；独立存在的¦adv::substantially::实质上；大体上；充分地¦n::substantial::本质；重要材料¦n::substantive::名词性实词；独立存在的实体¦n::substantiality::实体；实质性；真实价值；内容			...Whereas some of the low-self-control study members are more likely to be single parents with a very low income and the parent is in poor health and likely to be a heavy substance abuser...::2016.6/CET6/听力题/第二套¦...Oil is the substance that lubricates the world's economy...::2013.6/CET6/阅读理解/第二套¦...and lower substance use than peers whose role models were sports figures...::2013.6/CET6/阅读理解/第一套		
friction	'frɪkʃən	'frɪkʃ(ə)n	n::摩擦::when one surface rubs against another	friction coefficient::磨擦系数¦friction force::摩擦力¦friction factor::摩擦因子；摩擦率¦trade friction::贸易摩擦¦coefficient of friction::摩擦系数；磨擦系数¦internal friction::内摩擦；内耗¦friction welding::摩擦焊接¦sliding friction::滑动摩擦¦friction material::摩擦材料¦dry friction::[物]干摩擦；库伦摩擦¦friction angle::磨擦角¦friction loss::摩擦损失¦skin friction::表面摩擦（表皮摩擦机壳与空气的摩擦力）¦coulomb friction::[力]库仑摩擦¦friction torque::摩擦力矩；摩擦转矩；摩擦扭矩¦rolling friction::滚动摩擦¦friction surface::摩擦表面¦static friction::静摩擦；干摩擦；库仑摩擦¦friction heat::摩擦热¦friction clutch::摩擦离合器	Check your rope frequently, as friction against the rock can wear it away.::要经常检查绳索，因为与岩石摩擦会使它磨损。	n::[力]摩擦，摩擦力::attrition, frottage	adj::frictional::[力] 摩擦的；由摩擦而生的¦adj::fricative::摩擦音的；由摩擦产生的¦adj::frictionless::无摩擦的；光滑的¦n::fricative::摩擦音		润滑油的功能(function)是减小摩擦(friction)		We rarely perceive more than a minute ______ of the sights and sounds that fall upon our sense organs; the great majority pass us by.::3::1)fiction 2)function 3)fraction 4)friction::句意： 我们感觉到的声像只是进入我们感官的一小部分， 绝大部分都被忽略了。fiction： 虚构， 小说； function： 功能。	
sermon	'sɝmən	'sɜːmən	n::布道，讲道；说教::a talk given as part of a Christian church service, usually on a religious or moral subject	sermon on the mount::登山宝训（指圣经马太福音中耶稣在山上所说的话）；山上宝训	The vicar gave a sermon on charity.::牧师作了一次关于仁爱的布道。	n::布道；训诫；启示；冗长的讲话::mission, message	n::sermonizer::布道者；训诫者¦vi::sermonize::说教；布道¦vt::sermonize::对…说教；对…布道					
absent	ˈæbsənt	'æbs(ə)nt	adj::不在的::not at work, school, a meeting etc, because you are sick or decide not to go	absent from::缺席¦absent minded::健忘的¦absent from work::旷工；缺勤	students who are regularly absent from school::经常缺课的学生	adj::缺席的；缺少的；心不在焉的；茫然的::missing, vacant	adv::absently::心不在焉地¦n::absence::没有；缺乏；缺席；不注意¦n::absenteeism::旷工；旷课；有计划的怠工；经常无故缺席¦n::absentee::缺席者¦n::absentmindedness::恍惚；心不在焉					
disagreement	,dɪsə'ɡrimənt	dɪsə'ɡriːmənt	n::争论；不一致::a situation in which people express different opinions about something and sometimes argue		We’ve had a few disagreements , but we’re still good friends.::虽然有过一些分歧，但我们仍是好朋友。¦There is disagreement between these two estimates.::这两种估算不符。	n::不一致；争论；意见不同::controversy, combat, variance, disparity	adj::disagreeable::不愉快的；厌恶的；不为人喜的；难相处的；脾气坏的¦adv::disagreeably::不合口味地；不愉快地¦vi::disagree::不同意；不一致；争执；不适宜					
awkward	'ɔkwɚd	'ɔːkwəd	adj::令人尴尬的::making you feel embarrassed so that you are not sure what to do or say		I hoped he would stop asking awkward questions .::我希望他不要再问令人难堪的问题。¦A laugh can help people over an awkward situation.::笑可以助人化解尴尬。	adj::尴尬的；笨拙的；棘手的；不合适的::testing, embarrassed	adv::awkwardly::笨拙地；无技巧地¦n::awkwardness::尴尬；笨拙	graceful	aw(看作awe， 恐惧) ＋ kward(看作backward， 向后的) → 由于恐惧所以向后退 → 尴尬的场面 → 尴尬的	...But some social scientists have been asking awkward questions of it...::2015.6/CET6/阅读理解/第一套		
immortal	ɪ'mɔrtl	ɪ'mɔːt(ə)l	adj::不朽的；永生的::living or continuing for ever		Plato believed that the soul is immortal.::柏拉图认为灵魂不灭。	adj::不朽的；神仙的；长生的::eternal, monumental¦n::神仙；不朽人物::jinnee, djinni	n::immortality::不朽；不朽的声名；不灭¦vt::immortalize::使不灭；使名垂千古，使不朽¦vt::immortalise::使不灭；使不朽					
wretched	'rɛtʃɪd	'retʃɪd	adj::不幸的::someone who is wretched is very unhappy or ill, and you feel sorry for them		the poor, wretched girl::极其不幸的可怜姑娘	adj::可怜的；卑鄙的；令人苦恼或难受的::poor, mean, base, dirty	adv::wretchedly::鄙劣地；可怜地¦n::wretch::可怜的人，不幸的人；卑鄙的人¦n::wretchedness::可怜；悲惨；不幸					
misfortune	'mɪs'fɔrtʃən	mɪs'fɔːtʃuːn; -tʃ(ə)n	n::不幸，灾祸，灾难::very bad luck, or something that happens to you as a result of bad luck		It seems the banks always profit from farmers’ misfortunes.::银行似乎总是从农民的不幸中获益。	n::不幸；灾祸，灾难::disaster, evil, tragedy, grief			mis(坏) ＋ fortune(运气) → 不幸， 逆境	...Brazil’s stretch of misfortune has created opportunities for China...::2016.12/CET6/阅读理解/第一套		
incompatible	,ɪnkəm'pætəbl	ɪnkəm'pætɪb(ə)l	adj::不相容的::two things that are incompatible cannot exist or be accepted together	be incompatible with::与…不相容	Politeness and truth are often mutually incompatible.::礼貌和实话往往互不相容。¦Business interests are incompatible with public office.::商业利益与公职不可兼得。	adj::[数]不相容的；矛盾的；不能同时成立的::antipathic, contradictory	adv::incompatibly::矛盾地；不相容地¦n::incompatibility::不相容；不协调；不一致			...has been discovering the hard way that admitting people with incompatible cultures is an irreversible decision with incalculable consequences...::2014.6/CET6/阅读理解/第三套		
instability	,ɪnstə'bɪləti	ɪnstə'bɪlɪtɪ	n::不稳定性::when a situation is not certain because there is the possibility of sudden change	thermal instability::热不稳定性¦emotional instability::情绪不稳定	the instability of the market::市场的变化无常¦political instability in the region::该地区的政局不稳	n::[气象]不稳定（性）；基础薄弱；不安定::flux, imbalance						
incomplete	'ɪnkəm'plit	ɪnkəm'pliːt	adj::不完全的，未完成的::not having everything that should be there, or not completely finished	incomplete combustion::[化]不完全燃烧¦incomplete fusion::未焊透，不完全焊透；未完全熔合¦incomplete abortion::不全流产，不完全流产	Unfortunately, I do not have the information because our records are incomplete.::很遗憾，由于我们的记录不完整，我无法提供有关资料。¦an incomplete process::未完成的工序	adj::[数][计]不完全的；不完备的::half, synsemantic	n::incompleteness::不完全			...there is a short passage with 5 questions or incomplete statements...::2012.12/CET6/阅读理解/第一套		
stuffy	'stʌfi	'stʌfɪ	adj::不透气的，闷热的::(of a building, room, etc.) warm in an unpleasant way and without enough fresh air	stuffy nose::曲差¦hot and stuffy::闷热	It’s getting stuffy in here – do you mind if I open the window?::这里越来越闷了，我开开窗行吗？	adj::闷热的；古板的；不通气的::sweltering, sultry	n::stuffiness::闷热；不通风；自负					
opaque	o'pek	ə(ʊ)'peɪk	adj::不透明的::(of glass, liquid, etc.) not clear enough to see through or allow light through	opaque glass::不透明玻璃	a shower with an opaque glass door::装有不透明玻璃门的淋浴间¦opaque tights::不透明的连裤袜	adj::[物]不透明的；不传热的；迟钝的::slow, non-transparent¦vt::[物]使不透明；使不反光::devitrify	adv::opaquely::无光泽地；不透明地¦n::opaqueness::不透明性					
improper	ɪm'prɑpɚ	ɪm'prɒpə	adj::不适当的；不合理的::not sensible, right, or fair in a particular situation	improper packing::包装不妥¦improper behavior::不当行为¦improper handling::处理不当；搬运不当；操作不当¦improper integral::反常积分；[数]广义积分	It would be improper of me to comment before the election outcome is known.::在选举结果未知的情况下我作出评论是不恰当的。	adj::不正确的，错误的；不适当的；不合礼仪的::false, wrong, incorrect, unhappy, inadequate	adv::improperly::不适当地；错误地¦n::impropriety::不适当；不正确；用词错误；[审计] 不正当行为					
dissatisfaction	dɪs'sætɪs'fækʃən	dɪssætɪs'fækʃn	n::不满，不平::a feeling of not being satisfied		30% of customers expressed dissatisfaction with the service.::30%的顾客对服务表示不满意。	n::不满；令人不满的事物::grievance, disaffection	adj::dissatisfied::不满意的；不高兴的；流露不满的¦v::dissatisfied::使不满（dissatisfy的过去式和过去分词）¦vt::dissatisfy::不满足；使……感觉不满					
watertight	'wɔtɚtaɪt	'wɔːtətaɪt	adj::不漏水的，防水的::that does not allow water to get in or out		a watertight container::不漏水的容器	adj::水密的；[建]不漏水的；无懈可击的::invulnerable, unexceptionable			water(水) ＋ tight(紧封的； 不漏的) → 防水的			
inevitably	ɪn'ɛvɪtəbli	ɪ'nevɪtəblɪ; ɪn'evɪtəblɪ	adv::不可避免地::used for saying that something is certain to happen and cannot be avoided		The decision will inevitably lead to political tensions.::该决定必然导致政治局势的紧张。¦Inevitably, the situation did not please everyone.::这种状况必定不能让所有人都感到满意。	adv::不可避免地；必然地::necessarily, ineluctably	adj::inevitable::必然的，不可避免的¦n::inevitability::必然性；不可逃避			...But any discussion of gender differences in children inevitably leads to this debate...::2014.12/CET6/阅读理解/第三套¦...which inevitably exerts a negative influence in society...::2014.12/CET6/写作题/第一套¦...inevitably generate wastage in the home...::2013.12/CET6/阅读理解/第三套¦...we need to move away from the idea that traditional practices are inevitably more sustainable than new ones...::2008.12/CET6/阅读理解/		
irrespective	,ɪrɪ'spɛktɪv	ɪrɪ'spektɪv	adj::不考虑的，不顾的::used when saying that a particular fact has no effect on a situation and is not important	irrespective of::不论；不考虑；不顾¦irrespective of percentage::不论损失如何全部赔偿	The course is open to anyone, irrespective of age.::这门课任何人都可参加，没有年龄限制。¦...their commitment to a society based on equality for all citizens irrespective of ethnic origin.::…他们为建设一个没有种族差别、全民平等的社会所做出的贡献。	adj::无关的；不考虑的；不顾的::unrelated, unconcerned			ir(不) ＋ respect(注意， 考虑) ＋ ive → 不考虑的， 不顾及的			
inaccurate	ɪn'ækjərət	ɪn'ækjʊrət	adj::不精密的，不准确的::not completely correct		A lot of what has been written about him is inaccurate.::关于他的文字描述有大量失实之处。	adj::错误的::false, wrong, incorrect, improper, erroneous	adv::inaccurately::不准确地；不正确地¦n::inaccuracy::错误；不精确					
unreasonable	ʌn'riznəbl	ʌn'riːz(ə)nəb(ə)l	adj::不讲道理的；过高的::not fair or sensible		I think he’s being unreasonable.::我认为他是在无理取闹。	adj::不合理的；过度的；不切实际的；非理智的::ideal, dream	adj::unreasoning::未加思量的；不合理的；无理性的；不讲理的¦adv::unreasonably::不合理地¦adv::unreasoningly::无理智地；不合理地¦n::unreason::无理性；不合理；错乱			...The 83% of American employees who are stressed about their jobs--up from 73% just a year before--say that poor compensation and an unreasonable workload are their number-one sources of stress...::2016.12/CET6/阅读理解/第三套		
undesirable	,ʌndɪ'zaɪərəbl	ʌndɪ'zaɪərəb(ə)l	adj::不合需要的；讨厌的::not welcome or wanted because they may affect a situation or person in a bad way		punishment of undesirable behaviour::对不良行为的惩罚¦It would be highly undesirable to increase class sizes further.::再增加班级人数，是大家都极不愿意的。	adj::不良的；不受欢迎的；不合需要的::unhealth, cacoethic¦n::不良分子；不受欢迎的人::persona non grata	adv::undesirably::令人不快地；不受欢迎地¦n::undesirability::不合需要；不受欢迎；不良；不愉快			...not without some undesirable results...::2017.12/CET6/阅读理解/第三套¦...Instead of normalising the undesirable behaviour...::2015.12/CET6/阅读理解/第三套		
unfit		ʌn'fɪt	adj::不合适的；无能力的::not good enough to do something or to be used for a particular purpose		Jenkins is unfit for public office.::詹金斯不适合担任公职。	adj::不适宜的；不合格的；不健康的::rejected, unsuited	n::unfitness::不胜任；不适当					
absurd	əbˈsɚd, -ˈzɚd	əb'sɜːd	adj::不合理的，荒唐的::completely stupid or unreasonable	theatre of the absurd::荒谬剧场；荒诞派戏剧	It seems an absurd idea.::这似乎是个荒唐的想法。	adj::荒谬的；可笑的::ridiculous, preposterous	adv::absurdly::荒谬地；愚蠢地；悖理地¦n::absurdity::荒谬；谬论；荒谬的言行¦n::absurdness::荒谬；愚蠢；不合理	logical	ab(变坏) ＋ sur(超过) ＋ d → 坏到超过一定程度 → 荒谬的		There was once an ______ idea that the earth was flat and motionless.::1::1)absurd 2)intrinsic 3)eternal 4)offensive::句意： 曾经有一种荒谬的观点认为地球是平的且静止不动的。intrinsic： 固有的， 本质的； eternal： 永恒的； offensive： 无礼的。¦It is ______ that women should be paid less than men for doing the same kind of work.::2::1)abrupt 2)absurd 3)adverse 4)addictive::句意： 做同样的工作女性获得的报酬却比男性低， 这的确很荒谬。abrupt： 突然的， 意外的； adverse： 不利的， 相反的； addictive： 上瘾的。¦Even sensible men do ______ things sometimes.::2::1)abrupt 2)absurd 3)acute 4)apt::句意： 即使理智的人有时也会做糊涂事。acute： 敏锐的； apt： 灵敏的。¦It seems somewhat ______ to expect anyone to drive 3 hours just for a 20-minute meeting.::3::1)eccentric 2)impossible 3)absurd 4)unique::句意： 指望任何人开车3个小时只为了出席20分钟的会议， 这似乎有点荒谬。eccentric： 古怪的； impossible： 不可能的； unique： 唯一的。	
irregularity	ɪ'rɛgjə'lærəti	ɪ,regjʊ'lærɪtɪ	n::不规则；不整齐::something that does not happen at regular intervals		a slight irregularity in his heartbeat::他略微的心律不齐¦The paint will cover any irregularity in the surface of the walls.::油漆会遮盖住墙壁上任何不平整的地方。	n::不规则；无规律；[电子]不整齐::anomaly, abnormity	adj::irregular::不规则的；无规律的；非正规的；不合法的¦adv::irregularly::不规则地；不整齐地¦n::irregular::不规则物；不合规格的产品					
disregard	,dɪsrɪ'ɡɑrd	dɪsrɪ'gɑːd	v::不管，不顾::to ignore something or treat it as unimportant¦n::忽视::when someone ignores something that they should not ignore	in disregard of::不顾；无视	He ordered the jury to disregard the witness’s last statement.::他指示陪审团忽略证人的最后一句话。¦his disregard for her feelings::他对她情感的忽略	vt::忽视；不理；漠视；不顾::ignore, neglect¦n::忽视；不尊重::inobservancy, negligence			dis(不) ＋ regard(关心) → 不关心 → 忽视， 漠视			
uncertain	ʌn'sɝtn	ʌn'sɜːt(ə)n; -tɪn	adj::不定的；无常的::feeling doubt about something	uncertain about::对…不能肯定	He was uncertain how much further he could walk.::他不清楚自己还能走多远。	adj::无常的；含糊的；靠不住的；迟疑不决的::changeable, vague	adv::uncertainly::不确定地；没把握地；犹豫地			...Add a rapidly changing economy and an uncertain future to this 24/7 connectivity...::2016.12/CET6/阅读理解/第三套¦...Management is all about making difficult tradeoffs in conditions that are always uncertain and often fast-changing...::2014.12/CET6/阅读理解/第一套		
impurity	ɪm'pjʊrəti	ɪm'pjʊərɪtɪ	n::杂质；不纯::a substance of a low quality that is contained in or mixed with something else, making it less pure	mechanical impurity::机械杂质¦impurity element::杂质元素	All natural minerals contain impurities.::凡天然矿物都含有杂质。	n::杂质；不纯；不洁::foreign matters, nastiness	adj::impure::不纯的；肮脏的；道德败坏的¦n::impureness::污染；不纯；不道德					
inadequate	ɪn'ædɪkwət	ɪn'ædɪkwət	adj::不充足的，不适当的::not good enough, big enough, skilled enough etc for a particular purpose		inadequate resources::资源缺乏¦The new air conditioning system proved inadequate.::新的空调系统不够好。	adj::不充分的，不适当的::deficient, unhappy, wrong, inappropriate, improper	adv::inadequately::不适当地；不够好地¦n::inadequacy::不适当，不充分；不完全；不十分¦n::inadequateness::不适当			...all the facts suggest that high unemployment in America is the result of inadequate demand...::2016.6/CET6/阅读理解/第三套¦...Their inadequate food supply...::2009.6/CET6/阅读理解/		
invariably	ɪn'vɛrɪəbli	ɪn'veərɪəblɪ	adv::不变地，永恒地::always		It invariably rains when I go there.::我每次去那儿都下雨。¦The security guards were invariably ex-servicemen.::保安人员毫无例外地都是退伍军人。	adv::总是；不变地；一定地::always, toujours	adj::invariant::不变的¦adj::invariable::不变的；常数的¦n::invariant::[数] 不变量；[计] 不变式¦n::invariable::常数；不变的东西¦n::invariance::不变性；不变式¦n::invariability::不变；不变性；安定性¦n::invariableness::不变		in(不， 无) ＋ vari(看作vary， 变化) ＋ ably → 不变地	...the essay invariably returns to the favorite topic: what is its impact on you...::2013.12/CET6/阅读理解/第一套	The international situation has been growing ______ difficult for the last few years.::3::1)invariably 2)presumably 3)increasingly 4)dominantly:: increasingly： 日益， 愈加。句意： 在过去几年里国际形势日趋严峻。presumably： 大概， 推测起来； dominantly： 占优势地， 支配地。	
