internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师::a job that lasts for a short time, that someone, especially a student, does in order to gain experience	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。	n::实习生；（美）实习期；实习医师职位::trainee, probationer	n::intern:: 实习生，实习医师¦n::interne:: 实习医师¦vi::intern:: 作实习医师¦vt::intern:: 拘留，软禁					
methodical	mə'θɑdɪkl	mɪ'θɒdɪk(ə)l	adj::有系统的；有方法的::a methodical person always does things carefully, using an ordered system		She’s a very methodical person.::她是个办事很有条理的人。¦He had a neat, methodical mind.::他的思路清晰有条理。	adj::有系统的；有方法的::systematic	adj::method:: 使用体验派表演方法的¦adj::methodological:: 方法的，方法论的¦adv::methodically:: 有方法地；有系统地¦n::method:: 方法；条理；类函数¦n::methodology:: 方法学，方法论¦n::methodicalness:: 有秩序（方法）					
methodology	,mɛθə'dɑlədʒi	meθə'dɒlədʒɪ	n::方法学，方法论::A methodology is a system of methods and principles for doing something, for example for teaching or for carrying out research	teaching methodology::教学方法¦design methodology::设计方法学¦research methodology::研究方法论¦response surface methodology::响应面分析；效应面优化法；反应曲面分类研究法¦evaluation methodology::评价方法	Teaching methodologies vary according to the topic.::教学方法因题目而不同。		adj::method:: 使用体验派表演方法的¦adj::methodical:: 有系统的；有方法的¦adj::methodological:: 方法的，方法论的¦adv::methodically:: 有方法地；有系统地¦n::method:: 方法；条理；类函数					
meticulous	mə'tɪkjələs	mə'tɪkjələs	adj::一丝不苟的；小心翼翼的；拘泥小节的::very careful about small details, and always making sure that everything is done correctly		He kept meticulous accounts.::他的账记得一丝不苟。¦Their planning and preparation were meticulous.::他们的计划和准备工作都很周密。¦He cleaned the tools with meticulous care.::他十分认真地清洁了工具。¦The book describes his journey in meticulous detail.::这本书很详细地描述了他的旅程。	adj::一丝不苟的；小心翼翼的；拘泥小节的::punctilious, wary of	adv::meticulously:: 细致地；一丝不苟地；拘泥地¦n::meticulosity:: 一丝不苟¦n::meticulousness:: 谨小慎微					
metre	ˈmitɚ	'mi:tə(r)	n::米；公尺；韵律::the basic unit for measuring length in the  metric system 	square metre::平方米¦cubic metre::立方米	She's running the 1,500 metres here.::她正在这儿跑1500米。	n::米；公尺；韵律::meter, rhythm	adj::metric:: 公制的；米制的；公尺的¦adj::metrical:: 测量的；韵律的；有韵律的¦adv::metrically:: 韵律地；计量地¦n::metric:: 度量标准¦n::metrics:: 度量；作诗法；韵律学					
metric	'mɛtrɪk	'metrɪk	adj::公制的；米制的；公尺的::using or connected with the  metric system  of weights and measures¦n::度量标准::	metric system::公制；米制；十进制¦metric space::度量空间¦metric ton::n. 公吨¦metric unit::公制单位；米制单位¦complete metric space::完备度量空间	a metric tonne::一公吨¦The parts all come in metric sizes now.::现在配件都采用公制规格。		adj::metrical:: 测量的；韵律的；有韵律的¦adj::metrological:: [计量] 度量衡学的¦adv::metrically:: 韵律地；计量地¦n::metrics:: 度量；作诗法；韵律学¦n::metre:: 米；公尺；韵律¦n::metrology:: 度量衡；度量衡学¦n::metrication:: 公制化；采用公制¦vi::metricate:: 施行公制度量衡制度¦vt::metricate:: 采用公制，把……改为公制					
Metro	'metrəu		n::麦德龙::	metro station::地铁站		n::地铁；大都市；伦敦地下铁道；麦德隆（财富500强公司之一，总部所在地德国，主要经营零售）::sub, subway						
metropolis	mə'trɑpəlɪs	mɪ'trɒp(ə)lɪs	n::大都市；首府；重要中心::a very large city that is the most important city in a country or area		The city has become a huge, bustling metropolis.::这座城市已变成繁忙的大都市。	n::[建]大都市；首府；重要中心::bigalopolis						
metropolitan	,mɛtrə'pɑlɪtən	metrə'pɒlɪt(ə)n	adj::大都市的；大主教辖区的；宗主国的::relating or belonging to a very large city¦n::大城市人；大主教；宗主国的公民::	metropolitan area::大城市区域，大都市区；大都会区¦metropolitan museum::大都会博物馆¦metropolitan police::都市警察¦metropolitan museum of art::大都会艺术博物馆¦metropolitan area network::城域网¦metropolitan park::都市公园¦metropolitan opera::n. 纽约大都会歌剧院	a metropolitan area of South Australia::南澳大利亚的一个都市区	adj::大都市的；大主教辖区的；宗主国的::suzerain¦n::大城市人；大主教；宗主国的公民::archbishop						
Mexican	'mɛksɪkən	'meksɪkən	adj::墨西哥的；墨西哥人的::relating to Mexico or its people¦n::墨西哥人；墨西哥语::someone from Mexico	mexican war::墨西哥战争	the Mexican government::墨西哥政府¦the Mexican border::墨西哥边界¦Mexican food::墨西哥菜							
microbiology	,maɪkrobaɪ'ɑlədʒi	,maɪkrə(ʊ)baɪ'ɒlədʒɪ	n::微生物学::the scientific study of very small living things such as  bacteria 	medical microbiology::医学微生物学¦food microbiology::食品微生物学¦environmental microbiology::环境微生物学	...a professor of microbiology and immunology.::...一位微生物学和免疫学教授。		adj::microbial:: 微生物的；由细菌引起的¦adj::microbic:: 微生物的；细菌的¦n::microbe:: 细菌，微生物¦n::microbiologist:: 微生物学家					
microchip	'maɪkrotʃɪp	'maɪkrə(ʊ)tʃɪp	n::微型集成电路片，微芯片::a very small piece of  silicon  containing a set of electronic parts, which is used in computers and other machines		Japan’s largest producer of microchips::日本最大的芯片生产商¦the microchip industry::芯片产业		n::microcomputer:: 微电脑；[计] 微型计算机					
microcomputer	'maɪkrokəm'pjʊtɚ	'maɪkrə(ʊ)kɒm,pjuːtə	n::微电脑；[计] 微型计算机::a small computer		The merchant sold electrical appliances, such as microcomputer, microphone, microprocessor and microwave ovens.::商人卖一些电器，比如微型计算机，话筒，微处理器和微波炉。¦Or, as in my case, turning on the old antique microcomputer to read my single-sided, single-density floppies might lead to a fire and the quick end of your weekend data retrieval project.::或者，像我所作的那样，打开一个旧的古董微型计算机来读取我的单面单密度磁盘，而这有可能引起一场火灾，以及你的周末数据检索计划的快速完结。		adj::microelectronic:: [电子] 微电子的¦n::microchip:: 微型集成电路片，微芯片¦n::microcircuit:: [电子] 微电路¦n::microelectronics:: 微电子学					
microorganism	,maɪkro'ɔrgən,ɪzəm	maɪkrəʊ'ɔːg(ə)nɪz(ə)m	n::[微] 微生物；微小动植物::a living thing that is so small that it cannot be seen without a  microscope 	pathogenic microorganism::病原微生物；致病微生物	Slight mutations that allow a microorganism to resist the full killing power of a medicine are an evolutionary advantage that greatly expedites the development of drug resistance.::略微的突变即可使微生物具有抵抗力，使药物完全失去杀伤力，这种突变是一个进化优势，大大加快了耐药性的产生。	n::[微]微生物；微小动植物::organism, animalcule	n::micrometeorite:: 微小陨石¦n::micropaleontology:: 微体古生物学					
microphone	'maɪkrə'fon	'maɪkrəfəʊn	n::扩音器，麦克风::a piece of equipment that you speak into to record your voice or make it louder when you are speaking or performing in public	wireless microphone::无线话筒；无线传声器¦condenser microphone::电容式传声器¦electret microphone::驻极体麦克风	She spoke confidently into the microphone.::她自信地对着麦克风说话。¦They searched the room for hidden microphones.::他们在屋里翻找隐藏的话筒。	n::[电讯][电子]扩音器，麦克风::mike, amplifier						
microprocessor	,maɪkro'prosɛsɚ	maɪkrə(ʊ)'prəʊsesə	n::[计] 微处理器::the central  chip  in a computer, which controls most of its operations	microprocessor chip::[计]微处理机芯片	Our applications take in massive amounts of information and crunch it with the power of the microprocessor.::我们的应用程序将接收大量信息并使用微处理器的能力来处理这些信息。¦It is possible to copyright the design of an invention, such as the documents that describe a microprocessor, but not the physical processor itself.::所以有这样的可能，即版权保护的是发明的设计，比如描述微处理器的文档，而非处理器产品本身。¦Typically, these devices run a 32-bit microprocessor/controller and have more than 2 MB of total memory for the storage of the virtual machine and libraries.::典型地，这些设备运行一个 32 位的微处理器／控制器，而且有总量大于 2 MB 的用于虚拟机和库的存储的存储器。	n::[计]微处理器::Merced						
microscope	'maɪkrəskop	'maɪkrəskəʊp	n::显微镜::a scientific instrument that makes extremely small things look larger	electron microscope::电子显微镜¦scanning electron microscope::扫描电子显微镜¦optical microscope::光学显微镜¦transmission electron microscope::透射式电子显微镜¦light microscope::光学显微镜；光显微镜¦scanning electronic microscope::扫描电子显微镜¦metallographic microscope::[化]金相显微镜¦polarizing microscope::偏光显微镜；偏振显微镜¦scanning tunneling microscope::扫描式隧道显微镜；扫描穿隧显微镜¦fluorescence microscope::荧光显微镜¦metallurgical microscope::金相显微镜¦polarized light microscope::偏光显微镜¦interference microscope::干涉显微镜¦polarization microscope::偏光显微镜，极化显微镜¦acoustic microscope::[医]超声显微镜¦phase contrast microscope::相差显微镜；相衬显微镜¦inverted microscope::倒置显微镜¦microscope slide::显微镜载片；显微镜载物片	The slightest movement will defocus the microscope.::最轻微的运动都会使显微镜散焦。¦The microscope magnified the object two hundred times.::这架显微镜把实物放大了200倍。¦The microscope capacitates small objects to be observed.::显微镜可以观察到微小的物体。		adj::microscopic:: 微观的；用显微镜可见的¦adj::microscopical:: 显微镜的¦adv::microscopically:: 用显微镜；通过显微镜¦n::microscopy:: 显微镜检查；显微镜使用；显微镜学¦n::microphotometer:: [光][摄] 显微光度计¦n::microscopist:: [光] 显微镜工作者；[光] 显微镜学家					
microwave	'maɪkrə'wev	'maɪkrə(ʊ)weɪv	n::微波::a type of  oven  that cooks food very quickly using very short electric waves instead of heat	microwave oven::微波炉¦microwave radiation::微波辐射，微波射线¦microwave technique::微波技术¦microwave communication::微波通信¦microwave radiometer::微波辐射计；辐射计；微波探测仪¦microwave circuit::微波电路¦microwave remote sensing::微波遥感；微波遥测¦microwave device::微波器件¦microwave filter::微波过滤器	I’ll heat it up in the microwave.::我来把它用微波炉热一热。	n::[物]微波::wavelet						
mid	mɪd	mɪd	adj::中间的；中央的::of, relating to, or denoting a vowel whose articulation lies approximately halfway between high and low, such as e in English bet ¦prep::在…之中::among or in the middle of¦n::(Mid)人名；(柬)米::	mid frequency::中频	But remember to do your homework before stepping into the conference hall, or you will feel like a rudderless boat in mid-sea.::但是要记得在走进会议大厅之前做好准备工作，否则你会感到就像在大海中间的一艘无舵的小船。	adj::中间的；中央的::medium, intermediary, middle, centre¦prep::在…之中::among	adj::midmost:: 正中的¦adv::midmost:: 在正中¦prep::midmost:: 在…的正中					
midday	,mɪd'de	mɪd'deɪ	n::中午；正午::the middle of the day, at or around 12 o’clock¦adj::正午的::	at midday::在正午	We stopped off in Colchester for our midday meal .::我们中途在科尔切斯特停留吃了午饭。¦the full heat of the midday sun::正午烈日的酷热	n::中午；正午::midnoon, noon sharp¦adj::正午的::noonday						
middle	'mɪdl	'mɪd(ə)l	adj::中间的，中部的；中级的，中等的::nearest the centre and furthest from the edge, top, end etc¦n::中间，中央；腰部::the part that is nearest the centre of something, and furthest from the sides, edges, top, bottom etc	in the middle::在中间；在中部¦in the middle of::在…中间¦middle school::n. 中学¦middle east::中东（一般泛指欧，亚，非三大洲连接的地区）¦middle class::中产阶级¦middle part::中部地区¦junior middle school::初中¦middle age::中年；中世纪¦middle reaches::中游；河道中游¦middle finger::中指¦middle of the road::中庸；中道；中间路线¦senior middle school::高中¦middle school student::中学生¦middle jurassic::中侏罗世；中侏罗纪¦middle ear::中耳，鼓室¦middle layer::中间层；胞间层¦middle eastern::中东的¦middle size::中尺寸¦middle ground::n. 妥协；中间立场¦middle ordovician::[地]中奥陶世	driving in the middle lane of the motorway::在高速公路的中间车道上行驶¦the middle drawer of the filing cabinet::档案柜中间的抽屉	adj::中间的，中部的；中级的，中等的::medium, mid, intermediary, secondary, moderate¦n::中间，中央；腰部::center, waist¦vt::把…放在中间，把…对折::double up, double back¦vi::放在中间，对折::double over	adj::middling:: 中等的；第二流的¦adj::middlemost:: 正中的¦adv::middling:: 中等¦n::middling:: 中级品¦v::middling:: 把…放在中间（middle的ing形式）					
middleman	'mɪdl'mæn	'mɪd(ə)lmæn	n::中间人；经纪人；调解人::someone who buys things in order to sell them to someone else, or who helps to arrange business deals for other people		He acts as a middleman for British companies seeking contracts in the Gulf.::他给在海湾地区寻找商机的英国公司当中间人。¦Buy direct from the manufacturer and cut out the middleman (= avoid using a middleman ) .::从厂家直接进货，绕开中间商。	n::中间人；经纪人；调解人::intermediary, Tweener	adj::middling:: 中等的；第二流的¦adv::middling:: 中等¦n::middling:: 中级品¦v::middling:: 把…放在中间（middle的ing形式）					
midget	'mɪdʒɪt	'mɪdʒɪt	n::侏儒；极小者::a very offensive word for someone who is very short because their body has not grown normally. Do not use this word.¦adj::小型的::very small		a midget submarine::微型潜艇	n::[内科]侏儒；极小者::mannikin, manikin¦adj::小型的::pocket, miniative, baby-size						
midnight	'mɪdnaɪt	'mɪdnaɪt	n::午夜，半夜12点钟::12 o’clock at night¦adj::半夜的；漆黑的::Midnight is used to describe something that happens or appears at midnight or in the middle of the night	at midnight::在午夜¦burn the midnight oil::开夜车¦midnight sun::n. 夜半太阳（夏季在南极或北极能见到）¦midnight blue::深蓝；深蓝色	You can’t phone her now – it’s gone midnight (= after midnight ) !::你现在不能打电话给她，都过午夜了！¦By the time he arrived, it was well past midnight (= after midnight ) .::他到的时候早已经是后半夜了。¦He’s gone for a midnight swim.::他深更半夜去游泳了。¦It is totally out of the question to postpone the midnight deadline.::延迟午夜的最后期限是根本不可能的。	adj::半夜的；漆黑的::pitch-dark, inky						
midst	mɪdst	mɪdst	n::当中，中间::in a particular group¦prep::在…中间（等于amidst）::surrounded by people or things	in the midst of::在…之中¦into the midst of::在…当中，入…之中¦from the midst of::出自…之中，从…当中	I fear we have an enemy in our midst.::我担心我们中间有内奸。	n::当中，中间::middle¦prep::在…中间（等于amidst）::among, in the middle of						
midway	'mɪd'we	'mɪdweɪ; mɪd'weɪ	n::中途；娱乐场::¦adj::中途的::between two places, and the same distance from each of them¦adv::中途::If something is midway between two places, it is between them and the same distance from each of them		Fresno is close to the midway point between LA and San Francisco.::弗雷斯诺位于接进洛杉矶和旧金山的中间点。¦The studio is midway between his aunt's old home and his cottage.::那个工作室位于他姑姑的老房子和他的小屋中间。	n::中途；娱乐场::casino, midcourse¦adj::中途的::intermediary, halfway						
midwife	'mɪd'waɪf	'mɪdwaɪf	n::助产士；促成因素::a specially trained nurse whose job is to help women when they are having a baby¦vt::助胎儿出生；促成::		You don't have to call the midwife as soon as labour starts.::你不必刚开始分娩就叫助产士。	vt::助胎儿出生；促成::catalyse	n::midwifery:: 产科学，助产学；助产术；促成					
might	maɪt	maɪt	n::力量；威力；势力::great strength and power¦v::可以；或许（may的过去式）；应该::used to suggest politely what someone should do¦aux::可能；也许::	might as well::不妨，何妨；还是……的好¦might well::有可能¦might and main::尽全力；主力¦might just as well::倒不如；满可以；还是…好；最好还是¦pigs might fly::无稽之谈；奇迹可能会发生¦with might and main::尽全力；竭尽全力地	two individuals who took on the might of the English legal system::挑战英国法律制度权威的两个人¦He swung the axe again with all his might .::他用尽全力再一次抡起斧头。	n::力量；威力；势力::strength, force, muscle, power, influence¦aux::可能；也许::should	adj::mighty:: 有力的；强有力的；有势力的¦adv::mighty:: 很；极；非常¦aux::may:: 可能，可以；愿意¦n::mighty:: 有势力的人					
mighty	'maɪti	'maɪtɪ	adj::有力的；强有力的；有势力的::very strong and powerful, or very big and impressive¦adv::很；极；非常::very¦n::有势力的人::	high and mighty::趾高气扬的	the mighty Mississippi river::浩荡的密西西比河¦a mighty army::强大的军队	adj::有力的；强有力的；有势力的::powerful, male, influential, vigorous, energetic¦adv::很；极；非常::greatly, quite, badly, too, extremely, far, highly¦n::有势力的人::big guns	adv::mightily:: 强烈地，激烈地；非常地¦aux::might:: 可能；也许¦n::might:: 力量；威力；势力¦n::mightiness:: 强烈；强大¦v::might:: 可以；或许（may的过去式）；应该					
migraine	'maɪɡren	'miːgreɪn; 'maɪ-	n::[内科] 偏头痛::an extremely bad headache, during which you feel sick and have pain behind your eyes	migraine headache::偏头痛；周期性偏头痛	Her mother suffered from migraines.::她母亲患了偏头痛。	n::[内科][中医]偏头痛::megrim						
migrant	'maɪɡrənt	'maɪgr(ə)nt	n::候鸟；移居者；随季节迁移的民工::someone who goes to live in another area or country, especially in order to find work¦adj::移居的；流浪的::	migrant worker::外来工；外侨工人¦rural migrant workers::农民工¦migrant labor::打工，流动劳力	The government divides asylum seekers into economic migrants and genuine refugees.::政府将寻求政治庇护的人划分为经济移民和真正的难民。	n::候鸟；移居者；随季节迁移的民工::visitor, migratory bird¦adj::移居的；流浪的::ragamuffinly, nomadic	adj::migratory:: 迁移的；流浪的¦n::migration:: 迁移；移民；移动¦n::migrator:: 移居者；候鸟¦vi::migrate:: 移动；随季节而移居；移往¦vt::migrate:: 使移居；使移植					
migrate	'maɪɡret	maɪ'greɪt; 'maɪgreɪt	v::移动；随季节而移居；移往::if people migrate, they go to live in another area or country, especially in order to find work		People migrate to cities like Jakarta in search of work.::人们移居到雅加达这样的城市找工作。	vi::移动；随季节而移居；移往::to move, to shift¦vt::使移居；使移植::transplant	adj::migrant:: 移居的；流浪的¦adj::migratory:: 迁移的；流浪的¦n::migration:: 迁移；移民；移动¦n::migrant:: 候鸟；移居者；随季节迁移的民工¦n::migrator:: 移居者；候鸟					
migration	maɪ'ɡreʃən	maɪ'greɪʃ(ə)n	n::迁移；移民；移动::when large numbers of people go to live in another area or country, especially in order to find work	cell migration::细胞移行¦migration velocity::渗移速度；迁动速度¦bird migration::鸟类迁徙¦moisture migration::水分移动¦data migration::数据迁移；资料移转¦migration rate::迁移率；迁徙率；迁移速度¦migration algorithm::偏移算法¦internal migration::内移行		n::[动][地质]迁移；移民；移动::removal, move, shift, motion, transplantation	adj::migrant:: 移居的；流浪的¦adj::migratory:: 迁移的；流浪的¦n::migrant:: 候鸟；移居者；随季节迁移的民工¦n::migrator:: 移居者；候鸟¦vi::migrate:: 移动；随季节而移居；移往¦vt::migrate:: 使移居；使移植					
mild	maɪld	maɪld	adj::温和的；轻微的；淡味的；文雅的；不含有害物质的的::fairly warm¦n::（英国的一种）淡味麦芽啤酒::dark beer with a slightly sweet taste	mild steel::低碳钢；[化]软钢¦mild climate::温和的气候¦mild weather::温和天气¦mild form::轻型	We had an exceptionally mild winter last year.::去年冬天我们这里异常暖和。¦a mild climate::温和的气候	adj::温和的；轻微的；淡味的；文雅的；不含有害物质的的::pacific, gentle, moderate, soft, slight	adv::mildly:: 温和地，和善地；适度地¦n::mildness:: 温和；温暖					
mile	maɪl	maɪl	n::英里；一英里赛跑；较大的距离::a unit for measuring distance, equal to 1,760  yard s  or about 1,609 metres	miles away::相隔千里，千里之外；心不在焉¦run a mile::避而远之¦last mile::（死刑犯从牢房走到刑场的）最后路程¦sea mile::海里¦a mile off::◎在1英里以外¦per mile::每千¦three mile island::三里岛（美国宾夕法尼亚州米德尔敦附近一岛，该地核电站曾发生灾难性事故）¦golden mile::黄金地带¦nautical mile::n. 海里（合1.852公里）	It’s 40 miles from here to the Polish border.::从这里到波兰边界有40英里。¦an area 50 miles wide and 150 miles long::一片50英里宽、150英里长的地区¦We walked about half a mile .::我们大约走了半英里。¦He was driving at 70 miles per hour .::他正以每小时70英里的速度驾车行驶。		n::mileage:: 英里数¦n::miler:: 参加一英里赛跑的运动员					
mileage	'maɪlɪdʒ	'maɪlɪdʒ	n::英里数::the number of miles someone travels in a vehicle in a particular period of time	gas mileage::每英里汽油消耗量；一加仑汽油所行驶的里程	Look for a car hire agreement that offers unlimited mileage.::找一份能提供不限里程数的租车协议。		n::mile:: 英里；一英里赛跑；较大的距离¦n::miler:: 参加一英里赛跑的运动员					
mileometer	maili'ɔmitə		n::计程表::an instrument in a car that shows how many miles it has travelled		Which he used to disparage defective vehicles, dates back to his time as a second-hand car dealer in the late 1970s, and suggests a dishonestly adjusted mileometer .::这是一句他常用来贬损故障车的话，可回溯到1970年代晚期他做二手车经销商的时候，暗指被动过手脚的里程表。¦The article introduced the measurement principle, hardware circuit and software process of a kind of mine locomotive intelligent speed mileometer, which have the function of "black box".::介绍了一种具有黑匣子功能的矿机车智能型速度里程表的测量原理、硬件电路设计和软件程序流程。¦In the article, the measurement principle, hardware circuit and software process of a kind of mine locomotive intelligent speed mileometer are introduced, which have the function of "black box".::前言： 介绍具有黑匣子功能的矿机车智能型速度里程表的测量原理、硬件电路设计和软件程序流程。	n::计程表::milometer						
milestone	'maɪlston	'maɪlstəʊn	n::里程碑，划时代的事件::a very important event in the development of something		He said the launch of the party represented a milestone in Zambian history.::他说该党的成立代表着赞比亚历史上的一个里程碑。	n::[交]里程碑，划时代的事件::landmark, milliarium						
militant	'mɪlɪtənt	'mɪlɪt(ə)nt	adj::好战的::a militant organization or person is willing to use strong or violent action in order to achieve political or social change¦n::富有战斗性的人；好斗者；激进分子::Militant is also a noun		militant political activists::激进的政治活动家¦a militant animal rights group::激进的动物权利保护团体¦After the assassination of Martin Luther King, black leaders became more militant.::马丁•路德•金遇刺后，黑人领袖变得更为激进了。¦Even now we could not be sure that the militants would not find some new excuse to call a strike the following winter.::即使到现在，我们也不能确定这些激进分子不会找到某个新的借口在下一年冬天号召一场罢工。	adj::好战的::fighting, combative¦n::富有战斗性的人；好斗者::gamecock	n::militancy:: 战斗性；交战状态¦n::militarism:: 军国主义；尚武精神，好战态度；职业军人的精神¦n::militance:: 战斗性；战斗状态					
militarism	'mɪlətə'rɪzəm	'mɪlɪt(ə)rɪz(ə)m	n::军国主义；尚武精神，好战态度；职业军人的精神::the belief that a country should build up its military forces and use them to protect itself and get what it wants		a country emerging from 20 years of militarism and political repression::从20年的军国主义和政治压制中摆脱出来的一个国家	n::军国主义；尚武精神，好战态度；职业军人的精神::martialism, kultur	adj::military:: 军事的；军人的；适于战争的¦adj::militant:: 好战的¦adj::militaristic:: 军国主义的¦adj::militarized:: 军事化的；军国主义化的¦n::military:: 军队；军人¦n::militant:: 富有战斗性的人；好斗者¦n::militarist:: 军事家；军国主义者¦n::militarization:: 军事化；军国主义化；黩武主义的提倡¦v::militarized:: 军队化，军国化，鼓吹军国主义（militarize的过去式和过去分词形式）¦vt::militarise:: 军国化；军事化¦vt::militarize:: 军事化；军国主义化					
military	'mɪlətɛri	'mɪlɪt(ə)rɪ	adj::军事的；军人的；适于战争的::used by, involving, or relating to the army, navy, or airforce¦n::军队；军人::the military forces of a country	military affairs::n. 军事；军务¦military training::军事训练；军训¦military service::兵役，军役¦military hospital::军事医院；陆军医院¦military power::军权；兵权¦military personnel::军事人员¦military commission::特别军事法庭¦military academy::n. 陆军军官学校¦military science::兵法¦military strategy::军事战略；军事战略学¦military base::军事基地¦military government::军政府；军事管制政府¦military aircraft::军用飞机¦military officer::军官¦military operation::军事作战，军事行动¦military logistics::军事物流；军事后勤学¦military exercise::军事演习¦military parade::阅兵；军事博览¦military uniform::军装¦military coup::军事政变	a military helicopter::军用直升机¦military equipment::军事设备¦The government has threatened to take military action if the rebels do not withdraw from the area.::政府警告说，如果叛乱分子不从该地区撤出，就要采取军事行动。¦The United States is prepared to use military force to achieve its aims.::美国准备动用武力达成目的。¦a raid by European military forces::欧洲军事力量发动的袭击	adj::军事的；军人的；适于战争的::martial, soldierly¦n::军队；军人::force, soldier, battalion	adj::militarized:: 军事化的；军国主义化的¦adv::militarily:: 在军事上；从军事角度；以武力；以军事行动¦n::militarism:: 军国主义；尚武精神，好战态度；职业军人的精神¦n::militarist:: 军事家；军国主义者¦n::militarization:: 军事化；军国主义化；黩武主义的提倡¦v::militarized:: 军队化，军国化，鼓吹军国主义（militarize的过去式和过去分词形式）¦vt::militarise:: 军国化；军事化¦vt::militarize:: 军事化；军国主义化					
militia	mə'lɪʃə	mɪ'lɪʃə	n::民兵组织；自卫队；义勇军；国民军::a group of people trained as soldiers, who are not part of the permanent army		He joined the local militia as soon as he was 16.::他一到16岁就加入了当地民兵队伍。¦a militia leader::民兵组织的领导人¦a left-wing militia group::左翼民兵团体							
militiaman	mə'lɪʃəmən	mɪ'lɪʃəmən	n::民兵；民兵组织::a member of a militia		“We have to hold on here, ” said Saheer al-Saidi, a militiaman speaking at rebel command post inside the town that afternoon.::“我们必须守住这里”，民兵组织成员萨赫尔.阿尔萨义迪这天下午在该市中心的叛军司令部表示。	n::民兵；民兵组织::saturday night soldier, askari						
milk	mɪlk	mɪlk	n::牛奶；乳状物::a white liquid produced by cows or goats that is drunk by people¦v::榨取；挤…的奶::to get as much money or as many advantages as you can from a situation, in a very determined and sometimes dishonest way	milk powder::n. 奶粉¦in milk::在出奶时期的；在授乳期中的¦fresh milk::鲜牛奶¦powdered milk::n. 奶粉¦breast milk::母乳；母奶¦raw milk::原料乳；生牛奶；未消毒牛奶¦soybean milk::豆浆¦milk protein::牛奶蛋白；牛乳蛋白质¦drink milk::喝牛奶¦milk tea::奶茶¦milk cow::奶牛；乳牛¦milk and honey::多种多样的享受；富饶¦in the milk::(谷粒等快成熟时)正在灌浆，呈浆液状¦soy milk::n. 豆奶；豆浆¦coconut milk::椰奶；椰子汁¦milk product::乳制品¦whole milk::n. 全脂奶，全脂牛奶¦skimmed milk::脱脂奶（等于skinmilk）；脱脂乳¦milk can::牛奶罐¦bean milk::豆奶；豆浆	a bottle of milk::一瓶奶¦Would you like some milk in your tea?::你茶里要加点奶吗？¦a pint of semi-skimmed milk::一品脱半脱脂奶	n::[食品]牛奶；[化学]乳状物::lait, creamery¦vt::榨取；挤…的奶::extract, ream	adj::milky:: 乳白色的；牛奶的；乳状的；柔和的；混浊不清的¦n::milker:: 乳牛；挤奶人；挤奶器					
milkman	'mɪlkmən	'mɪlkmən	n::牛奶商；送奶工人；挤奶员工::someone in Britain whose job is to deliver milk to people’s houses each morning				adj::milky:: 乳白色的；牛奶的；乳状的；柔和的；混浊不清的¦n::milker:: 乳牛；挤奶人；挤奶器					
milky	'mɪlki	'mɪlkɪ	adj::乳白色的；牛奶的；乳状的；柔和的；混浊不清的::containing a lot of milk¦n::(Milky)人名；(巴基)米尔基::		a cup of milky coffee::一杯牛奶咖啡	adj::乳白色的；牛奶的；乳状的；柔和的；混浊不清的::female, delicate	n::milkman:: 牛奶商；送奶工人；挤奶员工¦n::milk:: 牛奶；乳状物¦n::milker:: 乳牛；挤奶人；挤奶器¦n::milkmaid:: 挤奶女工；在牛奶场工作的女工¦vi::milk:: 挤奶¦vt::milk:: 榨取；挤…的奶					
mill		mɪl	v::乱转；被碾磨::To mill something such as wheat or pepper means to grind it in a mill¦n::工厂；磨坊；磨粉机；制造厂；压榨机::a building containing a large machine for crushing grain into flour	rolling mill::轧钢厂；辊轧机¦ball mill::球磨；[机]球磨机¦paper mill::n. 造纸厂¦strip mill::带钢轧机；带材轧机；钢带轧机；板条辊轧机¦cold rolling mill::冷轧机¦plate mill::制板厂；轧板机¦steel mill::轧钢厂，钢厂¦hot strip mill::扁钢热轧机；带钢热轧机¦in the mill::在制造中；在准备中¦roller mill::n. 滚筒辗粉机；滚压机¦rod mill::棒磨；棒磨机¦finishing mill::精轧机；精制机¦hot rolling mill::热轧机¦end mill::端铣刀；立端刀¦grinding mill::研磨机，磨碎机；辊轧机；破碎机¦tube mill::管磨机；制管厂¦textile mill::纺织厂¦tandem mill::连轧机；串列式轧机¦through the mill::[口语] 经受磨炼；饱尝辛酸；通过严格的训练¦flour mill::磨粉机；制粉机	They do not have the capacity to mill the grain.::他们没有碾磨谷物的能力。	n::[工经]工厂；磨坊；[化工][粮食][机]磨粉机；制造厂；压榨机::factory, plant, work¦vt::搅拌；[机]碾磨；磨细；使乱转::mix round, churn up	adj::milled:: 磨碎的；滚花的；铣成的¦n::milling:: 磨；制粉；轧齿边¦n::miller:: 磨坊主；碾磨工；蛾¦v::milling:: 碾磨；磨成粉；滚（碾轧）金属（mill的ing形式）¦v::milled:: 磨，碾压（mill的过去式）					
